Sample	Meta	Nucleotide	Codon	Frame	Density
SRR1944912	TIS	1	1	0	
SRR1944912	TIS	2	1	1	0.5518699748454277
SRR1944912	TIS	3	1	2	0.8937697643608902
SRR1944912	TIS	4	2	0	0.9552235322723597
SRR1944912	TIS	5	2	1	1.0561267217466717
SRR1944912	TIS	6	2	2	1.1579310014260096
SRR1944912	TIS	7	3	0	1.1515478035467046
SRR1944912	TIS	8	3	1	1.1862631390730305
SRR1944912	TIS	9	3	2	1.208106188634689
SRR1944912	TIS	10	4	0	1.1826384276160622
SRR1944912	TIS	11	4	1	1.210541602743747
SRR1944912	TIS	12	4	2	1.2442876541710581
SRR1944912	TIS	13	5	0	1.2153909660409192
SRR1944912	TIS	14	5	1	1.1930737908704598
SRR1944912	TIS	15	5	2	1.2331543481691802
SRR1944912	TIS	16	6	0	1.2518261368259564
SRR1944912	TIS	17	6	1	1.2732810083317105
SRR1944912	TIS	18	6	2	1.2941444736715475
SRR1944912	TIS	19	7	0	1.2918755639479005
SRR1944912	TIS	20	7	1	1.3095085739969687
SRR1944912	TIS	21	7	2	1.3326230116300937
SRR1944912	TIS	22	8	0	1.3352312858940563
SRR1944912	TIS	23	8	1	1.3479645930157265
SRR1944912	TIS	24	8	2	1.3681644188620146
SRR1944912	TIS	25	9	0	1.3614856278823322
SRR1944912	TIS	26	9	1	1.3755095260365815
SRR1944912	TIS	27	9	2	1.3964958746012055
SRR1944912	TIS	28	10	0	1.397668048486377
SRR1944912	TIS	29	10	1	1.4093375073107381
SRR1944912	TIS	30	10	2	1.4253675739005347
SRR1944912	TIS	31	11	0	1.4209344218731699
SRR1944912	TIS	32	11	1	1.4292134377059975
SRR1944912	TIS	33	11	2	1.4463061218492632
SRR1944912	TIS	34	12	0	1.4443521999761892
SRR1944912	TIS	35	12	1	1.4537384070422392
SRR1944912	TIS	36	12	2	1.4676218571204855
SRR1944912	TIS	37	13	0	1.4637360796502723
SRR1944912	TIS	38	13	1	1.4726677991393544
SRR1944912	TIS	39	13	2	1.4855750093412037
SRR1944912	TIS	40	14	0	1.4816129272231033
SRR1944912	TIS	41	14	1	1.488966776508768
SRR1944912	TIS	42	14	2	1.501831483210895
SRR1944912	TIS	43	15	0	1.499121780729533
SRR1944912	TIS	44	15	1	1.509378464744559
SRR1944912	TIS	45	15	2	1.5219108561408115
SRR1944912	TIS	46	16	0	1.5220223754149662
SRR1944912	TIS	47	16	1	1.5284159528740429
SRR1944912	TIS	48	16	2	1.537563004826277
SRR1944912	TIS	49	17	0	1.5354743354858527
SRR1944912	TIS	50	17	1	1.5399256705671522
SRR1944912	TIS	51	17	2	1.5481524140546605
SRR1944912	TIS	52	18	0	1.5424936694680678
SRR1944912	TIS	53	18	1	1.546670726181961
SRR1944912	TIS	54	18	2	1.5551763173632147
SRR1944912	TIS	55	19	0	1.5531787474111474
SRR1944912	TIS	56	19	1	1.5575459515363717
SRR1944912	TIS	57	19	2	1.5643519297673163
SRR1944912	TIS	58	20	0	1.561855801289009
SRR1944912	TIS	59	20	1	1.5649510125036674
SRR1944912	TIS	60	20	2	1.5706856587916727
SRR1944912	TIS	61	21	0	1.5642030679683028
SRR1944912	TIS	62	21	1	1.5666912934954387
SRR1944912	TIS	63	21	2	1.57335427696084
SRR1944912	TIS	64	22	0	1.5705748915274786
SRR1944912	TIS	65	22	1	1.5750840923549811
SRR1944912	TIS	66	22	2	1.5813724000766978
SRR1944912	TIS	67	23	0	1.5754779736851057
SRR1944912	TIS	68	23	1	1.5791310932785123
SRR1944912	TIS	69	23	2	1.6116052860549583
SRR1944912	TIS	70	24	0	1.608495611212546
SRR1944912	TIS	71	24	1	1.611358909209747
SRR1944912	TIS	72	24	2	1.6157576327679042
SRR1944912	TIS	73	25	0	1.6116510610811137
SRR1944912	TIS	74	25	1	1.6136529480166166
SRR1944912	TIS	75	25	2	1.6189194044964266
SRR1944912	TIS	76	26	0	1.6135709058332275
SRR1944912	TIS	77	26	1	1.6155244265983
SRR1944912	TIS	78	26	2	1.6202856779322072
SRR1944912	TIS	79	27	0	1.6170355055144707
SRR1944912	TIS	80	27	1	1.6125105370186275
SRR1944912	TIS	81	27	2	1.6171534633714497
SRR1944912	TIS	82	28	0	1.611776036266448
SRR1944912	TIS	83	28	1	1.6123411130044194
SRR1944912	TIS	84	28	2	1.6099519224800682
SRR1944912	TIS	85	29	0	1.6162918706735308
SRR1944912	TIS	86	29	1	1.6148686048773384
SRR1944912	TIS	87	29	2	1.6179721932757567
SRR1944912	TIS	88	30	0	1.6143951421721996
SRR1944912	TIS	89	30	1	1.6145994241161719
SRR1944912	TIS	90	30	2	1.6328260579722735
SRR1944912	TIS	91	31	0	1.6225591693184944
SRR1944912	TIS	92	31	1	1.6213383432950697
SRR1944912	TIS	93	31	2	1.6243844567642287
SRR1944912	TIS	94	32	0	1.6191368557506038
SRR1944912	TIS	95	32	1	1.6197317530957824
SRR1944912	TIS	96	32	2	1.6236511213741667
SRR1944912	TIS	97	33	0	1.6175715767280399
SRR1944912	TIS	98	33	1	1.6173966715605175
SRR1944912	TIS	99	33	2	1.6207694821079925
SRR1944912	TIS	100	34	0	1.6161699938512637
SRR1944912	TIS	101	34	1	1.6168900732448583
SRR1944912	TIS	102	34	2	1.6198513626327469
SRR1944912	TIS	103	35	0	1.6154745337367946
SRR1944912	TIS	104	35	1	1.6168788693312697
SRR1944912	TIS	105	35	2	1.6203477170798473
SRR1944912	TIS	106	36	0	1.6166299523399175
SRR1944912	TIS	107	36	1	1.617040703039202
SRR1944912	TIS	108	36	2	1.6207636062702946
SRR1944912	TIS	109	37	0	1.6162236340979044
SRR1944912	TIS	110	37	1	1.6181925598715672
SRR1944912	TIS	111	37	2	1.6210984491542404
SRR1944912	TIS	112	38	0	1.615724296487246
