	0	1	2	3	4	5	6	7	8	mean
YMR272W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER138C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL019W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR008C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR467W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR013W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL037C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL022C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL007C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0160-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL049C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL048C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL046C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL052C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER137C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNR075C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML039W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML040W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YML054C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR035C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR064W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YGR161C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL006W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR010C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBL100W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR151W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLL064C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL028W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR194W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR242W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL257W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
