Sample	Meta	Nucleotide	Codon	Frame	Density
ncs2d_elp6d_ribo_YPD3	TIS	-30	-10	0	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-29	-10	1	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-28	-10	2	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-27	-9	0	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-26	-9	1	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-25	-9	2	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-24	-8	0	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-23	-8	1	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-22	-8	2	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-21	-7	0	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-20	-7	1	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-19	-7	2	0.0
ncs2d_elp6d_ribo_YPD3	TIS	-18	-6	0	0.0504364694471387
ncs2d_elp6d_ribo_YPD3	TIS	-17	-6	1	0.10999030067895248
ncs2d_elp6d_ribo_YPD3	TIS	-16	-6	2	0.15693501454898157
ncs2d_elp6d_ribo_YPD3	TIS	-15	-5	0	0.19049466537342385
ncs2d_elp6d_ribo_YPD3	TIS	-14	-5	1	0.19728419010669254
ncs2d_elp6d_ribo_YPD3	TIS	-13	-5	2	0.22036857419980602
ncs2d_elp6d_ribo_YPD3	TIS	-12	-4	0	0.2469447138700291
ncs2d_elp6d_ribo_YPD3	TIS	-11	-4	1	0.2618816682832202
ncs2d_elp6d_ribo_YPD3	TIS	-10	-4	2	0.2277400581959263
ncs2d_elp6d_ribo_YPD3	TIS	-9	-3	0	0.27138700290979634
ncs2d_elp6d_ribo_YPD3	TIS	-8	-3	1	0.3468477206595538
ncs2d_elp6d_ribo_YPD3	TIS	-7	-3	2	0.27565470417070803
ncs2d_elp6d_ribo_YPD3	TIS	-6	-2	0	0.23976721629485936
ncs2d_elp6d_ribo_YPD3	TIS	-5	-2	1	0.26634335596508246
ncs2d_elp6d_ribo_YPD3	TIS	-4	-2	2	0.32124151309408344
ncs2d_elp6d_ribo_YPD3	TIS	-3	-1	0	1.7216294859359844
ncs2d_elp6d_ribo_YPD3	TIS	-2	-1	1	14.60368574199806
ncs2d_elp6d_ribo_YPD3	TIS	-1	-1	2	82.26479146459748
ncs2d_elp6d_ribo_YPD3	TIS	0	0	0	158.79262851600387
ncs2d_elp6d_ribo_YPD3	TIS	1	0	1	53.81590688651794
ncs2d_elp6d_ribo_YPD3	TIS	2	0	2	15.233559650824443
ncs2d_elp6d_ribo_YPD3	TIS	3	1	0	22.911542192046557
ncs2d_elp6d_ribo_YPD3	TIS	4	1	1	9.340252182347236
ncs2d_elp6d_ribo_YPD3	TIS	5	1	2	10.260523763336566
ncs2d_elp6d_ribo_YPD3	TIS	6	2	0	18.46925315227934
ncs2d_elp6d_ribo_YPD3	TIS	7	2	1	9.289039767216295
ncs2d_elp6d_ribo_YPD3	TIS	8	2	2	15.346459747817653
ncs2d_elp6d_ribo_YPD3	TIS	9	3	0	21.999224054316198
ncs2d_elp6d_ribo_YPD3	TIS	10	3	1	8.536760426770126
ncs2d_elp6d_ribo_YPD3	TIS	11	3	2	13.65121241513094
ncs2d_elp6d_ribo_YPD3	TIS	12	4	0	25.77788554801164
ncs2d_elp6d_ribo_YPD3	TIS	13	4	1	19.777109602327837
ncs2d_elp6d_ribo_YPD3	TIS	14	4	2	6.717555771096023
ncs2d_elp6d_ribo_YPD3	TIS	15	5	0	7.9606207565470415
ncs2d_elp6d_ribo_YPD3	TIS	16	5	1	5.455286129970902
ncs2d_elp6d_ribo_YPD3	TIS	17	5	2	8.19282250242483
ncs2d_elp6d_ribo_YPD3	TIS	18	6	0	18.17400581959263
ncs2d_elp6d_ribo_YPD3	TIS	19	6	1	6.312318137730359
ncs2d_elp6d_ribo_YPD3	TIS	20	6	2	6.3617846750727445
ncs2d_elp6d_ribo_YPD3	TIS	21	7	0	13.719301648884578
ncs2d_elp6d_ribo_YPD3	TIS	22	7	1	6.907856450048497
ncs2d_elp6d_ribo_YPD3	TIS	23	7	2	7.044034917555771
ncs2d_elp6d_ribo_YPD3	TIS	24	8	0	12.347235693501455
ncs2d_elp6d_ribo_YPD3	TIS	25	8	1	5.504946653734239
ncs2d_elp6d_ribo_YPD3	TIS	26	8	2	5.875654704170708
ncs2d_elp6d_ribo_YPD3	TIS	27	9	0	12.969932104752667
ncs2d_elp6d_ribo_YPD3	TIS	28	9	1	5.454898157129001
ncs2d_elp6d_ribo_YPD3	TIS	29	9	2	6.848108632395732
ncs2d_elp6d_ribo_YPD3	TIS	30	10	0	13.440543161978662
ncs2d_elp6d_ribo_YPD3	TIS	31	10	1	5.753831231813773
ncs2d_elp6d_ribo_YPD3	TIS	32	10	2	5.525121241513094
ncs2d_elp6d_ribo_YPD3	TIS	33	11	0	10.955965082444228
ncs2d_elp6d_ribo_YPD3	TIS	34	11	1	4.775363724539282
ncs2d_elp6d_ribo_YPD3	TIS	35	11	2	5.3321047526673135
ncs2d_elp6d_ribo_YPD3	TIS	36	12	0	10.485935984481086
ncs2d_elp6d_ribo_YPD3	TIS	37	12	1	4.598836081474297
ncs2d_elp6d_ribo_YPD3	TIS	38	12	2	5.0818622696411255
ncs2d_elp6d_ribo_YPD3	TIS	39	13	0	9.877400581959263
ncs2d_elp6d_ribo_YPD3	TIS	40	13	1	4.770320077594568
ncs2d_elp6d_ribo_YPD3	TIS	41	13	2	5.021532492725509
ncs2d_elp6d_ribo_YPD3	TIS	42	14	0	9.757904946653735
ncs2d_elp6d_ribo_YPD3	TIS	43	14	1	3.8845780795344327
ncs2d_elp6d_ribo_YPD3	TIS	44	14	2	4.355189136760427
ncs2d_elp6d_ribo_YPD3	TIS	45	15	0	8.778661493695441
ncs2d_elp6d_ribo_YPD3	TIS	46	15	1	4.353249272550921
ncs2d_elp6d_ribo_YPD3	TIS	47	15	2	4.623666343355965
ncs2d_elp6d_ribo_YPD3	TIS	48	16	0	8.582153249272551
ncs2d_elp6d_ribo_YPD3	TIS	49	16	1	4.030261881668284
ncs2d_elp6d_ribo_YPD3	TIS	50	16	2	4.8
ncs2d_elp6d_ribo_YPD3	TIS	51	17	0	9.283996120271581
ncs2d_elp6d_ribo_YPD3	TIS	52	17	1	4.03278370514064
ncs2d_elp6d_ribo_YPD3	TIS	53	17	2	4.28360814742968
ncs2d_elp6d_ribo_YPD3	TIS	54	18	0	8.9819592628516
ncs2d_elp6d_ribo_YPD3	TIS	55	18	1	5.095053346265761
ncs2d_elp6d_ribo_YPD3	TIS	56	18	2	6.093501454898157
ncs2d_elp6d_ribo_YPD3	TIS	57	19	0	10.095829291949563
ncs2d_elp6d_ribo_YPD3	TIS	58	19	1	4.91270611057226
ncs2d_elp6d_ribo_YPD3	TIS	59	19	2	4.90203685741998
ncs2d_elp6d_ribo_YPD3	TIS	60	20	0	9.565276430649854
ncs2d_elp6d_ribo_YPD3	TIS	61	20	1	4.183511154219205
ncs2d_elp6d_ribo_YPD3	TIS	62	20	2	4.770514064015519
ncs2d_elp6d_ribo_YPD3	TIS	63	21	0	8.590106692531522
ncs2d_elp6d_ribo_YPD3	TIS	64	21	1	3.755965082444229
ncs2d_elp6d_ribo_YPD3	TIS	65	21	2	4.490785645004849
ncs2d_elp6d_ribo_YPD3	TIS	66	22	0	9.028516003879728
ncs2d_elp6d_ribo_YPD3	TIS	67	22	1	3.9274490785645004
