transcript_id	m_GR_in_01d_1.isoforms.results	m_GR_in_01d_2.isoforms.results	m_GR_in_01d_3.isoforms.results	m_GR_un_01d_1.isoforms.results	m_GR_un_01d_2.isoforms.results	m_GR_un_01d_3.isoforms.results	m_GR_in_02d_1.isoforms.results	m_GR_in_02d_2.isoforms.results	m_GR_in_02d_3.isoforms.results	m_GR_un_02d_1.isoforms.results	m_GR_un_02d_2.isoforms.results	m_GR_un_02d_3.isoforms.results	m_GR_in_04d_1.isoforms.results	m_GR_in_04d_2.isoforms.results	m_GR_in_04d_3.isoforms.results	m_GR_un_04d_1.isoforms.results	m_GR_un_04d_2.isoforms.results	m_GR_un_04d_3.isoforms.results	m_GR_in_07d_1.isoforms.results	m_GR_in_07d_2.isoforms.results	m_GR_in_07d_3.isoforms.results	m_GR_un_07d_1.isoforms.results	m_GR_un_07d_2.isoforms.results	m_GR_un_07d_3.isoforms.results	m_GR_in_10d_1.isoforms.results	m_GR_in_10d_2.isoforms.results	m_GR_in_10d_3.isoforms.results	m_GR_un_10d_1.isoforms.results	m_GR_un_10d_2.isoforms.results	m_GR_un_10d_3.isoforms.results	m_GR_in_15d_1.isoforms.results	m_GR_in_15d_2.isoforms.results	m_GR_in_15d_3.isoforms.results	m_GR_un_15d_1.isoforms.results	m_GR_un_15d_2.isoforms.results	m_GR_un_15d_3.isoforms.results	m_GR_in_20d_1.isoforms.results	m_GR_in_20d_2.isoforms.results	m_GR_in_20d_3.isoforms.results	m_GR_un_20d_1.isoforms.results	m_GR_un_20d_2.isoforms.results	m_GR_un_20d_3.isoforms.results	m_GR_in_25d_1.isoforms.results	m_GR_in_25d_2.isoforms.results	m_GR_in_25d_3.isoforms.results	m_GR_un_25d_1.isoforms.results	m_GR_un_25d_2.isoforms.results	m_GR_un_25d_3.isoforms.results
GlmaCp005	378	398	461	672	348	459	88	126	187	134	190	160	158	192	160	146	141	147	555	437	215	472	446	534	748	707	1943	169	188	203	751	965	1459	401	724	523	378	341	564	176	427	219	528	389	666	318	396	371
GlmaCp009	257	368	462	402	285	413	144	168	242	155	194	226	307	208	356	233	213	279	338	347	152	434	395	396	459	495	1466	234	356	358	1154	658	1360	493	753	623	225	206	281	216	393	240	243	245	429	208	276	257
GlmaCp013	232	307	275	427	284	355	22	57	62	39	64	57	94	191	170	116	114	96	77	152	50	139	77	151	214	244	689	171	180	98	188	117	164	64	148	116	185	169	281	166	200	168	377	291	474	219	208	209
GlmaCp018	6	0	3	14	4	4	0	3	1	0	1	1	2	26	7	9	5	2	3	9	1	3	2	1	13	2	5	5	4	0	5	0	2	0	3	4	10	4	11	3	0	8	10	7	10	3	5	2
GlmaCp026	1363.46	2238.84	2124.65	2298.49	1486.3	1837	690.26	1085.15	1569.15	1015.75	1480.24	1348.09	1410.99	1262.75	1879.62	1288.58	1282.41	1639.97	1267.31	1295.92	562.86	1765.9	1451.5	1538.5	2511.31	2974.61	7468.78	1207.68	1968.85	1888.64	6519.48	4685.92	7577.77	2531.37	4093.62	4117.39	1413.39	1536.28	1822.27	1565.59	1807.7	1508.79	2070.41	2034.44	3364.6	1482.67	1746.9	1755.1
GlmaCp029	329.38	394.01	374.79	565.23	383.27	380.59	63	89.48	74.85	62.87	116	83.9	286.34	399.01	302.01	283.46	169.93	212.71	170.84	254.3	77	289.6	262.78	282.52	364.5	342.86	841.17	284.14	307.64	195.9	392.78	215	319.89	131.91	164.83	186.93	193.81	161.57	268.35	110.02	212.54	149.75	244.76	190.37	455.9	243.9	245.7	215.91
GlmaCp047	2090	3502	3549	3996	2732	2962	834	1123	1686	1147	1581	1654	1845	1624	2623	1729	1845	2085	1866	1684	787	2515	2036	2158	2379	2730	7528	1713	2434	2289	6768	5694	9007	2472	3870	3219	1195	1159	1628	2131	2437	1957	3684	3334	4109	2104	2056	2113
GlmaCp048	4	0	1	2	2	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	1	0	1	0	0
GlmaCp055	15	14	11	18	11	16	0	1	3	0	1	0	1	8	4	4	1	3	2	10	0	3	2	3	15	3	16	5	3	3	9	0	4	0	0	0	33	11	19.99	5	0	5	4	4	7	3	5	7
GlmaCp058	827	1197	1179	1485	1005	1080	296	408	492	328	481	484	745	914	736	646	556	730	748	919	307	1034	780	916	1413	1424	3782	707	810	645	2925	2426	3619	829	1486	1190	958	886	1295	619	896	691	900	830	1458	670	764	666
