name	SRR1944912_f0	SRR1944912_f1	SRR1944912_f2	SRR1944913_f0	SRR1944913_f1	SRR1944913_f2	SRR1944914_f0	SRR1944914_f1	SRR1944914_f2	SRR1944915_f0	SRR1944915_f1	SRR1944915_f2	SRR1944916_f0	SRR1944916_f1	SRR1944916_f2	SRR1944917_f0	SRR1944917_f1	SRR1944917_f2
AI1	11	5	5	14	12	12	6	3	9	5	8	8	3	2	0	5	5	4
AI2	3	5	3	10	7	3	4	2	5	4	4	3	3	7	1	1	2	2
AI3	0	0	1	6	6	3	2	1	3	1	4	3	2	1	0	0	0	1
AI4	0	2	3	11	12	9	4	3	5	4	7	6	3	4	1	1	0	2
AI5_ALPHA	2	3	3	13	13	9	4	2	6	4	11	7	3	5	2	1	0	1
AI5_BETA	2	0	5	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0
ATP6	2	8	5	12	10	17	3	2	1	11	8	5	13	2	6	2	1	3
ATP8	1	0	3	3	3	2	0	1	0	4	6	2	3	1	1	0	0	1
BI2	4	5	2	6	2	8	1	1	1	7	4	8	4	2	4	1	0	1
BI3	4	5	2	7	7	9	0	0	1	7	5	8	5	2	5	1	2	1
BI4	4	5	2	6	11	11	0	2	1	14	8	10	6	3	6	1	1	1
CCW22	1348	1051	591	1732	1154	737	1051	418	456	1798	1625	579	2022	1267	957	1200	498	477
COB	5	7	6	7	14	13	0	1	3	14	9	11	6	3	6	1	1	3
COX1	2	5	4	13	16	12	6	2	7	11	16	10	5	7	6	1	4	1
COX2	3	9	9	15	9	12	3	1	0	19	20	24	7	10	8	2	1	8
COX3	6	1	5	9	11	15	1	2	2	14	14	13	6	3	9	4	7	2
CRS5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FLO8	51	21	24	69	16	29	27	9	14	88	46	22	101	37	27	43	13	20
NM_001178148.1	210	104	99	315	111	103	138	63	84	338	195	93	283	104	125	170	51	73
NM_001178149.1	77	51	39	126	52	52	77	26	29	121	80	41	89	37	47	55	26	33
NM_001178150.1	19469	11303	9127	23993	12455	11106	10470	4679	6010	21196	17927	7128	18517	9974	9728	10405	4599	4884
NM_001178151.1	67783	39753	27656	85652	44832	35992	48779	20808	26136	97700	82251	29581	86919	46695	40927	50293	21482	23336
NM_001178152.1	766	429	295	1009	511	452	542	218	291	836	612	268	794	424	426	414	208	211
NM_001178153.1	197	94	73	255	112	84	159	51	58	332	215	63	287	125	129	165	53	77
NM_001178154.1	66	28	23	68	39	28	41	8	14	91	56	27	80	39	28	57	20	18
NM_001178155.2	77	41	28	97	36	44	37	23	26	97	59	46	98	50	49	47	20	25
NM_001178156.1	60	41	48	89	53	42	63	22	26	103	70	37	78	30	46	51	22	20
NM_001178157.1	7332	4493	3154	8574	4985	3769	4467	1897	2575	7534	6366	2634	7298	4236	3956	4724	2028	2524
NM_001178158.2	173	97	69	243	120	91	96	47	67	273	210	89	174	124	106	138	46	99
