Sample	Meta	Nucleotide	Codon	Frame	Density
SRR1944928	TIS	-30	-10	0	0.0
SRR1944928	TIS	-29	-10	1	0.0
SRR1944928	TIS	-28	-10	2	0.0
SRR1944928	TIS	-27	-9	0	0.0
SRR1944928	TIS	-26	-9	1	0.0
SRR1944928	TIS	-25	-9	2	0.0
SRR1944928	TIS	-24	-8	0	0.0
SRR1944928	TIS	-23	-8	1	0.0
SRR1944928	TIS	-22	-8	2	0.0
SRR1944928	TIS	-21	-7	0	0.0
SRR1944928	TIS	-20	-7	1	0.0
SRR1944928	TIS	-19	-7	2	0.0
SRR1944928	TIS	-18	-6	0	1.2684832317073171
SRR1944928	TIS	-17	-6	1	1.0375381097560976
SRR1944928	TIS	-16	-6	2	1.0139100609756098
SRR1944928	TIS	-15	-5	0	1.115282012195122
SRR1944928	TIS	-14	-5	1	1.2540015243902438
SRR1944928	TIS	-13	-5	2	1.1063262195121952
SRR1944928	TIS	-12	-4	0	1.4516006097560976
SRR1944928	TIS	-11	-4	1	1.586890243902439
SRR1944928	TIS	-10	-4	2	1.6440548780487805
SRR1944928	TIS	-9	-3	0	1.6305259146341464
SRR1944928	TIS	-8	-3	1	1.4294969512195121
SRR1944928	TIS	-7	-3	2	1.4609375
SRR1944928	TIS	-6	-2	0	1.5571646341463414
SRR1944928	TIS	-5	-2	1	1.5236280487804879
SRR1944928	TIS	-4	-2	2	1.6716844512195121
SRR1944928	TIS	-3	-1	0	1.5485899390243902
SRR1944928	TIS	-2	-1	1	1.491044207317073
SRR1944928	TIS	-1	-1	2	1.6141387195121952
SRR1944928	TIS	0	0	0	1.7955411585365855
SRR1944928	TIS	1	0	1	1.740282012195122
SRR1944928	TIS	2	0	2	1.6899771341463414
SRR1944928	TIS	3	1	0	1.868330792682927
SRR1944928	TIS	4	1	1	1.774580792682927
SRR1944928	TIS	5	1	2	1.6450076219512195
SRR1944928	TIS	6	2	0	1.7976371951219512
SRR1944928	TIS	7	2	1	2.185213414634146
SRR1944928	TIS	8	2	2	1.8969131097560976
SRR1944928	TIS	9	3	0	2.0150533536585367
SRR1944928	TIS	10	3	1	2.5173399390243905
SRR1944928	TIS	11	3	2	0.5994664634146342
SRR1944928	TIS	12	4	0	3.234375
SRR1944928	TIS	13	4	1	0.7842987804878049
SRR1944928	TIS	14	4	2	1.0283917682926829
SRR1944928	TIS	15	5	0	1.4369283536585367
SRR1944928	TIS	16	5	1	1.53125
SRR1944928	TIS	17	5	2	1.569169207317073
SRR1944928	TIS	18	6	0	1.750952743902439
SRR1944928	TIS	19	6	1	1.5672637195121952
SRR1944928	TIS	20	6	2	1.4174923780487805
SRR1944928	TIS	21	7	0	1.6613948170731707
SRR1944928	TIS	22	7	1	1.6107088414634145
SRR1944928	TIS	23	7	2	1.6680640243902438
SRR1944928	TIS	24	8	0	1.8488948170731707
SRR1944928	TIS	25	8	1	1.6642530487804879
SRR1944928	TIS	26	8	2	1.4961890243902438
SRR1944928	TIS	27	9	0	1.9068216463414633
SRR1944928	TIS	28	9	1	1.8610899390243902
SRR1944928	TIS	29	9	2	1.459032012195122
SRR1944928	TIS	30	10	0	1.8119283536585367
SRR1944928	TIS	31	10	1	1.9647484756097562
SRR1944928	TIS	32	10	2	1.530297256097561
SRR1944928	TIS	33	11	0	1.9045350609756098
SRR1944928	TIS	34	11	1	1.7778201219512195
SRR1944928	TIS	35	11	2	1.544969512195122
SRR1944928	TIS	36	12	0	1.819359756097561
SRR1944928	TIS	37	12	1	1.8462271341463414
SRR1944928	TIS	38	12	2	1.4950457317073171
SRR1944928	TIS	39	13	0	1.8071646341463414
SRR1944928	TIS	40	13	1	1.7930640243902438
SRR1944928	TIS	41	13	2	1.3460365853658536
SRR1944928	TIS	42	14	0	1.7134146341463414
SRR1944928	TIS	43	14	1	1.7934451219512195
SRR1944928	TIS	44	14	2	1.4413109756097562
SRR1944928	TIS	45	15	0	1.7534298780487805
SRR1944928	TIS	46	15	1	2.0072408536585367
SRR1944928	TIS	47	15	2	1.3128810975609757
SRR1944928	TIS	48	16	0	1.9333079268292683
SRR1944928	TIS	49	16	1	1.8704268292682926
SRR1944928	TIS	50	16	2	1.383955792682927
SRR1944928	TIS	51	17	0	1.8540396341463414
SRR1944928	TIS	52	17	1	1.7469512195121952
SRR1944928	TIS	53	17	2	1.4369283536585367
SRR1944928	TIS	54	18	0	1.7532393292682926
SRR1944928	TIS	55	18	1	1.8751905487804879
SRR1944928	TIS	56	18	2	1.477705792682927
SRR1944928	TIS	57	19	0	1.6585365853658536
SRR1944928	TIS	58	19	1	1.8178353658536586
SRR1944928	TIS	59	19	2	1.4493140243902438
SRR1944928	TIS	60	20	0	1.8043064024390243
SRR1944928	TIS	61	20	1	1.8669969512195121
SRR1944928	TIS	62	20	2	1.4298780487804879
SRR1944928	TIS	63	21	0	1.7416158536585367
