Sample	Meta	Nucleotide	Codon	Frame	Density
ssb1d_ssb2_flag_high_1	TIS	-30	-10	0	0.0
ssb1d_ssb2_flag_high_1	TIS	-29	-10	1	0.0
ssb1d_ssb2_flag_high_1	TIS	-28	-10	2	0.0
ssb1d_ssb2_flag_high_1	TIS	-27	-9	0	0.0
ssb1d_ssb2_flag_high_1	TIS	-26	-9	1	0.0
ssb1d_ssb2_flag_high_1	TIS	-25	-9	2	0.0
ssb1d_ssb2_flag_high_1	TIS	-24	-8	0	0.0
ssb1d_ssb2_flag_high_1	TIS	-23	-8	1	0.0
ssb1d_ssb2_flag_high_1	TIS	-22	-8	2	0.0
ssb1d_ssb2_flag_high_1	TIS	-21	-7	0	0.0
ssb1d_ssb2_flag_high_1	TIS	-20	-7	1	0.0
ssb1d_ssb2_flag_high_1	TIS	-19	-7	2	0.0
ssb1d_ssb2_flag_high_1	TIS	-18	-6	0	0.004654255319148936
ssb1d_ssb2_flag_high_1	TIS	-17	-6	1	0.00964095744680851
ssb1d_ssb2_flag_high_1	TIS	-16	-6	2	0.007978723404255319
ssb1d_ssb2_flag_high_1	TIS	-15	-5	0	0.020279255319148936
ssb1d_ssb2_flag_high_1	TIS	-14	-5	1	0.008643617021276596
ssb1d_ssb2_flag_high_1	TIS	-13	-5	2	0.008643617021276596
ssb1d_ssb2_flag_high_1	TIS	-12	-4	0	0.010970744680851064
ssb1d_ssb2_flag_high_1	TIS	-11	-4	1	0.015625
ssb1d_ssb2_flag_high_1	TIS	-10	-4	2	0.007313829787234043
ssb1d_ssb2_flag_high_1	TIS	-9	-3	0	0.007978723404255319
ssb1d_ssb2_flag_high_1	TIS	-8	-3	1	0.014295212765957447
ssb1d_ssb2_flag_high_1	TIS	-7	-3	2	0.007978723404255319
ssb1d_ssb2_flag_high_1	TIS	-6	-2	0	0.006981382978723404
ssb1d_ssb2_flag_high_1	TIS	-5	-2	1	0.005984042553191489
ssb1d_ssb2_flag_high_1	TIS	-4	-2	2	0.004654255319148936
ssb1d_ssb2_flag_high_1	TIS	-3	-1	0	0.012632978723404254
ssb1d_ssb2_flag_high_1	TIS	-2	-1	1	0.08078457446808511
ssb1d_ssb2_flag_high_1	TIS	-1	-1	2	0.789561170212766
ssb1d_ssb2_flag_high_1	TIS	0	0	0	2.429853723404255
ssb1d_ssb2_flag_high_1	TIS	1	0	1	0.3168218085106383
ssb1d_ssb2_flag_high_1	TIS	2	0	2	0.31382978723404253
ssb1d_ssb2_flag_high_1	TIS	3	1	0	0.683843085106383
ssb1d_ssb2_flag_high_1	TIS	4	1	1	0.1299867021276596
ssb1d_ssb2_flag_high_1	TIS	5	1	2	0.1668882978723404
ssb1d_ssb2_flag_high_1	TIS	6	2	0	0.6156914893617021
ssb1d_ssb2_flag_high_1	TIS	7	2	1	0.11934840425531915
ssb1d_ssb2_flag_high_1	TIS	8	2	2	0.2855718085106383
ssb1d_ssb2_flag_high_1	TIS	9	3	0	0.5651595744680851
ssb1d_ssb2_flag_high_1	TIS	10	3	1	0.14095744680851063
ssb1d_ssb2_flag_high_1	TIS	11	3	2	0.12400265957446809
ssb1d_ssb2_flag_high_1	TIS	12	4	0	0.8297872340425532
ssb1d_ssb2_flag_high_1	TIS	13	4	1	0.09474734042553191
ssb1d_ssb2_flag_high_1	TIS	14	4	2	0.22539893617021275
ssb1d_ssb2_flag_high_1	TIS	15	5	0	0.6126994680851063
ssb1d_ssb2_flag_high_1	TIS	16	5	1	0.14128989361702127
ssb1d_ssb2_flag_high_1	TIS	17	5	2	0.2682845744680851
ssb1d_ssb2_flag_high_1	TIS	18	6	0	0.6735372340425532
ssb1d_ssb2_flag_high_1	TIS	19	6	1	0.1180186170212766
ssb1d_ssb2_flag_high_1	TIS	20	6	2	0.3151595744680851
ssb1d_ssb2_flag_high_1	TIS	21	7	0	0.7330452127659575
ssb1d_ssb2_flag_high_1	TIS	22	7	1	0.13530585106382978
ssb1d_ssb2_flag_high_1	TIS	23	7	2	0.26861702127659576
ssb1d_ssb2_flag_high_1	TIS	24	8	0	0.6638962765957447
ssb1d_ssb2_flag_high_1	TIS	25	8	1	0.11436170212765957
ssb1d_ssb2_flag_high_1	TIS	26	8	2	0.2596409574468085
ssb1d_ssb2_flag_high_1	TIS	27	9	0	0.5867686170212766
ssb1d_ssb2_flag_high_1	TIS	28	9	1	0.1422872340425532
ssb1d_ssb2_flag_high_1	TIS	29	9	2	0.27925531914893614
ssb1d_ssb2_flag_high_1	TIS	30	10	0	0.6519281914893617
