	0	1	2	3	4	5	6	7	8	mean
NM_001348874.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184542.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184643.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184541.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348850.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184589.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182404.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178864.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395033.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184571.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182425.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184632.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348891.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348875.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184432.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184431.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183278.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180173.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182496.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182355.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182354.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182352.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348883.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179786.2	0	0	0	0	0	0	0	0	0	0.0
NM_001181884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181887.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181825.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348853.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178650.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184610.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270756.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180305.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180306.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180307.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348857.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348881.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179789.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348858.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184674.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348897.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184625.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348832.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184638.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182150.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348827.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184557.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184578.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182398.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183385.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184665.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183358.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181813.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184556.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348848.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181216.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181765.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184572.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182514.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395040.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178891.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182397.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184595.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181737.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184302.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180853.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184300.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180844.3	0	0	0	0	0	0	0	0	0	0.0
NM_001183674.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348828.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179070.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181283.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184614.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182349.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182442.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184612.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184456.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183807.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181195.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181188.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184014.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181816.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184392.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184391.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184605.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181684.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181687.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184552.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181365.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348847.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181461.3	0	0	0	0	0	0	0	0	0	0.0
NM_001181462.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178885.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178890.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348861.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184628.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348888.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182047.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184565.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182046.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178764.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183487.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179894.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183771.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182838.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184543.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395042.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348882.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182191.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348860.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348859.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184576.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184305.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180246.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348878.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184545.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348814.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348889.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184290.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348818.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270750.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348869.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184574.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180043.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180422.3	0	0	0	0	0	0	0	0	0	0.0
NM_001180045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183179.3	0	0	0	0	0	0	0	0	0	0.0
NM_001183034.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184544.3	0	0	0	0	0	0	0	0	0	0.0
