name	from_tis	region	wt_1	wt_2	wt_ssb1_flag_1	wt_ssb1_flag_2	enrich	edge	bound
YHL039W-t26_1	-10	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-9	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-8	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-7	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-6	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-5	5utr	0	0	0	0	0.0		
YHL039W-t26_1	-4	5utr	0	1	0	0	0.0		
YHL039W-t26_1	-3	5utr	0	0	0	0	0.029651220666199723		
YHL039W-t26_1	-2	5utr	0	0	0	0	0.09112208151960634		
YHL039W-t26_1	-1	5utr	4	2	0	1	0.09112208151960634		
YHL039W-t26_1	0	cds	8	17	3	6	0.09112208151960635		
YHL039W-t26_1	1	cds	0	1	0	0	0.16885762230971957		
YHL039W-t26_1	2	cds	0	4	0	0	0.20826876640666947		
YHL039W-t26_1	3	cds	5	4	1	3	0.2015701995730906		
YHL039W-t26_1	4	cds	0	4	0	2	0.20157019957309058		
YHL039W-t26_1	5	cds	3	2	1	0	0.28669592334964433		
YHL039W-t26_1	6	cds	0	0	0	0	0.27490257950617103		
YHL039W-t26_1	7	cds	0	0	0	2	0.20584021474302144		
YHL039W-t26_1	8	cds	1	4	0	2	0.2299718170684565		
YHL039W-t26_1	9	cds	2	3	0	0	0.2299718170684565		
YHL039W-t26_1	10	cds	1	2	1	0	0.3101582254404486		
YHL039W-t26_1	11	cds	2	0	0	0	0.24421602849380863		
YHL039W-t26_1	12	cds	2	2	1	3	0.3000621863709281		
YHL039W-t26_1	13	cds	2	4	0	0	0.22115829002566517		
YHL039W-t26_1	14	cds	3	1	0	1	0.22115829002566517		
YHL039W-t26_1	15	cds	3	5	0	0	0.05584615787711942		
YHL039W-t26_1	16	cds	17	3	0	0	0.07437060673738605		
YHL039W-t26_1	17	cds	0	0	0	0	0.10450693754735926		
YHL039W-t26_1	18	cds	2	6	0	1	0.10450693754735926		
YHL039W-t26_1	19	cds	4	3	0	4	0.10450693754735926		
YHL039W-t26_1	20	cds	3	12	0	0	0.10450693754735926		
YHL039W-t26_1	21	cds	0	8	0	0	0.08598248868709263		
YHL039W-t26_1	22	cds	0	1	0	0	0.0		
YHL039W-t26_1	23	cds	0	1	0	0	0.0		
YHL039W-t26_1	24	cds	0	3	0	0	0.06594219694663996		
YHL039W-t26_1	25	cds	1	0	0	0	0.13561348864487946		
YHL039W-t26_1	26	cds	1	4	0	2	0.13561348864487946		
YHL039W-t26_1	27	cds	1	1	0	1	0.326895169545492		
YHL039W-t26_1	28	cds	3	4	0	0	0.39846501800080586		
YHL039W-t26_1	29	cds	2	2	2	2	0.4681363096990454		
YHL039W-t26_1	30	cds	1	0	1	0	0.39846501800080586		
YHL039W-t26_1	31	cds	1	2	0	3	0.3984650180008059		
YHL039W-t26_1	32	cds	0	1	0	0	0.20718333710019335		
YHL039W-t26_1	33	cds	5	5	0	0	0.22602248107479908		
YHL039W-t26_1	34	cds	0	0	0	0	0.09040899242991964		
YHL039W-t26_1	35	cds	1	2	0	2	0.1274578901504529		
YHL039W-t26_1	36	cds	1	2	0	0	0.1948493962950538		
YHL039W-t26_1	37	cds	1	3	0	1	0.28537114468508157		
YHL039W-t26_1	38	cds	0	3	1	0	0.1949621522551619		
YHL039W-t26_1	39	cds	1	4	1	1	0.19496215225516192		
YHL039W-t26_1	40	cds	0	4	0	0	0.15791325453462862		
YHL039W-t26_1	41	cds	0	3	0	0	0.09052174839002773		
YHL039W-t26_1	42	cds	2	1	0	0	0.04520449621495982		
YHL039W-t26_1	43	cds	1	2	0	0	0.04520449621495982		
YHL039W-t26_1	44	cds	1	2	0	1	0.24821678512044532		
YHL039W-t26_1	45	cds	1	8	0	0	0.4627341701105876		
YHL039W-t26_1	46	cds	1	2	2	1	0.4627341701105876		
YHL039W-t26_1	47	cds	1	2	1	3	0.4175296738956278		
YHL039W-t26_1	48	cds	0	0	0	0	0.4175296738956278		
YHL039W-t26_1	49	cds	2	1	0	0	0.2570802468784191		
YHL039W-t26_1	50	cds	0	0	0	0	0.23812773411551902		
YHL039W-t26_1	51	cds	0	0	0	1	0.30935910972201336		
YHL039W-t26_1	52	cds	0	1	1	1	0.41890369776166886		
YHL039W-t26_1	53	cds	0	1	0	1	0.4885749894599083		
YHL039W-t26_1	54	cds	3	2	2	0	0.7394334089070367		
YHL039W-t26_1	55	cds	1	1	0	1	0.5438685366797944		
YHL039W-t26_1	56	cds	1	2	2	3	0.4726371610733001		
YHL039W-t26_1	57	cds	0	0	0	0	0.3630925730336446		
YHL039W-t26_1	58	cds	0	1	0	0	0.36465265694189947		
YHL039W-t26_1	59	cds	0	1	0	0	0.533965545717082		
YHL039W-t26_1	60	cds	0	1	0	1	0.533965545717082		
YHL039W-t26_1	61	cds	1	2	3	5	0.5339655457170821		
YHL039W-t26_1	62	cds	0	1	0	0	0.7295304179443242		
YHL039W-t26_1	63	cds	2	2	0	0	0.7325919982115185		
YHL039W-t26_1	64	cds	0	1	1	1	0.40464084039013265		
YHL039W-t26_1	65	cds	0	0	1	0	0.49817000063656197		
YHL039W-t26_1	66	cds	0	3	2	0	0.6225034972573098		
YHL039W-t26_1	67	cds	0	2	0	2	0.42693862503006763		
YHL039W-t26_1	68	cds	0	1	1	0	0.520855817807218		
YHL039W-t26_1	69	cds	1	3	0	0	0.4603657613917048		
YHL039W-t26_1	70	cds	2	0	2	2	0.450941675470695		
