Sample	Meta	Nucleotide	Codon	Frame	Density
wt_ribo_YPD1	TIS	31	11	0	
wt_ribo_YPD1	TIS	32	11	1	0.6736494487467961
wt_ribo_YPD1	TIS	33	11	2	0.6445833838749057
wt_ribo_YPD1	TIS	34	12	0	0.7867282842300473
wt_ribo_YPD1	TIS	35	12	1	0.9284518927887883
wt_ribo_YPD1	TIS	36	12	2	0.9321796301884395
wt_ribo_YPD1	TIS	37	13	0	0.9886644959281397
wt_ribo_YPD1	TIS	38	13	1	1.0726489675506872
wt_ribo_YPD1	TIS	39	13	2	1.1293515767897615
wt_ribo_YPD1	TIS	40	14	0	1.1632748761093243
wt_ribo_YPD1	TIS	41	14	1	1.216724823579587
wt_ribo_YPD1	TIS	42	14	2	1.4752473030341942
wt_ribo_YPD1	TIS	43	15	0	1.490461927459155
wt_ribo_YPD1	TIS	44	15	1	1.5166423738772974
wt_ribo_YPD1	TIS	45	15	2	1.5505273181957884
wt_ribo_YPD1	TIS	46	16	0	1.5616501825439557
wt_ribo_YPD1	TIS	47	16	1	1.6067837539548502
wt_ribo_YPD1	TIS	48	16	2	1.64509251539156
wt_ribo_YPD1	TIS	49	17	0	1.6722182775142138
wt_ribo_YPD1	TIS	50	17	1	1.7197360318086417
wt_ribo_YPD2	TIS	31	11	0	
wt_ribo_YPD2	TIS	32	11	1	0.5348983980450152
wt_ribo_YPD2	TIS	33	11	2	1.0191955411709386
wt_ribo_YPD2	TIS	34	12	0	1.1884764339689007
wt_ribo_YPD2	TIS	35	12	1	1.3787641047221952
wt_ribo_YPD2	TIS	36	12	2	1.4496046650127412
wt_ribo_YPD2	TIS	37	13	0	1.4217068387113687
wt_ribo_YPD2	TIS	38	13	1	1.4961493377649997
wt_ribo_YPD2	TIS	39	13	2	1.5883973003620009
wt_ribo_YPD2	TIS	40	14	0	1.6172426030440232
wt_ribo_YPD2	TIS	41	14	1	1.6957133520393477
wt_ribo_YPD2	TIS	42	14	2	1.7466022856493901
wt_ribo_YPD2	TIS	43	15	0	1.710150064869545
wt_ribo_YPD2	TIS	44	15	1	1.6863150267068783
wt_ribo_YPD2	TIS	45	15	2	1.6745152288582834
wt_ribo_YPD2	TIS	46	16	0	1.6663256306734433
wt_ribo_YPD2	TIS	47	16	1	1.695623833475782
wt_ribo_YPD2	TIS	48	16	2	1.7416481159496313
