	0	1	2	3	4	5	6	7	8	mean
YLR157C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR158C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR159C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR160C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL121C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL028W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL061W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR261C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR155C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR156C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR212W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR035C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YAR064W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YBL108C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR026W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR028W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJR029W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YER190C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR154W-C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL002W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR272W-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0105-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR210W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL114W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR227W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YPL200W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YNL339C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YFL068W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YJL052C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR321C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR322C-t26_1	0	0	0	0	0	0	0	0	0	0.0
YMR323W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOL131W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157W-D-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-B-t26_1	0	0	0	0	0	0	0	0	0	0.0
YLR157C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL048C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR365W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL015W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHR079C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDR545W-t26_1	0	0	0	0	0	0	0	0	0	0.0
YEL076C-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
Q0115-t26_1	0	0	0	0	0	0	0	0	0	0.0
YOR142W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YDL159W-A-t26_1	0	0	0	0	0	0	0	0	0	0.0
YHL049C-t26_1	0	0	0	0	0	0	0	0	0	0.0
