Codon	Nucleotide	Frame	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
-15	-44	1	0.1453619611700742	0.17771298109962022	0.1501899935944721	0.14921307127739777	0.16354549690068895	0.14221861891324078	0.16399001680893585	0.2100700108848062	0.14754160206805034	0.0997463829676426	0.17058665581078813	0.13848606290023258
-14	-41	1	0.10766007836699579	0.13337984981459947	0.1175603264051936	0.11931218654634898	0.12187273477751355	0.11696181859840213	0.13013861690125403	0.1586068033224942	0.11753759594629615	0.0922523503609901	0.13959228029649626	0.11273418613704426
-13	-38	1	0.12788979175795304	0.1763513492444344	0.14468243830456207	0.14201734510826705	0.1474235789131252	0.1394602891502823	0.16878532944323232	0.2046965065265949	0.13645126021411869	0.1057327838918969	0.1867460636518057	0.13792826051547039
-12	-35	1	0.1409823324978051	0.18060644879189008	0.15963597049735562	0.15140837756628509	0.1656554123420144	0.14944641451520033	0.1652901330969229	0.20001679640197548	0.14595190295354774	0.11363865734837525	0.1761443533371128	0.14505186180420432
-11	-32	1	0.11890653224146457	0.1627049946957706	0.13176566240765974	0.12610815015052798	0.13409942425801494	0.12934461405090047	0.14599398856219398	0.17899891226669343	0.11851394658354973	0.10004790930412223	0.1560673257475835	0.11791709996212636
-10	-29	1	0.11991067990882787	0.15758886323988858	0.1288975770114047	0.12204954377076407	0.12389763531094677	0.12782240467095082	0.13387569534765406	0.16791180833772587	0.1211676175463415	0.09775336742652108	0.14262487694226364	0.12241438168927163
-9	-26	1	0.11573188077003142	0.14791727226849516	0.1252293373560495	0.11949512873708962	0.12402902198678022	0.12052983420175932	0.14138008750296546	0.16940822727292396	0.11842632537251416	0.09557649436315588	0.14446300184796343	0.11151399342037695
-8	-23	1	0.10913540301673723	0.1349317096495539	0.12292239910254	0.11830939231562268	0.12130854493422871	0.11289719567960034	0.13195273265193366	0.1649121685630788	0.10968923890068086	0.08442001991340922	0.13772939949981058	0.10528520012386568
-7	-20	1	0.10857153548044862	0.140368225071362	0.12054271955274869	0.11059871775774062	0.11691095560780312	0.11147214860049853	0.12669179697496274	0.15319248753877754	0.1029549229668036	0.09010489450118389	0.1285202080530721	0.10127599548338737
-6	-17	1	0.11513711638243933	0.15191205984363593	0.12785841563594996	0.11636478458441693	0.13056744126649208	0.12259183414197482	0.12693367907505337	0.1568042986960056	0.10882554410618732	0.08800156444671615	0.13171371799024753	0.10237997936989587
-5	-14	1	0.10009807401046768	0.1511811839213671	0.11260352664427453	0.105720259337991	0.11518747156598781	0.10628476131634382	0.12989673480116343	0.15766814053586997	0.08809686903834212	0.069409891797435	0.14378840381859886	0.09704599406560731
