Sample	Meta	Nucleotide	Codon	Frame	Density
wt_ribo_YPD1	TIS	-30	-10	0	0.0
wt_ribo_YPD1	TIS	-29	-10	1	0.0
wt_ribo_YPD1	TIS	-28	-10	2	0.0
wt_ribo_YPD1	TIS	-27	-9	0	0.0
wt_ribo_YPD1	TIS	-26	-9	1	0.0
wt_ribo_YPD1	TIS	-25	-9	2	0.0
wt_ribo_YPD1	TIS	-24	-8	0	0.0
wt_ribo_YPD1	TIS	-23	-8	1	0.0
wt_ribo_YPD1	TIS	-22	-8	2	0.0
wt_ribo_YPD1	TIS	-21	-7	0	0.0
wt_ribo_YPD1	TIS	-20	-7	1	0.0
wt_ribo_YPD1	TIS	-19	-7	2	0.0
wt_ribo_YPD1	TIS	-18	-6	0	0.0010026067776218166
wt_ribo_YPD1	TIS	-17	-6	1	0.027872468417886504
wt_ribo_YPD1	TIS	-16	-6	2	0.039302185682775215
wt_ribo_YPD1	TIS	-15	-5	0	0.17746139963906157
wt_ribo_YPD1	TIS	-14	-5	1	0.1455785041106878
wt_ribo_YPD1	TIS	-13	-5	2	0.1209143773811911
wt_ribo_YPD1	TIS	-12	-4	0	0.1772608782835372
wt_ribo_YPD1	TIS	-11	-4	1	0.2023260477240826
wt_ribo_YPD1	TIS	-10	-4	2	0.18949268097052335
wt_ribo_YPD1	TIS	-9	-3	0	0.19069580910366954
wt_ribo_YPD1	TIS	-8	-3	1	0.30459193904150794
wt_ribo_YPD1	TIS	-7	-3	2	0.2466412672949669
wt_ribo_YPD1	TIS	-6	-2	0	0.22899538800882294
wt_ribo_YPD1	TIS	-5	-2	1	0.29195909364347306
wt_ribo_YPD1	TIS	-4	-2	2	0.22739121716462804
wt_ribo_YPD1	TIS	-3	-1	0	0.2833366753559254
wt_ribo_YPD1	TIS	-2	-1	1	1.2083416883898135
wt_ribo_YPD1	TIS	-1	-1	2	10.118909163825947
wt_ribo_YPD1	TIS	0	0	0	33.57188690595549
wt_ribo_YPD1	TIS	1	0	1	19.802486464808503
wt_ribo_YPD1	TIS	2	0	2	48.016041708441946
wt_ribo_YPD1	TIS	3	1	0	50.15420092239823
wt_ribo_YPD1	TIS	4	1	1	8.090234609985963
wt_ribo_YPD1	TIS	5	1	2	12.170844194906758
wt_ribo_YPD1	TIS	6	2	0	16.134549829556846
wt_ribo_YPD1	TIS	7	2	1	4.862241828754763
wt_ribo_YPD1	TIS	8	2	2	12.638058953278524
wt_ribo_YPD1	TIS	9	3	0	17.77661920994586
wt_ribo_YPD1	TIS	10	3	1	5.371967114497694
wt_ribo_YPD1	TIS	11	3	2	16.235011028674553
wt_ribo_YPD1	TIS	12	4	0	15.572688991377582
wt_ribo_YPD1	TIS	13	4	1	9.827952676960097
wt_ribo_YPD1	TIS	14	4	2	6.2430318828955285
wt_ribo_YPD1	TIS	15	5	0	28.618006817726087
wt_ribo_YPD1	TIS	16	5	1	3.351513936234209
wt_ribo_YPD1	TIS	17	5	2	6.054942851413675
wt_ribo_YPD1	TIS	18	6	0	13.832765189492681
wt_ribo_YPD1	TIS	19	6	1	4.285141367555645
wt_ribo_YPD1	TIS	20	6	2	9.295568478042911
wt_ribo_YPD1	TIS	21	7	0	11.934830559454582
wt_ribo_YPD1	TIS	22	7	1	4.041106877882495
wt_ribo_YPD1	TIS	23	7	2	7.020052135552437
wt_ribo_YPD1	TIS	24	8	0	10.851814718267496
wt_ribo_YPD1	TIS	25	8	1	3.17325045117305
wt_ribo_YPD1	TIS	26	8	2	7.7371165029075595
wt_ribo_YPD1	TIS	27	9	0	10.653900140364948
wt_ribo_YPD1	TIS	28	9	1	2.9827551634249048
wt_ribo_YPD1	TIS	29	9	2	8.48024864648085
wt_ribo_YPD1	TIS	30	10	0	11.880489272107479
wt_ribo_YPD1	TIS	31	10	1	3.639663124122719
wt_ribo_YPD1	TIS	32	10	2	6.343092039302186
wt_ribo_YPD1	TIS	33	11	0	10.686785642670944
wt_ribo_YPD1	TIS	34	11	1	3.156607178664528
wt_ribo_YPD1	TIS	35	11	2	6.125726889913776
wt_ribo_YPD1	TIS	36	12	0	9.006416683376779
wt_ribo_YPD1	TIS	37	12	1	3.0290755965510328
