Sample	Meta	Nucleotide	Codon	Frame	Density
ncs2d_ribo_YPD3	TIS	-30	-10	0	0.0
ncs2d_ribo_YPD3	TIS	-29	-10	1	0.0
ncs2d_ribo_YPD3	TIS	-28	-10	2	0.0
ncs2d_ribo_YPD3	TIS	-27	-9	0	0.0
ncs2d_ribo_YPD3	TIS	-26	-9	1	0.0
ncs2d_ribo_YPD3	TIS	-25	-9	2	0.0
ncs2d_ribo_YPD3	TIS	-24	-8	0	0.0
ncs2d_ribo_YPD3	TIS	-23	-8	1	0.0
ncs2d_ribo_YPD3	TIS	-22	-8	2	0.0
ncs2d_ribo_YPD3	TIS	-21	-7	0	0.0
ncs2d_ribo_YPD3	TIS	-20	-7	1	0.0
ncs2d_ribo_YPD3	TIS	-19	-7	2	0.0
ncs2d_ribo_YPD3	TIS	-18	-6	0	0.025742163172098816
ncs2d_ribo_YPD3	TIS	-17	-6	1	0.04421839319078264
ncs2d_ribo_YPD3	TIS	-16	-6	2	0.08926717874195557
ncs2d_ribo_YPD3	TIS	-15	-5	0	0.09777870043595599
ncs2d_ribo_YPD3	TIS	-14	-5	1	0.09383433672410214
ncs2d_ribo_YPD3	TIS	-13	-5	2	0.10878139921112726
ncs2d_ribo_YPD3	TIS	-12	-4	0	0.11397135146356653
ncs2d_ribo_YPD3	TIS	-11	-4	1	0.13037160058127464
ncs2d_ribo_YPD3	TIS	-10	-4	2	0.10878139921112726
ncs2d_ribo_YPD3	TIS	-9	-3	0	0.12684243304961595
ncs2d_ribo_YPD3	TIS	-8	-3	1	0.14345028025742163
ncs2d_ribo_YPD3	TIS	-7	-3	2	0.12061449034668881
ncs2d_ribo_YPD3	TIS	-6	-2	0	0.12518164832883538
ncs2d_ribo_YPD3	TIS	-5	-2	1	0.1214448827070791
ncs2d_ribo_YPD3	TIS	-4	-2	2	0.13452356238322608
ncs2d_ribo_YPD3	TIS	-3	-1	0	0.543076603695246
ncs2d_ribo_YPD3	TIS	-2	-1	1	5.43844716628607
ncs2d_ribo_YPD3	TIS	-1	-1	2	36.915092381150096
ncs2d_ribo_YPD3	TIS	0	0	0	74.47290844924227
ncs2d_ribo_YPD3	TIS	1	0	1	23.849698982769358
ncs2d_ribo_YPD3	TIS	2	0	2	7.122275275067469
ncs2d_ribo_YPD3	TIS	3	1	0	11.31118953705626
ncs2d_ribo_YPD3	TIS	4	1	1	4.195349802781815
ncs2d_ribo_YPD3	TIS	5	1	2	4.829146771849699
ncs2d_ribo_YPD3	TIS	6	2	0	9.224621133485572
ncs2d_ribo_YPD3	TIS	7	2	1	4.136391945194104
ncs2d_ribo_YPD3	TIS	8	2	2	7.449657463151339
ncs2d_ribo_YPD3	TIS	9	3	0	11.41374299356446
ncs2d_ribo_YPD3	TIS	10	3	1	3.935644592069753
ncs2d_ribo_YPD3	TIS	11	3	2	6.385094457130994
ncs2d_ribo_YPD3	TIS	12	4	0	12.961801951422046
ncs2d_ribo_YPD3	TIS	13	4	1	8.829354369939796
ncs2d_ribo_YPD3	TIS	14	4	2	3.58376582935437
ncs2d_ribo_YPD3	TIS	15	5	0	4.62217147602242
ncs2d_ribo_YPD3	TIS	16	5	1	2.5530413120199293
ncs2d_ribo_YPD3	TIS	17	5	2	4.214448827070791
ncs2d_ribo_YPD3	TIS	18	6	0	9.642516088851982
ncs2d_ribo_YPD3	TIS	19	6	1	3.0801328627776625
ncs2d_ribo_YPD3	TIS	20	6	2	3.295619680298941
ncs2d_ribo_YPD3	TIS	21	7	0	7.373676562175628
ncs2d_ribo_YPD3	TIS	22	7	1	3.491177081170853
ncs2d_ribo_YPD3	TIS	23	7	2	3.624455055013494
ncs2d_ribo_YPD3	TIS	24	8	0	6.660369524600374
ncs2d_ribo_YPD3	TIS	25	8	1	2.6861116877724727
ncs2d_ribo_YPD3	TIS	26	8	2	3.240606186423085
ncs2d_ribo_YPD3	TIS	27	9	0	7.1704380319701055
ncs2d_ribo_YPD3	TIS	28	9	1	2.8121237284616982
ncs2d_ribo_YPD3	TIS	29	9	2	3.657878347519203
ncs2d_ribo_YPD3	TIS	30	10	0	7.39402117500519
ncs2d_ribo_YPD3	TIS	31	10	1	2.7272161096117915
ncs2d_ribo_YPD3	TIS	32	10	2	2.712061449034669
ncs2d_ribo_YPD3	TIS	33	11	0	5.679053352709155
ncs2d_ribo_YPD3	TIS	34	11	1	2.2078056881876686
ncs2d_ribo_YPD3	TIS	35	11	2	2.651442806726178
ncs2d_ribo_YPD3	TIS	36	12	0	5.425991280880216
ncs2d_ribo_YPD3	TIS	37	12	1	2.186215486817521
ncs2d_ribo_YPD3	TIS	38	12	2	2.4181025534565084
ncs2d_ribo_YPD3	TIS	39	13	0	5.0564666805065395
ncs2d_ribo_YPD3	TIS	40	13	1	2.2844093834336725
ncs2d_ribo_YPD3	TIS	41	13	2	2.512974880631098
ncs2d_ribo_YPD3	TIS	42	14	0	5.1704380319701055
ncs2d_ribo_YPD3	TIS	43	14	1	1.9090720365372638
ncs2d_ribo_YPD3	TIS	44	14	2	2.0419348141997093
ncs2d_ribo_YPD3	TIS	45	15	0	4.4614905542869
ncs2d_ribo_YPD3	TIS	46	15	1	1.9698982769358522
ncs2d_ribo_YPD3	TIS	47	15	2	2.2671787419555742
ncs2d_ribo_YPD3	TIS	48	16	0	4.477475607224414
ncs2d_ribo_YPD3	TIS	49	16	1	1.8835374714552626
ncs2d_ribo_YPD3	TIS	50	16	2	2.399211127257629
ncs2d_ribo_YPD3	TIS	51	17	0	4.688187668673448
ncs2d_ribo_YPD3	TIS	52	17	1	1.886236246626531
ncs2d_ribo_YPD3	TIS	53	17	2	2.059580651858003
ncs2d_ribo_YPD3	TIS	54	18	0	4.608677600166079
ncs2d_ribo_YPD3	TIS	55	18	1	2.339838073489724
ncs2d_ribo_YPD3	TIS	56	18	2	2.657463151339008
ncs2d_ribo_YPD3	TIS	57	19	0	4.985260535603072
ncs2d_ribo_YPD3	TIS	58	19	1	2.0772264895162964
ncs2d_ribo_YPD3	TIS	59	19	2	2.3549927340668466
ncs2d_ribo_YPD3	TIS	60	20	0	4.84014947062487
ncs2d_ribo_YPD3	TIS	61	20	1	1.8478305999584803
ncs2d_ribo_YPD3	TIS	62	20	2	2.308283163794893
ncs2d_ribo_YPD3	TIS	63	21	0	4.417479759186215
ncs2d_ribo_YPD3	TIS	64	21	1	1.7948930869835997
ncs2d_ribo_YPD3	TIS	65	21	2	2.2067676977371806
ncs2d_ribo_YPD3	TIS	66	22	0	4.48370354992734
ncs2d_ribo_YPD3	TIS	67	22	1	1.7907411251816483
ncs2d_ribo_YPD3	TIS	68	22	2	2.193066223790741
ncs2d_ribo_YPD3	TIS	69	23	0	4.185177496367033
ncs2d_ribo_YPD3	TIS	70	23	1	1.7079094872327174
ncs2d_ribo_YPD3	TIS	71	23	2	2.146771849698983
ncs2d_ribo_YPD3	TIS	72	24	0	4.384264064770604
ncs2d_ribo_YPD3	TIS	73	24	1	1.8445090305169192
ncs2d_ribo_YPD3	TIS	74	24	2	2.1750051899522522
ncs2d_ribo_YPD3	TIS	75	25	0	4.849698982769358
ncs2d_ribo_YPD3	TIS	76	25	1	2.028025742163172
ncs2d_ribo_YPD3	TIS	77	25	2	2.461490554286901
ncs2d_ribo_YPD3	TIS	78	26	0	4.951006850736973
ncs2d_ribo_YPD3	TIS	79	26	1	1.9628399418725349
ncs2d_ribo_YPD3	TIS	80	26	2	2.3234378243720157
ncs2d_ribo_YPD3	TIS	81	27	0	4.426821673240606
ncs2d_ribo_YPD3	TIS	82	27	1	1.852397757940627
ncs2d_ribo_YPD3	TIS	83	27	2	2.1710608262403985
ncs2d_ribo_YPD3	TIS	84	28	0	4.128503217770397
ncs2d_ribo_YPD3	TIS	85	28	1	1.6497820220053976
ncs2d_ribo_YPD3	TIS	86	28	2	2.0328004982354164
ncs2d_ribo_YPD3	TIS	87	29	0	4.695038405646668
ncs2d_ribo_YPD3	TIS	88	29	1	1.8968237492215072
ncs2d_ribo_YPD3	TIS	89	29	2	2.250155698567573
ncs2d_ribo_YPD3	TIS	90	30	0	4.175005189952253
ncs2d_ribo_YPD3	TIS	91	30	1	1.6124143657878347
ncs2d_ribo_YPD3	TIS	92	30	2	2.0602034461282956
ncs2d_ribo_YPD3	TIS	93	31	0	4.210919659539132
ncs2d_ribo_YPD3	TIS	94	31	1	1.852812954120822
ncs2d_ribo_YPD3	TIS	95	31	2	2.078887274237077
ncs2d_ribo_YPD3	TIS	96	32	0	4.307452771434503
ncs2d_ribo_YPD3	TIS	97	32	1	1.9130164002491177
ncs2d_ribo_YPD3	TIS	98	32	2	2.2532696699190367
ncs2d_ribo_YPD3	TIS	99	33	0	4.606394021175006
ncs2d_ribo_YPD3	TIS	100	33	1	2.002283578991073
ncs2d_ribo_YPD3	TIS	101	33	2	2.106913016400249
ncs2d_ribo_YPD3	TIS	102	34	0	4.135353954743616
ncs2d_ribo_YPD3	TIS	103	34	1	1.5787834751920282
ncs2d_ribo_YPD3	TIS	104	34	2	1.9609715590616565
ncs2d_ribo_YPD3	TIS	105	35	0	4.383433672410214
ncs2d_ribo_YPD3	TIS	106	35	1	2.0076811293336103
ncs2d_ribo_YPD3	TIS	107	35	2	2.2796346273614283
ncs2d_ribo_YPD3	TIS	108	36	0	4.21195764998962
ncs2d_ribo_YPD3	TIS	109	36	1	1.6157359352293958
ncs2d_ribo_YPD3	TIS	110	36	2	2.0610338384886857
ncs2d_ribo_YPD3	TIS	111	37	0	4.432011625493045
ncs2d_ribo_YPD3	TIS	112	37	1	1.7845131824787213
ncs2d_ribo_YPD3	TIS	113	37	2	1.9802781814407306
ncs2d_ribo_YPD3	TIS	114	38	0	4.029271330703757
ncs2d_ribo_YPD3	TIS	115	38	1	1.7602242059373054
ncs2d_ribo_YPD3	TIS	116	38	2	2.453601826863193
ncs2d_ribo_YPD3	TIS	117	39	0	5.37948930869836
ncs2d_ribo_YPD3	TIS	118	39	1	1.996055636288146
ncs2d_ribo_YPD3	TIS	119	39	2	2.135561552833714
ncs2d_ribo_YPD3	TIS	120	40	0	4.383226074320116
ncs2d_ribo_YPD3	TIS	121	40	1	1.783682790118331
ncs2d_ribo_YPD3	TIS	122	40	2	2.3981731368071415
ncs2d_ribo_YPD3	TIS	123	41	0	4.67780776416857
ncs2d_ribo_YPD3	TIS	124	41	1	2.0282333402532697
ncs2d_ribo_YPD3	TIS	125	41	2	2.298941249740502
ncs2d_ribo_YPD3	TIS	126	42	0	4.376167739256799
ncs2d_ribo_YPD3	TIS	127	42	1	1.9842225451525846
ncs2d_ribo_YPD3	TIS	128	42	2	2.3458584181025532
ncs2d_ribo_YPD3	TIS	129	43	0	4.121444882707079
ncs2d_ribo_YPD3	TIS	130	43	1	1.8359975088229188
ncs2d_ribo_YPD3	TIS	131	43	2	1.9285862570064356
ncs2d_ribo_YPD3	TIS	132	44	0	4.067884575461906
ncs2d_ribo_YPD3	TIS	133	44	1	1.8955781606809217
ncs2d_ribo_YPD3	TIS	134	44	2	2.1299564044010797
ncs2d_ribo_YPD3	TIS	135	45	0	4.25721403363089
ncs2d_ribo_YPD3	TIS	136	45	1	1.648121237284617
ncs2d_ribo_YPD3	TIS	137	45	2	2.018061033838489
ncs2d_ribo_YPD3	TIS	138	46	0	4.317832675939381
ncs2d_ribo_YPD3	TIS	139	46	1	1.7556570479551588
ncs2d_ribo_YPD3	TIS	140	46	2	2.2150716213410835
ncs2d_ribo_YPD3	TIS	141	47	0	4.3745069545360185
ncs2d_ribo_YPD3	TIS	142	47	1	1.9406269462320946
ncs2d_ribo_YPD3	TIS	143	47	2	1.874610753581067
ncs2d_ribo_YPD3	TIS	144	48	0	3.720157774548474
ncs2d_ribo_YPD3	TIS	145	48	1	1.544114594145734
ncs2d_ribo_YPD3	TIS	146	48	2	2.0637326136599543
ncs2d_ribo_YPD3	TIS	147	49	0	4.252024081378451
ncs2d_ribo_YPD3	TIS	148	49	1	1.652480797176666
ncs2d_ribo_YPD3	TIS	149	49	2	1.984014947062487
ncs2d_ribo_YPD3	TTS	-147	-49	0	2.7629229811085736
ncs2d_ribo_YPD3	TTS	-146	-49	1	1.1571517542038614
ncs2d_ribo_YPD3	TTS	-145	-49	2	1.7004359559892048
ncs2d_ribo_YPD3	TTS	-144	-48	0	2.9478928793855097
ncs2d_ribo_YPD3	TTS	-143	-48	1	1.2026157359352294
ncs2d_ribo_YPD3	TTS	-142	-48	2	1.6198878970313473
ncs2d_ribo_YPD3	TTS	-141	-47	0	3.3693170022835788
ncs2d_ribo_YPD3	TTS	-140	-47	1	1.4145733859248495
ncs2d_ribo_YPD3	TTS	-139	-47	2	1.5947685281295412
ncs2d_ribo_YPD3	TTS	-138	-46	0	3.1623417064563006
ncs2d_ribo_YPD3	TTS	-137	-46	1	1.3477268009134316
ncs2d_ribo_YPD3	TTS	-136	-46	2	1.5254307660369524
ncs2d_ribo_YPD3	TTS	-135	-45	0	3.149885821050446
ncs2d_ribo_YPD3	TTS	-134	-45	1	1.4357483911148017
ncs2d_ribo_YPD3	TTS	-133	-45	2	1.7108158604940835
ncs2d_ribo_YPD3	TTS	-132	-44	0	3.7471455262611584
ncs2d_ribo_YPD3	TTS	-131	-44	1	1.572140336308906
ncs2d_ribo_YPD3	TTS	-130	-44	2	1.7847207805688188
ncs2d_ribo_YPD3	TTS	-129	-43	0	3.404816275690264
ncs2d_ribo_YPD3	TTS	-128	-43	1	1.2449657463151338
ncs2d_ribo_YPD3	TTS	-127	-43	2	1.7485987128918414
ncs2d_ribo_YPD3	TTS	-126	-42	0	3.785551172929209
ncs2d_ribo_YPD3	TTS	-125	-42	1	1.5331118953705627
ncs2d_ribo_YPD3	TTS	-124	-42	2	1.4093834336724103
ncs2d_ribo_YPD3	TTS	-123	-41	0	2.9856757317832674
ncs2d_ribo_YPD3	TTS	-122	-41	1	1.2393605978824995
ncs2d_ribo_YPD3	TTS	-121	-41	2	1.745899937720573
ncs2d_ribo_YPD3	TTS	-120	-40	0	3.3826032800498234
ncs2d_ribo_YPD3	TTS	-119	-40	1	1.2655179572347934
ncs2d_ribo_YPD3	TTS	-118	-40	2	1.6603695246003736
ncs2d_ribo_YPD3	TTS	-117	-39	0	3.387585634212165
ncs2d_ribo_YPD3	TTS	-116	-39	1	1.306414780984015
ncs2d_ribo_YPD3	TTS	-115	-39	2	1.4050238737803613
ncs2d_ribo_YPD3	TTS	-114	-38	0	2.909487232717459
ncs2d_ribo_YPD3	TTS	-113	-38	1	1.278804235001038
ncs2d_ribo_YPD3	TTS	-112	-38	2	1.7043803197010587
ncs2d_ribo_YPD3	TTS	-111	-37	0	3.3238530205522108
ncs2d_ribo_YPD3	TTS	-110	-37	1	1.2588748183516711
ncs2d_ribo_YPD3	TTS	-109	-37	2	1.655387170438032
ncs2d_ribo_YPD3	TTS	-108	-36	0	3.5162964500726592
ncs2d_ribo_YPD3	TTS	-107	-36	1	1.3898692132032386
ncs2d_ribo_YPD3	TTS	-106	-36	2	1.623001868382811
ncs2d_ribo_YPD3	TTS	-105	-35	0	3.2698775171268424
ncs2d_ribo_YPD3	TTS	-104	-35	1	1.3124351255968445
ncs2d_ribo_YPD3	TTS	-103	-35	2	1.481627569026365
ncs2d_ribo_YPD3	TTS	-102	-34	0	2.906996055636288
ncs2d_ribo_YPD3	TTS	-101	-34	1	1.0635250155698568
ncs2d_ribo_YPD3	TTS	-100	-34	2	1.7077018891426199
ncs2d_ribo_YPD3	TTS	-99	-33	0	3.5360182686319286
ncs2d_ribo_YPD3	TTS	-98	-33	1	1.608885198256176
ncs2d_ribo_YPD3	TTS	-97	-33	2	1.5185800290637326
ncs2d_ribo_YPD3	TTS	-96	-32	0	3.3680714137429937
ncs2d_ribo_YPD3	TTS	-95	-32	1	1.2900145318663068
ncs2d_ribo_YPD3	TTS	-94	-32	2	1.5769150923811501
ncs2d_ribo_YPD3	TTS	-93	-31	0	3.0660161926510274
ncs2d_ribo_YPD3	TTS	-92	-31	1	1.2225451525845963
ncs2d_ribo_YPD3	TTS	-91	-31	2	1.7216109611791572
ncs2d_ribo_YPD3	TTS	-90	-30	0	3.3089059580651856
ncs2d_ribo_YPD3	TTS	-89	-30	1	1.471870458791779
ncs2d_ribo_YPD3	TTS	-88	-30	2	1.7209881669088645
ncs2d_ribo_YPD3	TTS	-87	-29	0	3.331118953705626
ncs2d_ribo_YPD3	TTS	-86	-29	1	1.3178326759393812
ncs2d_ribo_YPD3	TTS	-85	-29	2	1.595391322399834
ncs2d_ribo_YPD3	TTS	-84	-28	0	2.8903882084284827
ncs2d_ribo_YPD3	TTS	-83	-28	1	1.2289806933776208
ncs2d_ribo_YPD3	TTS	-82	-28	2	1.4625285447373884
ncs2d_ribo_YPD3	TTS	-81	-27	0	3.002283578991073
ncs2d_ribo_YPD3	TTS	-80	-27	1	1.1930662237907412
ncs2d_ribo_YPD3	TTS	-79	-27	2	1.5918621548681753
ncs2d_ribo_YPD3	TTS	-78	-26	0	3.1316171891218603
ncs2d_ribo_YPD3	TTS	-77	-26	1	1.2312642723686942
ncs2d_ribo_YPD3	TTS	-76	-26	2	1.6296450072659332
ncs2d_ribo_YPD3	TTS	-75	-25	0	3.308283163794893
ncs2d_ribo_YPD3	TTS	-74	-25	1	1.603072451733444
ncs2d_ribo_YPD3	TTS	-73	-25	2	1.751712684243305
ncs2d_ribo_YPD3	TTS	-72	-24	0	3.4643969275482664
ncs2d_ribo_YPD3	TTS	-71	-24	1	1.3093211542453809
ncs2d_ribo_YPD3	TTS	-70	-24	2	1.4193481419970937
ncs2d_ribo_YPD3	TTS	-69	-23	0	2.719742578368279
ncs2d_ribo_YPD3	TTS	-68	-23	1	1.1565289599335686
ncs2d_ribo_YPD3	TTS	-67	-23	2	1.4577537886651444
ncs2d_ribo_YPD3	TTS	-66	-22	0	3.2266971143865475
ncs2d_ribo_YPD3	TTS	-65	-22	1	1.4587917791156322
ncs2d_ribo_YPD3	TTS	-64	-22	2	1.4984430143242682
ncs2d_ribo_YPD3	TTS	-63	-21	0	3.1714760224205936
ncs2d_ribo_YPD3	TTS	-62	-21	1	1.235208636080548
ncs2d_ribo_YPD3	TTS	-61	-21	2	1.5785758771019307
ncs2d_ribo_YPD3	TTS	-60	-20	0	2.7907411251816483
ncs2d_ribo_YPD3	TTS	-59	-20	1	1.2198463774133277
ncs2d_ribo_YPD3	TTS	-58	-20	2	1.4764376167739257
ncs2d_ribo_YPD3	TTS	-57	-19	0	3.1571517542038614
ncs2d_ribo_YPD3	TTS	-56	-19	1	1.5515881253892465
ncs2d_ribo_YPD3	TTS	-55	-19	2	1.5578160680921735
ncs2d_ribo_YPD3	TTS	-54	-18	0	3.192235831430351
ncs2d_ribo_YPD3	TTS	-53	-18	1	1.2655179572347934
ncs2d_ribo_YPD3	TTS	-52	-18	2	1.347519202823334
ncs2d_ribo_YPD3	TTS	-51	-17	0	3.0462943740917585
ncs2d_ribo_YPD3	TTS	-50	-17	1	1.3965123520863607
ncs2d_ribo_YPD3	TTS	-49	-17	2	1.7178741955574008
ncs2d_ribo_YPD3	TTS	-48	-16	0	3.5972597052107123
ncs2d_ribo_YPD3	TTS	-47	-16	1	1.4940834544322192
ncs2d_ribo_YPD3	TTS	-46	-16	2	1.9213203238530205
ncs2d_ribo_YPD3	TTS	-45	-15	0	3.274859871289184
ncs2d_ribo_YPD3	TTS	-44	-15	1	1.3055843886236247
ncs2d_ribo_YPD3	TTS	-43	-15	2	1.5011417894955366
ncs2d_ribo_YPD3	TTS	-42	-14	0	3.345443221922358
ncs2d_ribo_YPD3	TTS	-41	-14	1	1.342121652480797
ncs2d_ribo_YPD3	TTS	-40	-14	2	1.4114594145733859
ncs2d_ribo_YPD3	TTS	-39	-13	0	2.9271330703757523
ncs2d_ribo_YPD3	TTS	-38	-13	1	1.2939588955781607
ncs2d_ribo_YPD3	TTS	-37	-13	2	1.601204068922566
ncs2d_ribo_YPD3	TTS	-36	-12	0	2.8926717874195558
ncs2d_ribo_YPD3	TTS	-35	-12	1	1.1801951422046917
ncs2d_ribo_YPD3	TTS	-34	-12	2	1.6973219846377414
ncs2d_ribo_YPD3	TTS	-33	-11	0	3.090097571102346
ncs2d_ribo_YPD3	TTS	-32	-11	1	1.227942702927133
ncs2d_ribo_YPD3	TTS	-31	-11	2	1.5974673033008095
ncs2d_ribo_YPD3	TTS	-30	-10	0	3.3531243512559685
ncs2d_ribo_YPD3	TTS	-29	-10	1	1.363504255760847
ncs2d_ribo_YPD3	TTS	-28	-10	2	1.516919244342952
ncs2d_ribo_YPD3	TTS	-27	-9	0	3.168569649159228
ncs2d_ribo_YPD3	TTS	-26	-9	1	1.324268216732406
ncs2d_ribo_YPD3	TTS	-25	-9	2	1.8281087813992112
ncs2d_ribo_YPD3	TTS	-24	-8	0	3.5281295412082208
ncs2d_ribo_YPD3	TTS	-23	-8	1	1.2648951629645007
ncs2d_ribo_YPD3	TTS	-22	-8	2	1.3778285239775794
ncs2d_ribo_YPD3	TTS	-21	-7	0	2.7527506746937926
ncs2d_ribo_YPD3	TTS	-20	-7	1	1.2181855926925473
ncs2d_ribo_YPD3	TTS	-19	-7	2	1.398380734897239
ncs2d_ribo_YPD3	TTS	-18	-6	0	3.206560099647083
ncs2d_ribo_YPD3	TTS	-17	-6	1	1.3668258252024081
ncs2d_ribo_YPD3	TTS	-16	-6	2	1.2937512974880632
ncs2d_ribo_YPD3	TTS	-15	-5	0	1.8254100062279428
ncs2d_ribo_YPD3	TTS	-14	-5	1	0.9244342952044842
ncs2d_ribo_YPD3	TTS	-13	-5	2	1.3435748391114801
ncs2d_ribo_YPD3	TTS	-12	-4	0	3.1525845962217147
ncs2d_ribo_YPD3	TTS	-11	-4	1	1.3149263026780154
ncs2d_ribo_YPD3	TTS	-10	-4	2	1.5349802781814408
ncs2d_ribo_YPD3	TTS	-9	-3	0	3.125804442599128
ncs2d_ribo_YPD3	TTS	-8	-3	1	1.1148017438239568
ncs2d_ribo_YPD3	TTS	-7	-3	2	1.4291052522316794
ncs2d_ribo_YPD3	TTS	-6	-2	0	2.703342329250571
ncs2d_ribo_YPD3	TTS	-5	-2	1	0.9024288976541416
ncs2d_ribo_YPD3	TTS	-4	-2	2	0.4189329458168985
ncs2d_ribo_YPD3	TTS	-3	-1	0	1.3759601411667013
ncs2d_ribo_YPD3	TTS	-2	-1	1	1.0085115216940004
ncs2d_ribo_YPD3	TTS	-1	-1	2	0.10815860494083454
ncs2d_ribo_YPD3	TTS	0	0	0	0.044633589370977785
ncs2d_ribo_YPD3	TTS	1	0	1	0.03259290014531866
ncs2d_ribo_YPD3	TTS	2	0	2	0.029894124974050237
ncs2d_ribo_YPD3	TTS	3	1	0	0.021590201370147395
ncs2d_ribo_YPD3	TTS	4	1	1	0.024081378451318247
ncs2d_ribo_YPD3	TTS	5	1	2	0.01930662237907411
ncs2d_ribo_YPD3	TTS	6	2	0	0.016607847207805688
ncs2d_ribo_YPD3	TTS	7	2	1	0.029063732613659955
ncs2d_ribo_YPD3	TTS	8	2	2	0.03819804857795308
ncs2d_ribo_YPD3	TTS	9	3	0	0.01889142619887897
ncs2d_ribo_YPD3	TTS	10	3	1	0.016607847207805688
