Sample	Meta	Nucleotide	Codon	Frame	Density
racd_ssb2_flag_1	TIS	-30	-10	0	0.0
racd_ssb2_flag_1	TIS	-29	-10	1	0.0
racd_ssb2_flag_1	TIS	-28	-10	2	0.0
racd_ssb2_flag_1	TIS	-27	-9	0	0.0
racd_ssb2_flag_1	TIS	-26	-9	1	0.0
racd_ssb2_flag_1	TIS	-25	-9	2	0.0
racd_ssb2_flag_1	TIS	-24	-8	0	0.0
racd_ssb2_flag_1	TIS	-23	-8	1	0.0
racd_ssb2_flag_1	TIS	-22	-8	2	0.0
racd_ssb2_flag_1	TIS	-21	-7	0	0.0
racd_ssb2_flag_1	TIS	-20	-7	1	0.0
racd_ssb2_flag_1	TIS	-19	-7	2	0.0
racd_ssb2_flag_1	TIS	-18	-6	0	0.012682308180088777
racd_ssb2_flag_1	TIS	-17	-6	1	0.027584020291693087
racd_ssb2_flag_1	TIS	-16	-6	2	0.023145212428662017
racd_ssb2_flag_1	TIS	-15	-5	0	0.03772986683576411
racd_ssb2_flag_1	TIS	-14	-5	1	0.028218135700697526
racd_ssb2_flag_1	TIS	-13	-5	2	0.03202282815472416
racd_ssb2_flag_1	TIS	-12	-4	0	0.03551046290424857
racd_ssb2_flag_1	TIS	-11	-4	1	0.04755865567533291
racd_ssb2_flag_1	TIS	-10	-4	2	0.03329105897273304
racd_ssb2_flag_1	TIS	-9	-3	0	0.044071020925808495
racd_ssb2_flag_1	TIS	-8	-3	1	0.053899809765377296
racd_ssb2_flag_1	TIS	-7	-3	2	0.044071020925808495
racd_ssb2_flag_1	TIS	-6	-2	0	0.04597336715282181
racd_ssb2_flag_1	TIS	-5	-2	1	0.05326569435637286
racd_ssb2_flag_1	TIS	-4	-2	2	0.0554850982878884
racd_ssb2_flag_1	TIS	-3	-1	0	0.2809131261889664
racd_ssb2_flag_1	TIS	-2	-1	1	0.9800253646163601
racd_ssb2_flag_1	TIS	-1	-1	2	2.8113506658211795
racd_ssb2_flag_1	TIS	0	0	0	5.961953075459734
racd_ssb2_flag_1	TIS	1	0	1	1.1265060240963856
racd_ssb2_flag_1	TIS	2	0	2	0.7136968928344959
racd_ssb2_flag_1	TIS	3	1	0	1.0827520608750794
racd_ssb2_flag_1	TIS	4	1	1	0.4023462270133164
racd_ssb2_flag_1	TIS	5	1	2	0.6322130627774255
racd_ssb2_flag_1	TIS	6	2	0	1.6607482561826252
racd_ssb2_flag_1	TIS	7	2	1	0.5034876347495244
racd_ssb2_flag_1	TIS	8	2	2	0.5428027901077996
racd_ssb2_flag_1	TIS	9	3	0	1.0370957514267596
racd_ssb2_flag_1	TIS	10	3	1	0.42675967025998734
racd_ssb2_flag_1	TIS	11	3	2	0.49524413443246673
racd_ssb2_flag_1	TIS	12	4	0	2.6797717184527583
racd_ssb2_flag_1	TIS	13	4	1	0.5773620798985415
racd_ssb2_flag_1	TIS	14	4	2	0.6369689283449588
racd_ssb2_flag_1	TIS	15	5	0	0.9004438807863031
racd_ssb2_flag_1	TIS	16	5	1	0.31800887761572605
racd_ssb2_flag_1	TIS	17	5	2	0.5421686746987951
racd_ssb2_flag_1	TIS	18	6	0	1.1188966391883324
racd_ssb2_flag_1	TIS	19	6	1	0.3883956880152188
racd_ssb2_flag_1	TIS	20	6	2	0.7102092580849715
racd_ssb2_flag_1	TIS	21	7	0	1.3167406467977172
racd_ssb2_flag_1	TIS	22	7	1	0.3595434369055168
racd_ssb2_flag_1	TIS	23	7	2	0.4835129993658846
racd_ssb2_flag_1	TIS	24	8	0	0.9946100190234622
racd_ssb2_flag_1	TIS	25	8	1	0.3132530120481928
racd_ssb2_flag_1	TIS	26	8	2	0.49936588459099557
racd_ssb2_flag_1	TIS	27	9	0	0.8408370323398858
racd_ssb2_flag_1	TIS	28	9	1	0.33100824350031705
racd_ssb2_flag_1	TIS	29	9	2	0.41566265060240964
racd_ssb2_flag_1	TIS	30	10	0	0.8081800887761572
racd_ssb2_flag_1	TIS	31	10	1	0.3103994927076728
racd_ssb2_flag_1	TIS	32	10	2	0.4936588459099556
racd_ssb2_flag_1	TIS	33	11	0	0.8325935320228282
racd_ssb2_flag_1	TIS	34	11	1	0.32942295497780594
racd_ssb2_flag_1	TIS	35	11	2	0.5285351934051997
racd_ssb2_flag_1	TIS	36	12	0	0.8500317057704502
racd_ssb2_flag_1	TIS	37	12	1	0.33100824350031705
racd_ssb2_flag_1	TIS	38	12	2	0.5421686746987951
racd_ssb2_flag_1	TIS	39	13	0	1.1077996195307547
racd_ssb2_flag_1	TIS	40	13	1	0.3883956880152188
racd_ssb2_flag_1	TIS	41	13	2	0.5291693088142042
racd_ssb2_flag_1	TIS	42	14	0	0.9077362079898541
racd_ssb2_flag_1	TIS	43	14	1	0.26886493341788203
racd_ssb2_flag_1	TIS	44	14	2	0.36176284083703236
racd_ssb2_flag_1	TIS	45	15	0	0.6347495244134432
racd_ssb2_flag_1	TIS	46	15	1	0.23969562460367788
racd_ssb2_flag_1	TIS	47	15	2	0.3319594166138237
racd_ssb2_flag_1	TIS	48	16	0	0.7178186429930248
racd_ssb2_flag_1	TIS	49	16	1	0.2136968928344959
racd_ssb2_flag_1	TIS	50	16	2	0.33354470513633483
racd_ssb2_flag_1	TIS	51	17	0	0.6597970830691186
racd_ssb2_flag_1	TIS	52	17	1	0.2010145846544071
racd_ssb2_flag_1	TIS	53	17	2	0.2549143944197844
racd_ssb2_flag_1	TIS	54	18	0	0.5034876347495244
