	-33	-32	-31	-30	-29	-28	-27	-26	-25	-24	-23	-22	-21	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0
25	0	0	0	0	0	0	0	0	5	25	21	23	31	12	5	23	9	12	21	6	10	12	25	12	17	6	2	6	4	0	0	1	0	1
26	0	0	0	0	0	0	0	27	31	32	26	57	21	12	14	36	24	15	18	18	22	15	42	14	12	3	3	16	1	0	0	0	0	0
27	0	0	0	0	0	0	77	43	37	62	57	22	26	32	45	112	49	41	55	39	31	47	77	6	18	16	6	2	2	1	0	0	1	0
28	0	0	0	0	0	72	208	60	61	274	45	50	97	66	96	258	70	65	131	38	85	80	31	11	50	6	0	0	1	3	3	1	1	2
29	0	0	0	0	226	541	958	189	723	1161	88	383	841	248	716	1441	242	552	1215	174	117	186	95	34	46	17	9	3	9	6	0	12	13	8
30	0	0	0	2582	682	1908	2599	951	2310	1257	348	1941	2987	770	2181	3381	761	2365	2345	235	420	822	234	51	25	36	21	18	18	14	18	36	14	16
31	0	0	4453	3409	1529	4271	4656	1738	2086	2116	1256	5110	3748	1673	4720	4267	1834	4175	2704	398	1537	1864	256	36	32	45	39	33	38	34	36	72	38	30
32	0	2296	4269	1129	2566	5350	794	1291	2840	1344	2632	4869	1346	2927	5275	1100	2535	4259	1030	927	3117	1590	79	29	43	51	37	42	33	36	83	78	30	39
33	323	1281	412	320	2542	308	177	1172	490	507	2032	419	343	2391	419	393	1622	413	118	1140	1379	95	18	10	17	12	12	12	10	15	33	23	0	3
