	0	1	2	3	4	5	6	7	8	mean
NM_001179349.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179350.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184583.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178235.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184555.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184629.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179410.3	0	0	0	0	0	0	0	0	0	0.0
NM_001180049.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348845.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184598.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179344.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184599.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184600.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184601.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184602.3	0	0	0	0	0	0	0	0	0	0.0
Q0160	0	0	0	0	0	0	0	0	0	0.0
NM_001184393.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270750.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179450.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180054.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180053.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180052.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184458.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179894.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184605.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181884.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395040.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178850.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184582.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180042.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348827.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179050.4	0	0	0	0	0	0	0	0	0	0.0
NM_001178219.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184569.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178764.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184668.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184610.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179028.4	0	0	0	0	0	0	0	0	0	0.0
NM_001179926.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184638.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183687.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348860.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182196.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348828.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395038.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184428.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183418.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348888.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348825.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184655.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270752.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179906.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179916.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184549.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270751.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184682.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348808.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348809.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183245.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184621.3	0	0	0	0	0	0	0	0	0	0.0
NM_001267862.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184623.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184637.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184580.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184649.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395035.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184476.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179092.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348897.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179183.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184603.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183042.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183107.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184420.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348815.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348813.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183358.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184407.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348857.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184429.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348861.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181546.3	0	0	0	0	0	0	0	0	0	0.0
NM_001395031.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179185.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395032.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184472.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184609.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184561.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182046.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180024.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180862.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184430.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182835.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182836.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182838.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183177.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348875.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181462.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181461.3	0	0	0	0	0	0	0	0	0	0.0
