Sample	Meta	Nucleotide	Codon	Frame	Density
wt_ssb2_flag_1	TIS	-30	-10	0	0.0
wt_ssb2_flag_1	TIS	-29	-10	1	0.0
wt_ssb2_flag_1	TIS	-28	-10	2	0.0
wt_ssb2_flag_1	TIS	-27	-9	0	0.0
wt_ssb2_flag_1	TIS	-26	-9	1	0.0
wt_ssb2_flag_1	TIS	-25	-9	2	0.0
wt_ssb2_flag_1	TIS	-24	-8	0	0.0
wt_ssb2_flag_1	TIS	-23	-8	1	0.0
wt_ssb2_flag_1	TIS	-22	-8	2	0.0
wt_ssb2_flag_1	TIS	-21	-7	0	0.0
wt_ssb2_flag_1	TIS	-20	-7	1	0.0
wt_ssb2_flag_1	TIS	-19	-7	2	0.0
wt_ssb2_flag_1	TIS	-18	-6	0	0.014605647517039922
wt_ssb2_flag_1	TIS	-17	-6	1	0.017526777020447908
wt_ssb2_flag_1	TIS	-16	-6	2	0.020123336579032782
wt_ssb2_flag_1	TIS	-15	-5	0	0.038623823433950016
wt_ssb2_flag_1	TIS	-14	-5	1	0.019474196689386564
wt_ssb2_flag_1	TIS	-13	-5	2	0.024018175916910096
wt_ssb2_flag_1	TIS	-12	-4	0	0.028237585199610515
wt_ssb2_flag_1	TIS	-11	-4	1	0.03245699448231094
wt_ssb2_flag_1	TIS	-10	-4	2	0.019798766634209673
wt_ssb2_flag_1	TIS	-9	-3	0	0.024667315806556313
wt_ssb2_flag_1	TIS	-8	-3	1	0.028562155144433627
wt_ssb2_flag_1	TIS	-7	-3	2	0.02044790652385589
wt_ssb2_flag_1	TIS	-6	-2	0	0.019474196689386564
wt_ssb2_flag_1	TIS	-5	-2	1	0.016877637130801686
wt_ssb2_flag_1	TIS	-4	-2	2	0.018175916910094125
wt_ssb2_flag_1	TIS	-3	-1	0	0.04349237260629666
wt_ssb2_flag_1	TIS	-2	-1	1	0.28334956183057447
wt_ssb2_flag_1	TIS	-1	-1	2	1.3544303797468353
wt_ssb2_flag_1	TIS	0	0	0	3.4472573839662446
wt_ssb2_flag_1	TIS	1	0	1	0.4784160986692632
wt_ssb2_flag_1	TIS	2	0	2	0.5959104186952289
wt_ssb2_flag_1	TIS	3	1	0	0.9954560207724765
wt_ssb2_flag_1	TIS	4	1	1	0.20902304446608244
wt_ssb2_flag_1	TIS	5	1	2	0.37065887698799094
wt_ssb2_flag_1	TIS	6	2	0	0.9243752028562155
wt_ssb2_flag_1	TIS	7	2	1	0.2323920804933463
wt_ssb2_flag_1	TIS	8	2	2	0.433300876338851
wt_ssb2_flag_1	TIS	9	3	0	0.8562155144433625
wt_ssb2_flag_1	TIS	10	3	1	0.24342745861733203
wt_ssb2_flag_1	TIS	11	3	2	0.25283998701720223
wt_ssb2_flag_1	TIS	12	4	0	1.3190522557611166
wt_ssb2_flag_1	TIS	13	4	1	0.2038299253489127
wt_ssb2_flag_1	TIS	14	4	2	0.54592664719247
wt_ssb2_flag_1	TIS	15	5	0	0.9636481661798117
wt_ssb2_flag_1	TIS	16	5	1	0.2661473547549497
wt_ssb2_flag_1	TIS	17	5	2	0.5212593313859136
wt_ssb2_flag_1	TIS	18	6	0	0.9477442388834794
wt_ssb2_flag_1	TIS	19	6	1	0.25089256734826354
wt_ssb2_flag_1	TIS	20	6	2	0.6582278481012658
wt_ssb2_flag_1	TIS	21	7	0	1.2856215514443363
wt_ssb2_flag_1	TIS	22	7	1	0.2778318727685816
wt_ssb2_flag_1	TIS	23	7	2	0.47581953911067837
wt_ssb2_flag_1	TIS	24	8	0	0.8685491723466408
wt_ssb2_flag_1	TIS	25	8	1	0.20155793573515093
wt_ssb2_flag_1	TIS	26	8	2	0.4456345342421292
wt_ssb2_flag_1	TIS	27	9	0	0.8237585199610516
wt_ssb2_flag_1	TIS	28	9	1	0.2664719246997728
wt_ssb2_flag_1	TIS	29	9	2	0.48555663745537164
wt_ssb2_flag_1	TIS	30	10	0	0.866601752677702
wt_ssb2_flag_1	TIS	31	10	1	0.2009087958455047
wt_ssb2_flag_1	TIS	32	10	2	0.48912690684842586
wt_ssb2_flag_1	TIS	33	11	0	0.8214865303472898
wt_ssb2_flag_1	TIS	34	11	1	0.20123336579032783
wt_ssb2_flag_1	TIS	35	11	2	0.4638104511522233
wt_ssb2_flag_1	TIS	36	12	0	0.8091528724440117
wt_ssb2_flag_1	TIS	37	12	1	0.20220707562479714
wt_ssb2_flag_1	TIS	38	12	2	0.4647841609866926
wt_ssb2_flag_1	TIS	39	13	0	1.0340798442064265
wt_ssb2_flag_1	TIS	40	13	1	0.29665692956832196
wt_ssb2_flag_1	TIS	41	13	2	0.5037325543654657
wt_ssb2_flag_1	TIS	42	14	0	0.9545602077247647
wt_ssb2_flag_1	TIS	43	14	1	0.21616358325219084
wt_ssb2_flag_1	TIS	44	14	2	0.3885102239532619
wt_ssb2_flag_1	TIS	45	15	0	0.7273612463485881
wt_ssb2_flag_1	TIS	46	15	1	0.2112950340798442
wt_ssb2_flag_1	TIS	47	15	2	0.3898085037325544
wt_ssb2_flag_1	TIS	48	16	0	0.8987341772151899
wt_ssb2_flag_1	TIS	49	16	1	0.19149626744563453
wt_ssb2_flag_1	TIS	50	16	2	0.47289840960727036
wt_ssb2_flag_1	TIS	51	17	0	0.8497241155469003
wt_ssb2_flag_1	TIS	52	17	1	0.1665043816942551
wt_ssb2_flag_1	TIS	53	17	2	0.34047387211944175
wt_ssb2_flag_1	TIS	54	18	0	0.6523855890944499
wt_ssb2_flag_1	TIS	55	18	1	0.19441739694904253
wt_ssb2_flag_1	TIS	56	18	2	0.32456994482310936
wt_ssb2_flag_1	TIS	57	19	0	0.8760142810775722
wt_ssb2_flag_1	TIS	58	19	1	0.24375202856215514
wt_ssb2_flag_1	TIS	59	19	2	0.3625446283674132
wt_ssb2_flag_1	TIS	60	20	0	0.7263875365141188
wt_ssb2_flag_1	TIS	61	20	1	0.17104836092177864
wt_ssb2_flag_1	TIS	62	20	2	0.34144758195391106
wt_ssb2_flag_1	TIS	63	21	0	0.7351509250243428
wt_ssb2_flag_1	TIS	64	21	1	0.19863680623174293
wt_ssb2_flag_1	TIS	65	21	2	0.3674131775397598
wt_ssb2_flag_1	TIS	66	22	0	0.7280103862382343
wt_ssb2_flag_1	TIS	67	22	1	0.18825056799740345
wt_ssb2_flag_1	TIS	68	22	2	0.391755923401493
wt_ssb2_flag_1	TIS	69	23	0	0.7487828627069133
wt_ssb2_flag_1	TIS	70	23	1	0.20025965595585848
wt_ssb2_flag_1	TIS	71	23	2	0.3781239857189224
wt_ssb2_flag_1	TIS	72	24	0	0.9269717624148004
wt_ssb2_flag_1	TIS	73	24	1	0.25413826679649465
wt_ssb2_flag_1	TIS	74	24	2	0.4482310938007141
wt_ssb2_flag_1	TIS	75	25	0	0.9237260629665693
wt_ssb2_flag_1	TIS	76	25	1	0.19506653683868874
wt_ssb2_flag_1	TIS	77	25	2	0.4203180785459266
wt_ssb2_flag_1	TIS	78	26	0	0.7614410905550146
wt_ssb2_flag_1	TIS	79	26	1	0.18078545926647194
wt_ssb2_flag_1	TIS	80	26	2	0.4151249594287569
wt_ssb2_flag_1	TIS	81	27	0	0.9156118143459916
wt_ssb2_flag_1	TIS	82	27	1	0.1901979876663421
wt_ssb2_flag_1	TIS	83	27	2	0.3748782862706913
wt_ssb2_flag_1	TIS	84	28	0	0.7078870496592016
wt_ssb2_flag_1	TIS	85	28	1	0.18143459915611815
wt_ssb2_flag_1	TIS	86	28	2	0.3868873742291464
wt_ssb2_flag_1	TIS	87	29	0	0.7938980850373255
wt_ssb2_flag_1	TIS	88	29	1	0.1937682570593963
wt_ssb2_flag_1	TIS	89	29	2	0.4287568971113275
wt_ssb2_flag_1	TIS	90	30	0	0.8838039597533268
wt_ssb2_flag_1	TIS	91	30	1	0.20707562479714378
wt_ssb2_flag_1	TIS	92	30	2	0.3365790327815644
wt_ssb2_flag_1	TIS	93	31	0	0.744888023369036
wt_ssb2_flag_1	TIS	94	31	1	0.2074001947419669
wt_ssb2_flag_1	TIS	95	31	2	0.317429406037001
wt_ssb2_flag_1	TIS	96	32	0	0.7263875365141188
wt_ssb2_flag_1	TIS	97	32	1	0.2181110029211295
wt_ssb2_flag_1	TIS	98	32	2	0.30996429730606945
wt_ssb2_flag_1	TIS	99	33	0	0.7559234014930217
wt_ssb2_flag_1	TIS	100	33	1	0.16358325219084713
wt_ssb2_flag_1	TIS	101	33	2	0.34339500162284975
wt_ssb2_flag_1	TIS	102	34	0	0.537163258682246
wt_ssb2_flag_1	TIS	103	34	1	0.16910094125283998
wt_ssb2_flag_1	TIS	104	34	2	0.3070431678026615
wt_ssb2_flag_1	TIS	105	35	0	0.7585199610516066
wt_ssb2_flag_1	TIS	106	35	1	0.23336579032781565
wt_ssb2_flag_1	TIS	107	35	2	0.35702693930542034
wt_ssb2_flag_1	TIS	108	36	0	0.7523531320999676
wt_ssb2_flag_1	TIS	109	36	1	0.1970139565076274
wt_ssb2_flag_1	TIS	110	36	2	0.39694904251866275
wt_ssb2_flag_1	TIS	111	37	0	0.780266147354755
wt_ssb2_flag_1	TIS	112	37	1	0.1804608893216488
wt_ssb2_flag_1	TIS	113	37	2	0.40019474196689386
wt_ssb2_flag_1	TIS	114	38	0	0.5676728334956183
wt_ssb2_flag_1	TIS	115	38	1	0.17072379097695553
wt_ssb2_flag_1	TIS	116	38	2	0.35086011035378123
wt_ssb2_flag_1	TIS	117	39	0	0.6916585524180461
wt_ssb2_flag_1	TIS	118	39	1	0.1833820188250568
wt_ssb2_flag_1	TIS	119	39	2	0.3729308666017527
wt_ssb2_flag_1	TIS	120	40	0	0.8532943849399546
wt_ssb2_flag_1	TIS	121	40	1	0.22914638104511523
wt_ssb2_flag_1	TIS	122	40	2	0.4910743265173645
wt_ssb2_flag_1	TIS	123	41	0	0.8205128205128205
wt_ssb2_flag_1	TIS	124	41	1	0.20253164556962025
wt_ssb2_flag_1	TIS	125	41	2	0.34177215189873417
wt_ssb2_flag_1	TIS	126	42	0	0.6682895163907823
wt_ssb2_flag_1	TIS	127	42	1	0.18175916910094125
wt_ssb2_flag_1	TIS	128	42	2	0.4193443687114573
wt_ssb2_flag_1	TIS	129	43	0	0.8500486854917235
wt_ssb2_flag_1	TIS	130	43	1	0.19636481661798116
wt_ssb2_flag_1	TIS	131	43	2	0.33690360272638753
wt_ssb2_flag_1	TIS	132	44	0	0.6718597857838364
wt_ssb2_flag_1	TIS	133	44	1	0.18078545926647194
wt_ssb2_flag_1	TIS	134	44	2	0.41642323920804936
wt_ssb2_flag_1	TIS	135	45	0	0.7056150600454398
wt_ssb2_flag_1	TIS	136	45	1	0.21421616358325218
wt_ssb2_flag_1	TIS	137	45	2	0.3781239857189224
wt_ssb2_flag_1	TIS	138	46	0	0.7442388834793898
wt_ssb2_flag_1	TIS	139	46	1	0.19604024667315806
wt_ssb2_flag_1	TIS	140	46	2	0.5102239532619279
wt_ssb2_flag_1	TIS	141	47	0	0.7604673807205453
wt_ssb2_flag_1	TIS	142	47	1	0.287893541058098
wt_ssb2_flag_1	TIS	143	47	2	0.4118792599805258
wt_ssb2_flag_1	TIS	144	48	0	0.7513794222654983
wt_ssb2_flag_1	TIS	145	48	1	0.19441739694904253
wt_ssb2_flag_1	TIS	146	48	2	0.46543330087633883
wt_ssb2_flag_1	TIS	147	49	0	0.9610516066212269
wt_ssb2_flag_1	TIS	148	49	1	0.28464784160986695
