name	from_tis	region	SM_IN_1	SM_IN_2	SM_IP_1	SM_IP_2	enrich	collision	peak
EAA34471	-149	5utr	0	0	0	0	0.0		
EAA34471	-148	5utr	0	0	0	0	0.0		
EAA34471	-147	5utr	0	0	0	0	0.0		
EAA34471	-146	5utr	0	0	0	0	0.0		
EAA34471	-145	5utr	0	0	0	0	0.0		
EAA34471	-144	5utr	0	0	0	0	0.0		
EAA34471	-143	5utr	0	0	0	0	0.0		
EAA34471	-142	5utr	0	0	0	0	0.0		
EAA34471	-141	5utr	0	0	0	0	0.0		
EAA34471	-140	5utr	0	0	0	0	0.0		
EAA34471	-139	5utr	0	0	0	0	0.0		
EAA34471	-138	5utr	0	0	0	0	0.0		
EAA34471	-137	5utr	0	0	0	0	0.0		
EAA34471	-136	5utr	0	0	0	0	0.0		
EAA34471	-135	5utr	0	0	0	0	0.0		
EAA34471	-134	5utr	0	0	0	0	0.0		
EAA34471	-133	5utr	0	0	0	0	0.0		
EAA34471	-132	5utr	0	0	0	0	0.0		
EAA34471	-131	5utr	1	0	0	0	0.0		
EAA34471	-130	5utr	2	1	0	0	0.0		
EAA34471	-129	5utr	0	0	0	1	0.0		
EAA34471	-128	5utr	1	0	0	0	0.0		
EAA34471	-127	5utr	1	1	0	0	0.0		
EAA34471	-126	5utr	0	0	0	0	0.23473452365179193		
EAA34471	-125	5utr	3	0	2	1	0.5453092235503549		
EAA34471	-124	5utr	0	1	0	1	1.138192919514662		
EAA34471	-123	5utr	2	3	2	1	1.2062328197872074		
EAA34471	-122	5utr	1	0	0	1	0.8956581198886442		
EAA34471	-121	5utr	0	0	1	1	0.6064317553301801		
EAA34471	-120	5utr	1	2	1	0	1.2607375865174926		
EAA34471	-119	5utr	3	1	2	1	1.2607375865174926		
EAA34471	-118	5utr	0	1	0	0	1.3433485609912972		
EAA34471	-117	5utr	4	1	0	1	0.7925676297701723		
EAA34471	-116	5utr	1	3	0	1	0.8430300337575618		
EAA34471	-115	5utr	6	0	0	1	0.45676172787791436		
EAA34471	-114	5utr	0	0	2	0	0.05046240398738953		
EAA34471	-113	5utr	3	2	0	0	0.4580617738736187		
EAA34471	-112	5utr	1	2	0	1	1.6847600215194192		
