Sample	Meta	Nucleotide	Codon	Frame	Density
ssb1d_ssb2d_mock_2	TIS	-30	-10	0	0.0
ssb1d_ssb2d_mock_2	TIS	-29	-10	1	0.0
ssb1d_ssb2d_mock_2	TIS	-28	-10	2	0.0
ssb1d_ssb2d_mock_2	TIS	-27	-9	0	0.0
ssb1d_ssb2d_mock_2	TIS	-26	-9	1	0.0
ssb1d_ssb2d_mock_2	TIS	-25	-9	2	0.0
ssb1d_ssb2d_mock_2	TIS	-24	-8	0	0.0
ssb1d_ssb2d_mock_2	TIS	-23	-8	1	0.0
ssb1d_ssb2d_mock_2	TIS	-22	-8	2	0.0
ssb1d_ssb2d_mock_2	TIS	-21	-7	0	0.0
ssb1d_ssb2d_mock_2	TIS	-20	-7	1	0.0
ssb1d_ssb2d_mock_2	TIS	-19	-7	2	0.0
ssb1d_ssb2d_mock_2	TIS	-18	-6	0	0.038193391936950594
ssb1d_ssb2d_mock_2	TIS	-17	-6	1	0.05092452258260079
ssb1d_ssb2d_mock_2	TIS	-16	-6	2	0.12670506214004243
ssb1d_ssb2d_mock_2	TIS	-15	-5	0	0.2312822067293119
ssb1d_ssb2d_mock_2	TIS	-14	-5	1	0.19217944831767203
ssb1d_ssb2d_mock_2	TIS	-13	-5	2	0.21279175507729614
ssb1d_ssb2d_mock_2	TIS	-12	-4	0	0.26644437708396485
ssb1d_ssb2d_mock_2	TIS	-11	-4	1	0.3585935131858139
ssb1d_ssb2d_mock_2	TIS	-10	-4	2	0.5125795695665353
ssb1d_ssb2d_mock_2	TIS	-9	-3	0	0.43528341921794483
ssb1d_ssb2d_mock_2	TIS	-8	-3	1	0.3867838739011822
ssb1d_ssb2d_mock_2	TIS	-7	-3	2	0.4146711124583207
ssb1d_ssb2d_mock_2	TIS	-6	-2	0	0.43983025159139133
ssb1d_ssb2d_mock_2	TIS	-5	-2	1	0.5665353137314337
ssb1d_ssb2d_mock_2	TIS	-4	-2	2	1.2215822976659594
ssb1d_ssb2d_mock_2	TIS	-3	-1	0	4.19490754774174
ssb1d_ssb2d_mock_2	TIS	-2	-1	1	9.946044255835101
ssb1d_ssb2d_mock_2	TIS	-1	-1	2	23.15247044558957
ssb1d_ssb2d_mock_2	TIS	0	0	0	58.905729008790544
ssb1d_ssb2d_mock_2	TIS	1	0	1	32.70233404061837
ssb1d_ssb2d_mock_2	TIS	2	0	2	4.481054865110639
ssb1d_ssb2d_mock_2	TIS	3	1	0	9.85632009699909
ssb1d_ssb2d_mock_2	TIS	4	1	1	5.155198545013641
ssb1d_ssb2d_mock_2	TIS	5	1	2	3.4255835101545924
ssb1d_ssb2d_mock_2	TIS	6	2	0	12.49408911791452
ssb1d_ssb2d_mock_2	TIS	7	2	1	5.767202182479539
ssb1d_ssb2d_mock_2	TIS	8	2	2	2.795998787511367
ssb1d_ssb2d_mock_2	TIS	9	3	0	9.407093058502577
ssb1d_ssb2d_mock_2	TIS	10	3	1	4.682327978175205
ssb1d_ssb2d_mock_2	TIS	11	3	2	3.512882691724765
ssb1d_ssb2d_mock_2	TIS	12	4	0	27.32828129736284
ssb1d_ssb2d_mock_2	TIS	13	4	1	16.33616247347681
ssb1d_ssb2d_mock_2	TIS	14	4	2	6.113973931494392
ssb1d_ssb2d_mock_2	TIS	15	5	0	1.9945438011518641
ssb1d_ssb2d_mock_2	TIS	16	5	1	1.7474992421946045
ssb1d_ssb2d_mock_2	TIS	17	5	2	1.8490451652015762
ssb1d_ssb2d_mock_2	TIS	18	6	0	8.230979084571082
ssb1d_ssb2d_mock_2	TIS	19	6	1	3.5462261291300394
ssb1d_ssb2d_mock_2	TIS	20	6	2	2.7123370718399515
ssb1d_ssb2d_mock_2	TIS	21	7	0	9.047590178842073
ssb1d_ssb2d_mock_2	TIS	22	7	1	3.9069414974234618
ssb1d_ssb2d_mock_2	TIS	23	7	2	2.0578963322218855
ssb1d_ssb2d_mock_2	TIS	24	8	0	6.800545619884813
ssb1d_ssb2d_mock_2	TIS	25	8	1	4.323431342831161
ssb1d_ssb2d_mock_2	TIS	26	8	2	2.016671718702637
ssb1d_ssb2d_mock_2	TIS	27	9	0	6.041830857835707
ssb1d_ssb2d_mock_2	TIS	28	9	1	3.187026371627766
ssb1d_ssb2d_mock_2	TIS	29	9	2	2.1194301303425283
ssb1d_ssb2d_mock_2	TIS	30	10	0	6.539860563807214
ssb1d_ssb2d_mock_2	TIS	31	10	1	3.9502879660503183
ssb1d_ssb2d_mock_2	TIS	32	10	2	2.4474083055471354
ssb1d_ssb2d_mock_2	TIS	33	11	0	7.631403455592604
ssb1d_ssb2d_mock_2	TIS	34	11	1	3.466505001515611
ssb1d_ssb2d_mock_2	TIS	35	11	2	2.2203698090330404
ssb1d_ssb2d_mock_2	TIS	36	12	0	7.122158229766596
ssb1d_ssb2d_mock_2	TIS	37	12	1	3.81782358290391
ssb1d_ssb2d_mock_2	TIS	38	12	2	2.0600181873294936
ssb1d_ssb2d_mock_2	TIS	39	13	0	9.292816004849955
ssb1d_ssb2d_mock_2	TIS	40	13	1	3.5835101545923007
ssb1d_ssb2d_mock_2	TIS	41	13	2	2.1315550166717188
ssb1d_ssb2d_mock_2	TIS	42	14	0	7.0700212185510765
ssb1d_ssb2d_mock_2	TIS	43	14	1	2.718096392846317
ssb1d_ssb2d_mock_2	TIS	44	14	2	1.4558957259775689
ssb1d_ssb2d_mock_2	TIS	45	15	0	6.38981509548348
ssb1d_ssb2d_mock_2	TIS	46	15	1	2.463473779933313
ssb1d_ssb2d_mock_2	TIS	47	15	2	1.3867838739011822
ssb1d_ssb2d_mock_2	TIS	48	16	0	8.540466808123673
ssb1d_ssb2d_mock_2	TIS	49	16	1	3.3097908457108214
ssb1d_ssb2d_mock_2	TIS	50	16	2	2.1421642922097606
ssb1d_ssb2d_mock_2	TIS	51	17	0	5.698393452561382
ssb1d_ssb2d_mock_2	TIS	52	17	1	2.1133676871779326
ssb1d_ssb2d_mock_2	TIS	53	17	2	1.2521976356471658
ssb1d_ssb2d_mock_2	TIS	54	18	0	4.679599878751136
ssb1d_ssb2d_mock_2	TIS	55	18	1	2.8548044862079416
ssb1d_ssb2d_mock_2	TIS	56	18	2	1.2000606244316459
ssb1d_ssb2d_mock_2	TIS	57	19	0	7.006971809639285
ssb1d_ssb2d_mock_2	TIS	58	19	1	2.4289178538951197
ssb1d_ssb2d_mock_2	TIS	59	19	2	1.4322521976356473
ssb1d_ssb2d_mock_2	TIS	60	20	0	5.734768111548954
ssb1d_ssb2d_mock_2	TIS	61	20	1	1.93513185813883
ssb1d_ssb2d_mock_2	TIS	62	20	2	1.2579569566535314
ssb1d_ssb2d_mock_2	TIS	63	21	0	5.760230372840255
ssb1d_ssb2d_mock_2	TIS	64	21	1	2.336465595635041
ssb1d_ssb2d_mock_2	TIS	65	21	2	1.4552894816611095
ssb1d_ssb2d_mock_2	TIS	66	22	0	4.515307668990603
ssb1d_ssb2d_mock_2	TIS	67	22	1	1.9148226735374356
ssb1d_ssb2d_mock_2	TIS	68	22	2	1.3188845104577145
ssb1d_ssb2d_mock_2	TIS	69	23	0	5.613216126098818
ssb1d_ssb2d_mock_2	TIS	70	23	1	1.8538951197332525
ssb1d_ssb2d_mock_2	TIS	71	23	2	1.14277053652622
ssb1d_ssb2d_mock_2	TIS	72	24	0	5.099727190057593
ssb1d_ssb2d_mock_2	TIS	73	24	1	2.367990300090937
ssb1d_ssb2d_mock_2	TIS	74	24	2	1.7696271597453774
ssb1d_ssb2d_mock_2	TIS	75	25	0	5.937556835404668
ssb1d_ssb2d_mock_2	TIS	76	25	1	2.466505001515611
ssb1d_ssb2d_mock_2	TIS	77	25	2	1.2458320703243406
ssb1d_ssb2d_mock_2	TIS	78	26	0	4.9202788723855715
ssb1d_ssb2d_mock_2	TIS	79	26	1	2.462261291300394
ssb1d_ssb2d_mock_2	TIS	80	26	2	2.0412246135192484
ssb1d_ssb2d_mock_2	TIS	81	27	0	7.064565019702941
ssb1d_ssb2d_mock_2	TIS	82	27	1	2.1397393149439226
ssb1d_ssb2d_mock_2	TIS	83	27	2	1.5331918763261594
ssb1d_ssb2d_mock_2	TIS	84	28	0	4.834798423764777
ssb1d_ssb2d_mock_2	TIS	85	28	1	2.040315247044559
ssb1d_ssb2d_mock_2	TIS	86	28	2	1.5477417399211881
ssb1d_ssb2d_mock_2	TIS	87	29	0	5.216429220976053
ssb1d_ssb2d_mock_2	TIS	88	29	1	2.030918460139436
ssb1d_ssb2d_mock_2	TIS	89	29	2	1.3604122461351924
ssb1d_ssb2d_mock_2	TIS	90	30	0	6.112155198545014
ssb1d_ssb2d_mock_2	TIS	91	30	1	2.2464383146408005
ssb1d_ssb2d_mock_2	TIS	92	30	2	1.1673234313428311
ssb1d_ssb2d_mock_2	TIS	93	31	0	4.947256744468021
ssb1d_ssb2d_mock_2	TIS	94	31	1	2.1409518035768413
ssb1d_ssb2d_mock_2	TIS	95	31	2	1.4304334646862686
ssb1d_ssb2d_mock_2	TIS	96	32	0	4.401636859654441
ssb1d_ssb2d_mock_2	TIS	97	32	1	2.2343134283116095
ssb1d_ssb2d_mock_2	TIS	98	32	2	1.0633525310700211
ssb1d_ssb2d_mock_2	TIS	99	33	0	7.218247953925432
ssb1d_ssb2d_mock_2	TIS	100	33	1	2.6632312822067292
ssb1d_ssb2d_mock_2	TIS	101	33	2	1.2525007578053955
ssb1d_ssb2d_mock_2	TIS	102	34	0	4.754471051833889
ssb1d_ssb2d_mock_2	TIS	103	34	1	1.9269475598666264
ssb1d_ssb2d_mock_2	TIS	104	34	2	1.0457714458926948
ssb1d_ssb2d_mock_2	TIS	105	35	0	4.2876629281600485
ssb1d_ssb2d_mock_2	TIS	106	35	1	2.080630494089118
ssb1d_ssb2d_mock_2	TIS	107	35	2	1.1749014852985753
ssb1d_ssb2d_mock_2	TIS	108	36	0	4.836010912397696
ssb1d_ssb2d_mock_2	TIS	109	36	1	1.8184298272203698
ssb1d_ssb2d_mock_2	TIS	110	36	2	1.3031221582297665
ssb1d_ssb2d_mock_2	TIS	111	37	0	5.538041830857836
ssb1d_ssb2d_mock_2	TIS	112	37	1	2.111548954228554
ssb1d_ssb2d_mock_2	TIS	113	37	2	1.3855713852682632
ssb1d_ssb2d_mock_2	TIS	114	38	0	4.437708396483783
ssb1d_ssb2d_mock_2	TIS	115	38	1	2.0518338890572902
ssb1d_ssb2d_mock_2	TIS	116	38	2	1.3695059108820855
ssb1d_ssb2d_mock_2	TIS	117	39	0	5.33767808426796
ssb1d_ssb2d_mock_2	TIS	118	39	1	2.098514701424674
ssb1d_ssb2d_mock_2	TIS	119	39	2	1.1891482267353743
ssb1d_ssb2d_mock_2	TIS	120	40	0	4.950591088208548
ssb1d_ssb2d_mock_2	TIS	121	40	1	2.7787208244922703
ssb1d_ssb2d_mock_2	TIS	122	40	2	1.5398605638072143
ssb1d_ssb2d_mock_2	TIS	123	41	0	6.988178235829039
ssb1d_ssb2d_mock_2	TIS	124	41	1	3.232797817520461
ssb1d_ssb2d_mock_2	TIS	125	41	2	1.24674143679903
ssb1d_ssb2d_mock_2	TIS	126	42	0	5.1558047893301
ssb1d_ssb2d_mock_2	TIS	127	42	1	2.2070324340709306
ssb1d_ssb2d_mock_2	TIS	128	42	2	1.2306759624128525
ssb1d_ssb2d_mock_2	TIS	129	43	0	5.2243103970900275
ssb1d_ssb2d_mock_2	TIS	130	43	1	2.0448620794180052
ssb1d_ssb2d_mock_2	TIS	131	43	2	1.1791451955137922
ssb1d_ssb2d_mock_2	TIS	132	44	0	4.723855713852682
ssb1d_ssb2d_mock_2	TIS	133	44	1	2.0942709912094575
ssb1d_ssb2d_mock_2	TIS	134	44	2	1.31191270081843
ssb1d_ssb2d_mock_2	TIS	135	45	0	4.705062140042437
ssb1d_ssb2d_mock_2	TIS	136	45	1	2.126098817823583
ssb1d_ssb2d_mock_2	TIS	137	45	2	1.0912397696271599
ssb1d_ssb2d_mock_2	TIS	138	46	0	5.347377993331312
ssb1d_ssb2d_mock_2	TIS	139	46	1	2.030009093664747
ssb1d_ssb2d_mock_2	TIS	140	46	2	1.5801758108517732
ssb1d_ssb2d_mock_2	TIS	141	47	0	5.006365565322825
ssb1d_ssb2d_mock_2	TIS	142	47	1	2.2906941497423463
ssb1d_ssb2d_mock_2	TIS	143	47	2	1.1070021218551076
ssb1d_ssb2d_mock_2	TIS	144	48	0	4.722643225219763
ssb1d_ssb2d_mock_2	TIS	145	48	1	2.6138223704152774
ssb1d_ssb2d_mock_2	TIS	146	48	2	1.157017277963019
ssb1d_ssb2d_mock_2	TIS	147	49	0	4.966959684752956
ssb1d_ssb2d_mock_2	TIS	148	49	1	2.245528948166111
ssb1d_ssb2d_mock_2	TIS	149	49	2	1.3164595331918763
ssb1d_ssb2d_mock_2	TIS	150	50	0	4.32494695362231
ssb1d_ssb2d_mock_2	TIS	151	50	1	1.9560472870566838
ssb1d_ssb2d_mock_2	TIS	152	50	2	1.2503789026977872
ssb1d_ssb2d_mock_2	TIS	153	51	0	4.646256441345862
ssb1d_ssb2d_mock_2	TIS	154	51	1	2.083964837829645
ssb1d_ssb2d_mock_2	TIS	155	51	2	1.3391936950591088
ssb1d_ssb2d_mock_2	TIS	156	52	0	5.368899666565626
ssb1d_ssb2d_mock_2	TIS	157	52	1	2.2073355562291606
ssb1d_ssb2d_mock_2	TIS	158	52	2	1.5965444073961808
ssb1d_ssb2d_mock_2	TIS	159	53	0	5.778417702334041
ssb1d_ssb2d_mock_2	TIS	160	53	1	2.331615641103365
ssb1d_ssb2d_mock_2	TIS	161	53	2	1.4225522885722945
ssb1d_ssb2d_mock_2	TIS	162	54	0	7.079418005456199
ssb1d_ssb2d_mock_2	TIS	163	54	1	2.572900879054259
ssb1d_ssb2d_mock_2	TIS	164	54	2	1.463776902091543
ssb1d_ssb2d_mock_2	TIS	165	55	0	4.565019702940285
ssb1d_ssb2d_mock_2	TIS	166	55	1	2.371627765989694
ssb1d_ssb2d_mock_2	TIS	167	55	2	1.1939981812670506
ssb1d_ssb2d_mock_2	TIS	168	56	0	6.3789026977872085
ssb1d_ssb2d_mock_2	TIS	169	56	1	2.477720521370112
ssb1d_ssb2d_mock_2	TIS	170	56	2	1.6071536829342226
ssb1d_ssb2d_mock_2	TIS	171	57	0	5.75386480751743
ssb1d_ssb2d_mock_2	TIS	172	57	1	1.9333131251894513
ssb1d_ssb2d_mock_2	TIS	173	57	2	1.1861170051530767
ssb1d_ssb2d_mock_2	TIS	174	58	0	4.923613216126099
ssb1d_ssb2d_mock_2	TIS	175	58	1	1.8332828129736283
ssb1d_ssb2d_mock_2	TIS	176	58	2	1.1354956047287057
ssb1d_ssb2d_mock_2	TIS	177	59	0	4.550772961503486
ssb1d_ssb2d_mock_2	TIS	178	59	1	2.460745680509245
ssb1d_ssb2d_mock_2	TIS	179	59	2	1.9851470142467413
ssb1d_ssb2d_mock_2	TIS	180	60	0	7.747802364352834
ssb1d_ssb2d_mock_2	TIS	181	60	1	1.9196726280691119
ssb1d_ssb2d_mock_2	TIS	182	60	2	1.1527735677478024
ssb1d_ssb2d_mock_2	TIS	183	61	0	4.926947559866626
ssb1d_ssb2d_mock_2	TIS	184	61	1	2.1943013034252803
ssb1d_ssb2d_mock_2	TIS	185	61	2	1.120945741133677
ssb1d_ssb2d_mock_2	TIS	186	62	0	3.6232191573204
ssb1d_ssb2d_mock_2	TIS	187	62	1	1.6814186117005152
ssb1d_ssb2d_mock_2	TIS	188	62	2	1.6892997878144893
ssb1d_ssb2d_mock_2	TIS	189	63	0	6.435586541376175
ssb1d_ssb2d_mock_2	TIS	190	63	1	2.570172779630191
ssb1d_ssb2d_mock_2	TIS	191	63	2	1.9572597756896029
ssb1d_ssb2d_mock_2	TIS	192	64	0	5.1618672324946955
ssb1d_ssb2d_mock_2	TIS	193	64	1	2.0433464686268565
ssb1d_ssb2d_mock_2	TIS	194	64	2	1.720824492270385
ssb1d_ssb2d_mock_2	TIS	195	65	0	6.976356471658078
ssb1d_ssb2d_mock_2	TIS	196	65	1	1.8957259775689603
ssb1d_ssb2d_mock_2	TIS	197	65	2	1.3237344649893907
ssb1d_ssb2d_mock_2	TIS	198	66	0	5.2006668687481055
ssb1d_ssb2d_mock_2	TIS	199	66	1	2.2476508032737192
ssb1d_ssb2d_mock_2	TIS	200	66	2	1.158532888754168
ssb1d_ssb2d_mock_2	TIS	201	67	0	5.512276447408306
ssb1d_ssb2d_mock_2	TIS	202	67	1	3.111548954228554
ssb1d_ssb2d_mock_2	TIS	203	67	2	1.2964534707487116
ssb1d_ssb2d_mock_2	TIS	204	68	0	4.086389815095483
ssb1d_ssb2d_mock_2	TIS	205	68	1	1.6717187026371627
ssb1d_ssb2d_mock_2	TIS	206	68	2	1.2424977265838133
ssb1d_ssb2d_mock_2	TIS	207	69	0	4.849348287359806
ssb1d_ssb2d_mock_2	TIS	208	69	1	1.824492270384965
ssb1d_ssb2d_mock_2	TIS	209	69	2	1.1567141558047893
ssb1d_ssb2d_mock_2	TIS	210	70	0	6.344043649590785
ssb1d_ssb2d_mock_2	TIS	211	70	1	3.3301000303122157
ssb1d_ssb2d_mock_2	TIS	212	70	2	1.2985753258563202
ssb1d_ssb2d_mock_2	TIS	213	71	0	5.027584116398908
ssb1d_ssb2d_mock_2	TIS	214	71	1	2.044255835101546
ssb1d_ssb2d_mock_2	TIS	215	71	2	1.7759927250682024
ssb1d_ssb2d_mock_2	TIS	216	72	0	6.339496817217339
ssb1d_ssb2d_mock_2	TIS	217	72	1	2.735980600181873
ssb1d_ssb2d_mock_2	TIS	218	72	2	1.1542891785389513
ssb1d_ssb2d_mock_2	TIS	219	73	0	4.802061230675962
ssb1d_ssb2d_mock_2	TIS	220	73	1	1.8184298272203698
ssb1d_ssb2d_mock_2	TIS	221	73	2	1.3461655046983934
ssb1d_ssb2d_mock_2	TIS	222	74	0	5.6644437708396485
ssb1d_ssb2d_mock_2	TIS	223	74	1	2.8720824492270385
ssb1d_ssb2d_mock_2	TIS	224	74	2	1.4461958169142164
ssb1d_ssb2d_mock_2	TIS	225	75	0	5.911185207638678
ssb1d_ssb2d_mock_2	TIS	226	75	1	1.9927250682024855
ssb1d_ssb2d_mock_2	TIS	227	75	2	1.3685965444073962
ssb1d_ssb2d_mock_2	TIS	228	76	0	5.2391633828432855
ssb1d_ssb2d_mock_2	TIS	229	76	1	2.5110639587753867
ssb1d_ssb2d_mock_2	TIS	230	76	2	1.1988481357987268
ssb1d_ssb2d_mock_2	TIS	231	77	0	4.77963019096696
ssb1d_ssb2d_mock_2	TIS	232	77	1	1.7102152167323432
ssb1d_ssb2d_mock_2	TIS	233	77	2	1.018187329493786
ssb1d_ssb2d_mock_2	TIS	234	78	0	4.746589875719915
ssb1d_ssb2d_mock_2	TIS	235	78	1	1.9096695968475295
ssb1d_ssb2d_mock_2	TIS	236	78	2	1.3382843285844195
ssb1d_ssb2d_mock_2	TIS	237	79	0	4.470445589572598
ssb1d_ssb2d_mock_2	TIS	238	79	1	1.7702334040618368
ssb1d_ssb2d_mock_2	TIS	239	79	2	0.8438920885116702
ssb1d_ssb2d_mock_2	TIS	240	80	0	3.746892997878145
ssb1d_ssb2d_mock_2	TIS	241	80	1	2.0824492270384964
ssb1d_ssb2d_mock_2	TIS	242	80	2	1.3534404364959078
ssb1d_ssb2d_mock_2	TIS	243	81	0	4.866626250378903
ssb1d_ssb2d_mock_2	TIS	244	81	1	1.880569869657472
ssb1d_ssb2d_mock_2	TIS	245	81	2	1.100030312215823
ssb1d_ssb2d_mock_2	TIS	246	82	0	4.362534101242801
ssb1d_ssb2d_mock_2	TIS	247	82	1	2.1718702637162774
ssb1d_ssb2d_mock_2	TIS	248	82	2	1.1406486814186116
ssb1d_ssb2d_mock_2	TIS	249	83	0	4.479236132161261
ssb1d_ssb2d_mock_2	TIS	250	83	1	1.7156714155804789
ssb1d_ssb2d_mock_2	TIS	251	83	2	1.2294634737799333
ssb1d_ssb2d_mock_2	TIS	252	84	0	5.6929372537132465
ssb1d_ssb2d_mock_2	TIS	253	84	1	1.9906032130948772
ssb1d_ssb2d_mock_2	TIS	254	84	2	1.8499545316762656
ssb1d_ssb2d_mock_2	TIS	255	85	0	5.846013943619279
ssb1d_ssb2d_mock_2	TIS	256	85	1	2.371627765989694
ssb1d_ssb2d_mock_2	TIS	257	85	2	1.2816004849954532
ssb1d_ssb2d_mock_2	TIS	258	86	0	3.9630190966959686
ssb1d_ssb2d_mock_2	TIS	259	86	1	2.2097605334949986
ssb1d_ssb2d_mock_2	TIS	260	86	2	1.114277053652622
ssb1d_ssb2d_mock_2	TIS	261	87	0	5.345862382540163
ssb1d_ssb2d_mock_2	TIS	262	87	1	1.9375568354046682
ssb1d_ssb2d_mock_2	TIS	263	87	2	1.6344346771749014
ssb1d_ssb2d_mock_2	TIS	264	88	0	6.1379205819945435
ssb1d_ssb2d_mock_2	TIS	265	88	1	2.3019096695968475
ssb1d_ssb2d_mock_2	TIS	266	88	2	2.2424977265838133
ssb1d_ssb2d_mock_2	TIS	267	89	0	7.025159139133071
ssb1d_ssb2d_mock_2	TIS	268	89	1	1.8193391936950591
ssb1d_ssb2d_mock_2	TIS	269	89	2	1.1776295847226432
ssb1d_ssb2d_mock_2	TIS	270	90	0	4.441042740224311
ssb1d_ssb2d_mock_2	TIS	271	90	1	1.977872082449227
ssb1d_ssb2d_mock_2	TIS	272	90	2	1.4410427402243104
ssb1d_ssb2d_mock_2	TIS	273	91	0	5.306153379812065
ssb1d_ssb2d_mock_2	TIS	274	91	1	2.83085783570779
ssb1d_ssb2d_mock_2	TIS	275	91	2	1.6253410124280085
ssb1d_ssb2d_mock_2	TIS	276	92	0	5.855713852682631
ssb1d_ssb2d_mock_2	TIS	277	92	1	1.8387390118217641
ssb1d_ssb2d_mock_2	TIS	278	92	2	1.4483176720218247
ssb1d_ssb2d_mock_2	TIS	279	93	0	9.273719308881478
ssb1d_ssb2d_mock_2	TIS	280	93	1	2.5628978478326765
ssb1d_ssb2d_mock_2	TIS	281	93	2	1.3546529251288268
ssb1d_ssb2d_mock_2	TIS	282	94	0	4.969990906335253
ssb1d_ssb2d_mock_2	TIS	283	94	1	1.9348287359806002
ssb1d_ssb2d_mock_2	TIS	284	94	2	1.8705668384358896
ssb1d_ssb2d_mock_2	TIS	285	95	0	8.80569869657472
ssb1d_ssb2d_mock_2	TIS	286	95	1	2.2431039709002727
ssb1d_ssb2d_mock_2	TIS	287	95	2	1.1964231585328888
ssb1d_ssb2d_mock_2	TIS	288	96	0	5.3116095786602004
ssb1d_ssb2d_mock_2	TIS	289	96	1	1.8708699605941195
ssb1d_ssb2d_mock_2	TIS	290	96	2	1.397393149439224
ssb1d_ssb2d_mock_2	TIS	291	97	0	4.7174901485298575
ssb1d_ssb2d_mock_2	TIS	292	97	1	2.003031221582298
ssb1d_ssb2d_mock_2	TIS	293	97	2	1.053349499848439
ssb1d_ssb2d_mock_2	TIS	294	98	0	4.283419217944831
ssb1d_ssb2d_mock_2	TIS	295	98	1	2.124583207032434
ssb1d_ssb2d_mock_2	TIS	296	98	2	1.2706880872991815
ssb1d_ssb2d_mock_2	TIS	297	99	0	5.329493785995756
ssb1d_ssb2d_mock_2	TIS	298	99	1	2.333737496210973
ssb1d_ssb2d_mock_2	TIS	299	99	2	1.03910275841164
ssb1d_ssb2d_mock_2	TIS	300	100	0	4.977265838132768
ssb1d_ssb2d_mock_2	TIS	301	100	1	2.0460745680509245
ssb1d_ssb2d_mock_2	TIS	302	100	2	1.1354956047287057
ssb1d_ssb2d_mock_2	TIS	303	101	0	5.176720218247954
ssb1d_ssb2d_mock_2	TIS	304	101	1	1.860866929372537
ssb1d_ssb2d_mock_2	TIS	305	101	2	1.1736889966656563
