Sample	Meta	Nucleotide	Codon	Frame	Density
elp6d_mrna_YPD2	TIS	-30	-10	0	0.0
elp6d_mrna_YPD2	TIS	-29	-10	1	0.0
elp6d_mrna_YPD2	TIS	-28	-10	2	0.0
elp6d_mrna_YPD2	TIS	-27	-9	0	0.0
elp6d_mrna_YPD2	TIS	-26	-9	1	0.0
elp6d_mrna_YPD2	TIS	-25	-9	2	0.0
elp6d_mrna_YPD2	TIS	-24	-8	0	0.0
elp6d_mrna_YPD2	TIS	-23	-8	1	0.0
elp6d_mrna_YPD2	TIS	-22	-8	2	0.0
elp6d_mrna_YPD2	TIS	-21	-7	0	0.0
elp6d_mrna_YPD2	TIS	-20	-7	1	0.0
elp6d_mrna_YPD2	TIS	-19	-7	2	2.9526889669192387
elp6d_mrna_YPD2	TIS	-18	-6	0	2.372759194233968
elp6d_mrna_YPD2	TIS	-17	-6	1	2.3448530770652374
elp6d_mrna_YPD2	TIS	-16	-6	2	2.475697652929218
elp6d_mrna_YPD2	TIS	-15	-5	0	2.7370171872112365
elp6d_mrna_YPD2	TIS	-14	-5	1	2.475697652929218
elp6d_mrna_YPD2	TIS	-13	-5	2	3.340972093882831
elp6d_mrna_YPD2	TIS	-12	-4	0	3.4574015893550176
elp6d_mrna_YPD2	TIS	-11	-4	1	3.637405285529477
elp6d_mrna_YPD2	TIS	-10	-4	2	3.611901681759379
elp6d_mrna_YPD2	TIS	-9	-3	0	3.0990574755128444
elp6d_mrna_YPD2	TIS	-8	-3	1	3.1182775827019036
elp6d_mrna_YPD2	TIS	-7	-3	2	3.302901496950656
elp6d_mrna_YPD2	TIS	-6	-2	0	3.123082609499168
elp6d_mrna_YPD2	TIS	-5	-2	1	3.403991868416189
elp6d_mrna_YPD2	TIS	-4	-2	2	3.180373313620403
elp6d_mrna_YPD2	TIS	-3	-1	0	2.969691369432637
elp6d_mrna_YPD2	TIS	-2	-1	1	3.0853816300129364
elp6d_mrna_YPD2	TIS	-1	-1	2	3.321197560524857
elp6d_mrna_YPD2	TIS	0	0	0	3.361485862132693
elp6d_mrna_YPD2	TIS	1	0	1	3.129366106080207
elp6d_mrna_YPD2	TIS	2	0	2	3.479763444834596
elp6d_mrna_YPD2	TIS	3	1	0	3.341341711328775
elp6d_mrna_YPD2	TIS	4	1	1	3.0990574755128444
elp6d_mrna_YPD2	TIS	5	1	2	3.4385510996119018
elp6d_mrna_YPD2	TIS	6	2	0	4.086675291073739
elp6d_mrna_YPD2	TIS	7	2	1	3.386065422287932
elp6d_mrna_YPD2	TIS	8	2	2	4.040657919053779
elp6d_mrna_YPD2	TIS	9	3	0	4.874884494548143
elp6d_mrna_YPD2	TIS	10	3	1	1.2583625947144705
elp6d_mrna_YPD2	TIS	11	3	2	6.367030123821844
elp6d_mrna_YPD2	TIS	12	4	0	1.7264830900018482
elp6d_mrna_YPD2	TIS	13	4	1	2.528922565145075
elp6d_mrna_YPD2	TIS	14	4	2	3.265385326187396
elp6d_mrna_YPD2	TIS	15	5	0	3.302347070781741
elp6d_mrna_YPD2	TIS	16	5	1	3.2387728700794676
elp6d_mrna_YPD2	TIS	17	5	2	3.5668083533542783
elp6d_mrna_YPD2	TIS	18	6	0	3.4100905562742563
elp6d_mrna_YPD2	TIS	19	6	1	3.1241914618369986
elp6d_mrna_YPD2	TIS	20	6	2	3.7174274625762336
elp6d_mrna_YPD2	TIS	21	7	0	3.3951210497135467
elp6d_mrna_YPD2	TIS	22	7	1	3.4063943818148217
elp6d_mrna_YPD2	TIS	23	7	2	3.7931990389946404
elp6d_mrna_YPD2	TIS	24	8	0	3.3925337275919425
elp6d_mrna_YPD2	TIS	25	8	1	3.184439105525781
elp6d_mrna_YPD2	TIS	26	8	2	4.05784513029015
elp6d_mrna_YPD2	TIS	27	9	0	3.9325448161153207
elp6d_mrna_YPD2	TIS	28	9	1	3.041581962668638
elp6d_mrna_YPD2	TIS	29	9	2	3.7769358713731287
elp6d_mrna_YPD2	TIS	30	10	0	4.10829791166143
elp6d_mrna_YPD2	TIS	31	10	1	3.252633524302347
elp6d_mrna_YPD2	TIS	32	10	2	3.9800406579190537
elp6d_mrna_YPD2	TIS	33	11	0	3.7758270190352983
elp6d_mrna_YPD2	TIS	34	11	1	3.2467196451672518
elp6d_mrna_YPD2	TIS	35	11	2	4.0088708187026425
elp6d_mrna_YPD2	TIS	36	12	0	4.095915727222325
elp6d_mrna_YPD2	TIS	37	12	1	3.1777859914987987
elp6d_mrna_YPD2	TIS	38	12	2	3.9231195712437628
elp6d_mrna_YPD2	TIS	39	13	0	4.052485677323969
elp6d_mrna_YPD2	TIS	40	13	1	2.9708002217704674
elp6d_mrna_YPD2	TIS	41	13	2	3.7542043984476066
elp6d_mrna_YPD2	TIS	42	14	0	4.046202180742931
elp6d_mrna_YPD2	TIS	43	14	1	3.1027536499722785
elp6d_mrna_YPD2	TIS	44	14	2	3.9212714840140457
elp6d_mrna_YPD2	TIS	45	15	0	4.5444464978746995
elp6d_mrna_YPD2	TIS	46	15	1	2.814821659582332
elp6d_mrna_YPD2	TIS	47	15	2	4.143781186472001
elp6d_mrna_YPD2	TIS	48	16	0	4.225281833302532
elp6d_mrna_YPD2	TIS	49	16	1	2.9469598965071153
elp6d_mrna_YPD2	TIS	50	16	2	3.999260765108113
elp6d_mrna_YPD2	TIS	51	17	0	4.016263167621512
elp6d_mrna_YPD2	TIS	52	17	1	3.165588615782665
elp6d_mrna_YPD2	TIS	53	17	2	4.03215671779708
elp6d_mrna_YPD2	TIS	54	18	0	4.043060432452411
elp6d_mrna_YPD2	TIS	55	18	1	3.269820735538717
elp6d_mrna_YPD2	TIS	56	18	2	3.867492145629274
elp6d_mrna_YPD2	TIS	57	19	0	4.097394197006099
elp6d_mrna_YPD2	TIS	58	19	1	3.266124561079283
elp6d_mrna_YPD2	TIS	59	19	2	3.8225836259471446
elp6d_mrna_YPD2	TIS	60	20	0	4.210312326741822
elp6d_mrna_YPD2	TIS	61	20	1	3.2437627055997043
elp6d_mrna_YPD2	TIS	62	20	2	3.8730364073184256
elp6d_mrna_YPD2	TIS	63	21	0	3.9085196821289965
elp6d_mrna_YPD2	TIS	64	21	1	3.2598410644982443
elp6d_mrna_YPD2	TIS	65	21	2	3.9292182591018294
