name	R_WT_1_sum	R_WT_2_sum	R_WT_3_sum	R_KO_1_sum	R_KO_2_sum	R_KO_3_sum	R_WT_1_mean	R_WT_2_mean	R_WT_3_mean	R_KO_1_mean	R_KO_2_mean	R_KO_3_mean	R_WT_1_CoV	R_WT_2_CoV	R_WT_3_CoV	R_KO_1_CoV	R_KO_2_CoV	R_KO_3_CoV
AGG15990	117	94	74	68	77	85	0.5441860465116279	0.4372093023255814	0.34418604651162793	0.31627906976744186	0.3581395348837209	0.3953488372093023	3.65223666629839	4.097804292169542	4.899377836348669	4.182582597697285	3.766619841175856	3.848474470247741
AGG15992	431	389	415	281	281	299	1.724	1.556	1.66	1.124	1.124	1.196	1.5904165384168292	1.7084883636612234	1.5943289401641787	1.4628233221253308	2.391489211188759	2.1362335925590674
AGG15993	63	43	47	43	46	56	0.28125	0.19196428571428573	0.20982142857142858	0.19196428571428573	0.20535714285714285	0.25	2.7072153800110694	3.0955662438902656	2.8030640533779096	2.9341117530669654	2.926713124923321	2.4549757289220624
AGG15994	554	545	590	1586	1423	1660	1.1329243353783232	1.114519427402863	1.2065439672801637	3.243353783231084	2.9100204498977504	3.394683026584867	10.509008855767592	11.223652994372527	11.845798047476515	13.690119399942503	13.626952174991551	14.352495273720548
AGG15995	352	278	247	226	215	221	0.624113475177305	0.4929078014184397	0.4379432624113475	0.40070921985815605	0.38120567375886527	0.39184397163120566	3.22462624857406	2.9606329233123194	3.2044983194172048	3.1787502899789475	2.7684350554281516	2.8948268876937897
AGG15996	46	54	40	51	35	37	0.359375	0.421875	0.3125	0.3984375	0.2734375	0.2890625	2.028157180815757	2.052464183930099	2.226822884173844	1.8723422758749588	2.327271266415914	2.303449319306829
AGG15997	39	43	48	25	23	23	0.5571428571428572	0.6142857142857143	0.6857142857142857	0.35714285714285715	0.32857142857142857	0.32857142857142857	2.041574017523688	2.152053031797211	2.0100642509819644	2.2879647306494157	2.3586880297455957	1.9880881399492298
AGG15998	56	39	53	27	26	35	0.12933025404157045	0.09006928406466513	0.12240184757505773	0.06235565819861432	0.06004618937644342	0.08083140877598152	4.5372994225307215	4.452809627120479	5.310271191757101	5.1940956899225235	5.802284821489051	4.768118564856171
AGG15999	203	165	175	117	160	165	0.2916666666666667	0.23706896551724138	0.2514367816091954	0.16810344827586207	0.22988505747126436	0.23706896551724138	2.788697114415213	3.10212714401694	3.5859353899311293	3.3570126539278804	3.153357238008978	3.431285571480221
AGG16000	76	51	68	41	49	57	0.1444866920152091	0.09695817490494296	0.12927756653992395	0.0779467680608365	0.09315589353612168	0.10836501901140684	3.9036911900154645	4.077451401334737	3.8964056849220476	4.029996306487773	4.648208302521847	3.7092708573227604
AGG16001	52	34	41	37	38	44	0.10116731517509728	0.06614785992217899	0.07976653696498054	0.07198443579766536	0.07392996108949416	0.08560311284046693	4.9900416419880385	5.412234565784202	5.358693242417466	4.5211492697759725	5.178485834160834	4.677093476675173
AGG16002	585	468	539	445	375	464	1.598360655737705	1.278688524590164	1.4726775956284153	1.215846994535519	1.0245901639344261	1.2677595628415301	1.5935506721885622	1.7509097568231518	1.9632840187187686	2.63625411094925	2.723798089594146	3.0147544916883318
AGG16003	264	207	264	207	145	194	0.5764192139737991	0.4519650655021834	0.5764192139737991	0.4519650655021834	0.3165938864628821	0.42358078602620086	2.7803866149217717	2.9735869207987866	3.0772056123449945	3.1857642271105377	3.4496499789843496	3.1504402608105067
AGG16004	246	204	247	192	136	192	0.5734265734265734	0.4755244755244755	0.5757575757575758	0.44755244755244755	0.317016317016317	0.44755244755244755	2.8696585618180044	2.9792027102779257	3.133148242543312	3.2149052524110466	3.4260450491608827	3.0739403424549345
AGG16005	695	642	675	434	440	512	1.29182156133829	1.1933085501858736	1.254646840148699	0.8066914498141264	0.8178438661710037	0.9516728624535316	1.5658261568418306	1.6300871838385345	1.590401314175368	1.8312596350677086	2.0961213289398986	1.7740930029531912
AGG16006	199	217	232	150	141	194	0.32784184514003295	0.357495881383855	0.38220757825370677	0.2471169686985173	0.23228995057660626	0.31960461285008235	5.755735373341749	4.595235232289341	4.8836241361820685	9.109535907193322	6.595091075902746	6.775828950586151
AGG16007	196	154	137	118	139	136	0.5584045584045584	0.43874643874643876	0.3903133903133903	0.33618233618233617	0.396011396011396	0.38746438746438744	3.015739413304895	2.9199275946978056	2.417132285461532	2.4339154194195514	3.462232247299894	2.8248742858042593
AGG16009	163	129	151	111	107	122	0.3110687022900763	0.24618320610687022	0.2881679389312977	0.21183206106870228	0.20419847328244276	0.23282442748091603	2.8124405802780093	3.031223839272699	2.8448404017678364	2.9300875180856623	2.92949301146747	2.640031134929938
AGG16010	107	98	100	82	61	76	0.16486902927580893	0.1510015408320493	0.15408320493066255	0.1263482280431433	0.09399075500770417	0.11710323574730354	4.5294228050068845	4.3314088501308445	4.434918924196648	4.167198558158849	4.448137686583303	4.123595482649149
AGG16012	129	150	165	87	100	128	1.0661157024793388	1.2396694214876034	1.3636363636363635	0.71900826446281	0.8264462809917356	1.0578512396694215	7.336629419707176	7.988325138507978	7.328442813727489	7.660423998022556	7.463319636730025	8.547368979954719
AGG16013	131	105	104	105	94	115	3.742857142857143	3.0	2.9714285714285715	3.0	2.6857142857142855	3.2857142857142856	0.9877270573825453	1.146178646719646	1.2364827788424007	1.0846522890932806	0.9841736204700586	1.0762128888568778
AGG16014	331	297	278	332	346	390	1.3677685950413223	1.2272727272727273	1.1487603305785123	1.371900826446281	1.4297520661157024	1.6115702479338843	1.4909768905366412	1.7522272570348145	1.870424947885765	1.9442010315053795	2.1734891194076664	1.8332099936413597
AGG16015	120	131	95	186	167	206	0.2603036876355748	0.2841648590021692	0.20607375271149675	0.403470715835141	0.36225596529284165	0.44685466377440347	3.5768316057299656	4.011616152130374	5.264616639951197	4.524532270801703	5.26682073030725	4.5576193395262115
AGG16017	372	347	315	232	211	255	1.6103896103896105	1.5021645021645023	1.3636363636363635	1.0043290043290043	0.9134199134199135	1.103896103896104	1.3951120389526437	1.5393125550254343	1.4993460732409298	1.568832164786164	1.9878201329958234	1.5661966246316814
EAA26526	42	55	51	49	43	49	0.10218978102189781	0.13381995133819952	0.12408759124087591	0.1192214111922141	0.10462287104622871	0.1192214111922141	4.092460500935503	3.6091652463483173	3.39282826748259	3.4943478910075685	3.731862838850278	3.9550462543087073
EAA26533	49	41	63	66	61	60	0.11161731207289294	0.09339407744874716	0.14350797266514806	0.15034168564920272	0.13895216400911162	0.1366742596810934	4.095575152435763	4.1301923414457145	3.0142914031024257	3.4241868615012563	3.679982290107293	3.3859191144531904
EAA26534	62	62	87	80	68	72	0.04599406528189911	0.04599406528189911	0.064540059347181	0.05934718100890208	0.050445103857566766	0.05341246290801187	5.27030060350825	5.655732407243111	4.984193385989091	5.494988605746409	6.494352701484153	5.995919665606167
EAA26536	141	168	155	253	196	237	0.2469352014010508	0.29422066549912435	0.2714535901926445	0.44308231173380036	0.3432574430823117	0.415061295971979	2.9388132549575507	2.912553618763045	2.5953886991333768	2.366886076197745	2.6020484158464745	2.460786384604341
EAA26537	25	40	33	45	33	46	0.0673854447439353	0.1078167115902965	0.0889487870619946	0.12129380053908356	0.0889487870619946	0.12398921832884097	4.71277688268243	4.617083436484493	4.750549071087196	4.05577069650261	4.052025601283499	4.282033639298098
EAA26538	48	39	36	43	60	50	0.04064352243861134	0.03302286198137172	0.03048264182895851	0.03640982218458933	0.05080440304826418	0.04233700254022015	6.796845080512975	6.215490089509147	6.255302626069507	6.662354108036044	6.14349360327526	6.446020714428978
EAA26539	35	36	49	40	48	53	0.09090909090909091	0.09350649350649351	0.12727272727272726	0.1038961038961039	0.12467532467532468	0.13766233766233765	5.015081421738501	4.319136008548411	3.3729049935090223	3.670489543587248	3.8400216104346767	3.4317807233549966
EAA26541	28	51	52	67	60	76	0.08069164265129683	0.14697406340057637	0.14985590778097982	0.1930835734870317	0.1729106628242075	0.21902017291066284	4.200014499994634	4.194606870103418	3.867275817133354	2.8674733896756943	3.1343047729540223	2.9796104300550437
EAA26553	22	20	23	44	40	49	0.02788339670468948	0.025348542458808618	0.029150823827629912	0.05576679340937896	0.050697084917617236	0.062103929024081114	8.415285387288739	6.811666984417177	7.160114938254186	5.9082890549626335	5.707344820358859	5.848499945886065
EAA26564	39	25	32	51	37	59	0.11174785100286533	0.07163323782234957	0.09169054441260745	0.14613180515759314	0.10601719197707736	0.16905444126074498	4.7157826368338025	5.141726531442324	4.17783547095167	4.010841267831377	4.141160608688806	3.4302405799533884
EAA26571	119	117	156	142	145	139	0.06077630234933606	0.05975485188968335	0.07967313585291114	0.07252298263534218	0.07405515832482125	0.07099080694586313	5.309307751391658	4.874126698738007	4.427978032702501	4.845837154994739	4.7314234522548855	4.538286859652794
EAA26575	138	130	139	168	120	162	0.22366288492706646	0.2106969205834684	0.2252836304700162	0.27228525121555913	0.19448946515397084	0.2625607779578606	3.307633138436071	2.9039555126247683	2.8709462515126916	2.538330961580002	2.9345758141910743	2.9094318703413564
