	0	1	2	3	4	5	6	7	8	mean
NM_001183414.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184552.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184604.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395037.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348891.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183415.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184623.1	0	0	0	0	0	0	0	0	0	0.0
NM_001267862.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183253.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184621.3	0	0	0	0	0	0	0	0	0	0.0
NM_001180422.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184644.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348877.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348876.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184576.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181127.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181128.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180022.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348868.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178890.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178891.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184574.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184465.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184542.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184643.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184541.3	0	0	0	0	0	0	0	0	0	0.0
NM_001178807.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348893.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184314.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178665.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178667.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348881.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181101.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184610.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182048.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182047.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184565.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182046.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348813.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184662.3	0	0	0	0	0	0	0	0	0	0.0
