Sample	Meta	Nucleotide	Codon	Frame	Density
nacd_ssb2_mock_2	TIS	-30	-10	0	0.0
nacd_ssb2_mock_2	TIS	-29	-10	1	0.0
nacd_ssb2_mock_2	TIS	-28	-10	2	0.0
nacd_ssb2_mock_2	TIS	-27	-9	0	0.0
nacd_ssb2_mock_2	TIS	-26	-9	1	0.0
nacd_ssb2_mock_2	TIS	-25	-9	2	0.0
nacd_ssb2_mock_2	TIS	-24	-8	0	0.0
nacd_ssb2_mock_2	TIS	-23	-8	1	0.0
nacd_ssb2_mock_2	TIS	-22	-8	2	0.0
nacd_ssb2_mock_2	TIS	-21	-7	0	0.0
nacd_ssb2_mock_2	TIS	-20	-7	1	0.0
nacd_ssb2_mock_2	TIS	-19	-7	2	0.0
nacd_ssb2_mock_2	TIS	-18	-6	0	0.027140549273021
nacd_ssb2_mock_2	TIS	-17	-6	1	0.046526655896607434
nacd_ssb2_mock_2	TIS	-16	-6	2	0.04038772213247173
nacd_ssb2_mock_2	TIS	-15	-5	0	0.08239095315024232
nacd_ssb2_mock_2	TIS	-14	-5	1	0.06268174474959612
nacd_ssb2_mock_2	TIS	-13	-5	2	0.050080775444264945
nacd_ssb2_mock_2	TIS	-12	-4	0	0.050080775444264945
nacd_ssb2_mock_2	TIS	-11	-4	1	0.0752827140549273
nacd_ssb2_mock_2	TIS	-10	-4	2	0.033925686591276254
nacd_ssb2_mock_2	TIS	-9	-3	0	0.04588045234248788
nacd_ssb2_mock_2	TIS	-8	-3	1	0.06235864297253635
nacd_ssb2_mock_2	TIS	-7	-3	2	0.04232633279483037
nacd_ssb2_mock_2	TIS	-6	-2	0	0.041033925686591276
nacd_ssb2_mock_2	TIS	-5	-2	1	0.04038772213247173
nacd_ssb2_mock_2	TIS	-4	-2	2	0.031663974151857836
nacd_ssb2_mock_2	TIS	-3	-1	0	0.039418416801292405
nacd_ssb2_mock_2	TIS	-2	-1	1	0.27172859450726977
nacd_ssb2_mock_2	TIS	-1	-1	2	2.1234248788368335
nacd_ssb2_mock_2	TIS	0	0	0	6.735056542810986
nacd_ssb2_mock_2	TIS	1	0	1	0.815831987075929
nacd_ssb2_mock_2	TIS	2	0	2	1.0080775444264944
nacd_ssb2_mock_2	TIS	3	1	0	2.091437802907916
nacd_ssb2_mock_2	TIS	4	1	1	0.3631663974151858
nacd_ssb2_mock_2	TIS	5	1	2	0.5977382875605816
nacd_ssb2_mock_2	TIS	6	2	0	1.5961227786752827
nacd_ssb2_mock_2	TIS	7	2	1	0.3641357027463651
nacd_ssb2_mock_2	TIS	8	2	2	0.8138933764135703
nacd_ssb2_mock_2	TIS	9	3	0	1.6523424878836834
nacd_ssb2_mock_2	TIS	10	3	1	0.3605815831987076
nacd_ssb2_mock_2	TIS	11	3	2	0.45977382875605816
nacd_ssb2_mock_2	TIS	12	4	0	2.3004846526655895
nacd_ssb2_mock_2	TIS	13	4	1	0.32924071082390954
nacd_ssb2_mock_2	TIS	14	4	2	0.8827140549273021
nacd_ssb2_mock_2	TIS	15	5	0	1.8436187399030695
nacd_ssb2_mock_2	TIS	16	5	1	0.47140549273021004
nacd_ssb2_mock_2	TIS	17	5	2	0.844264943457189
nacd_ssb2_mock_2	TIS	18	6	0	1.8045234248788369
nacd_ssb2_mock_2	TIS	19	6	1	0.3344103392568659
nacd_ssb2_mock_2	TIS	20	6	2	0.9974151857835218
nacd_ssb2_mock_2	TIS	21	7	0	2.051050080775444
nacd_ssb2_mock_2	TIS	22	7	1	0.4856219709208401
nacd_ssb2_mock_2	TIS	23	7	2	0.7663974151857835
nacd_ssb2_mock_2	TIS	24	8	0	1.7008077544426494
nacd_ssb2_mock_2	TIS	25	8	1	0.3189014539579968
nacd_ssb2_mock_2	TIS	26	8	2	0.7867528271405493
nacd_ssb2_mock_2	TIS	27	9	0	1.610016155088853
nacd_ssb2_mock_2	TIS	28	9	1	0.3702746365105008
nacd_ssb2_mock_2	TIS	29	9	2	0.8520193861066235
nacd_ssb2_mock_2	TIS	30	10	0	1.7053311793214863
nacd_ssb2_mock_2	TIS	31	10	1	0.3683360258481422
nacd_ssb2_mock_2	TIS	32	10	2	0.9282714054927302
nacd_ssb2_mock_2	TIS	33	11	0	1.9234248788368336
nacd_ssb2_mock_2	TIS	34	11	1	0.3605815831987076
nacd_ssb2_mock_2	TIS	35	11	2	0.8704361873990307
nacd_ssb2_mock_2	TIS	36	12	0	1.8546042003231018
nacd_ssb2_mock_2	TIS	37	12	1	0.37867528271405493
nacd_ssb2_mock_2	TIS	38	12	2	0.755735056542811
nacd_ssb2_mock_2	TIS	39	13	0	2.1554119547657513
nacd_ssb2_mock_2	TIS	40	13	1	0.4894991922455573
nacd_ssb2_mock_2	TIS	41	13	2	0.85718901453958
nacd_ssb2_mock_2	TIS	42	14	0	2.0520193861066236
nacd_ssb2_mock_2	TIS	43	14	1	0.3344103392568659
nacd_ssb2_mock_2	TIS	44	14	2	0.7912762520193861
nacd_ssb2_mock_2	TIS	45	15	0	1.704038772213247
nacd_ssb2_mock_2	TIS	46	15	1	0.3873990306946688
nacd_ssb2_mock_2	TIS	47	15	2	0.6316639741518578
nacd_ssb2_mock_2	TIS	48	16	0	1.9340872374798062
nacd_ssb2_mock_2	TIS	49	16	1	0.3395799676898223
nacd_ssb2_mock_2	TIS	50	16	2	0.8080775444264944
nacd_ssb2_mock_2	TIS	51	17	0	1.8820678513731826
nacd_ssb2_mock_2	TIS	52	17	1	0.29466882067851374
nacd_ssb2_mock_2	TIS	53	17	2	0.6840064620355412
nacd_ssb2_mock_2	TIS	54	18	0	1.6978998384491115
nacd_ssb2_mock_2	TIS	55	18	1	0.420032310177706
nacd_ssb2_mock_2	TIS	56	18	2	0.6762520193861066
nacd_ssb2_mock_2	TIS	57	19	0	2.0533117932148626
nacd_ssb2_mock_2	TIS	58	19	1	0.44846526655896607
nacd_ssb2_mock_2	TIS	59	19	2	0.6652665589660743
nacd_ssb2_mock_2	TIS	60	20	0	1.7428109854604201
nacd_ssb2_mock_2	TIS	61	20	1	0.3376413570274637
nacd_ssb2_mock_2	TIS	62	20	2	0.6452342487883683
nacd_ssb2_mock_2	TIS	63	21	0	1.7243941841680128
nacd_ssb2_mock_2	TIS	64	21	1	0.3376413570274637
nacd_ssb2_mock_2	TIS	65	21	2	0.6213247172859451
nacd_ssb2_mock_2	TIS	66	22	0	1.7596122778675283
nacd_ssb2_mock_2	TIS	67	22	1	0.32762520193861067
nacd_ssb2_mock_2	TIS	68	22	2	0.772859450726979
nacd_ssb2_mock_2	TIS	69	23	0	1.9143780290791599
nacd_ssb2_mock_2	TIS	70	23	1	0.43101777059773827
nacd_ssb2_mock_2	TIS	71	23	2	0.6620355411954766
nacd_ssb2_mock_2	TIS	72	24	0	2.0836833602584814
nacd_ssb2_mock_2	TIS	73	24	1	0.43521809369951536
nacd_ssb2_mock_2	TIS	74	24	2	0.9172859450726979
nacd_ssb2_mock_2	TIS	75	25	0	2.1980613893376413
nacd_ssb2_mock_2	TIS	76	25	1	0.402907915993538
nacd_ssb2_mock_2	TIS	77	25	2	0.7376413570274637
nacd_ssb2_mock_2	TIS	78	26	0	1.789983844911147
nacd_ssb2_mock_2	TIS	79	26	1	0.3683360258481422
nacd_ssb2_mock_2	TIS	80	26	2	0.8717285945072698
nacd_ssb2_mock_2	TIS	81	27	0	2.110177705977383
nacd_ssb2_mock_2	TIS	82	27	1	0.33150242326332796
nacd_ssb2_mock_2	TIS	83	27	2	0.6849757673667205
nacd_ssb2_mock_2	TIS	84	28	0	1.9589660743134087
nacd_ssb2_mock_2	TIS	85	28	1	0.372859450726979
nacd_ssb2_mock_2	TIS	86	28	2	0.7127625201938611
nacd_ssb2_mock_2	TIS	87	29	0	2.0449111470113084
nacd_ssb2_mock_2	TIS	88	29	1	0.38061389337641355
nacd_ssb2_mock_2	TIS	89	29	2	0.7744749596122779
nacd_ssb2_mock_2	TIS	90	30	0	1.9579967689822293
nacd_ssb2_mock_2	TIS	91	30	1	0.31147011308562195
nacd_ssb2_mock_2	TIS	92	30	2	0.6051696284329564
nacd_ssb2_mock_2	TIS	93	31	0	1.7379644588045233
nacd_ssb2_mock_2	TIS	94	31	1	0.45201938610662357
nacd_ssb2_mock_2	TIS	95	31	2	0.5909531502423263
nacd_ssb2_mock_2	TIS	96	32	0	1.5483037156704362
nacd_ssb2_mock_2	TIS	97	32	1	0.3641357027463651
nacd_ssb2_mock_2	TIS	98	32	2	0.5673667205169628
nacd_ssb2_mock_2	TIS	99	33	0	1.7159935379644589
nacd_ssb2_mock_2	TIS	100	33	1	0.32407108239095317
nacd_ssb2_mock_2	TIS	101	33	2	0.6158319870759289
nacd_ssb2_mock_2	TIS	102	34	0	1.4054927302100162
nacd_ssb2_mock_2	TIS	103	34	1	0.3890145395799677
nacd_ssb2_mock_2	TIS	104	34	2	0.5773828756058158
nacd_ssb2_mock_2	TIS	105	35	0	1.6852988691437802
nacd_ssb2_mock_2	TIS	106	35	1	0.43877221324717286
nacd_ssb2_mock_2	TIS	107	35	2	0.7253634894991923
nacd_ssb2_mock_2	TIS	108	36	0	1.7137318255250404
nacd_ssb2_mock_2	TIS	109	36	1	0.3605815831987076
nacd_ssb2_mock_2	TIS	110	36	2	0.6920840064620355
nacd_ssb2_mock_2	TIS	111	37	0	1.70016155088853
nacd_ssb2_mock_2	TIS	112	37	1	0.34507269789983847
nacd_ssb2_mock_2	TIS	113	37	2	0.7360258481421648
nacd_ssb2_mock_2	TIS	114	38	0	1.4552504038772214
nacd_ssb2_mock_2	TIS	115	38	1	0.30823909531502425
nacd_ssb2_mock_2	TIS	116	38	2	0.6445880452342488
nacd_ssb2_mock_2	TIS	117	39	0	1.6310177705977382
nacd_ssb2_mock_2	TIS	118	39	1	0.34378029079159933
nacd_ssb2_mock_2	TIS	119	39	2	0.6445880452342488
nacd_ssb2_mock_2	TIS	120	40	0	1.7489499192245557
nacd_ssb2_mock_2	TIS	121	40	1	0.4281098546042003
nacd_ssb2_mock_2	TIS	122	40	2	0.8203554119547658
nacd_ssb2_mock_2	TIS	123	41	0	2.274313408723748
nacd_ssb2_mock_2	TIS	124	41	1	0.424232633279483
nacd_ssb2_mock_2	TIS	125	41	2	0.6394184168012924
nacd_ssb2_mock_2	TIS	126	42	0	1.5570274636510502
nacd_ssb2_mock_2	TIS	127	42	1	0.3360258481421648
nacd_ssb2_mock_2	TIS	128	42	2	0.6591276252019386
nacd_ssb2_mock_2	TIS	129	43	0	1.7945072697899838
nacd_ssb2_mock_2	TIS	130	43	1	0.3851373182552504
nacd_ssb2_mock_2	TIS	131	43	2	0.5718901453957996
nacd_ssb2_mock_2	TIS	132	44	0	1.404200323101777
nacd_ssb2_mock_2	TIS	133	44	1	0.31922455573505654
nacd_ssb2_mock_2	TIS	134	44	2	0.6991922455573506
nacd_ssb2_mock_2	TIS	135	45	0	1.452988691437803
nacd_ssb2_mock_2	TIS	136	45	1	0.35864297253634897
nacd_ssb2_mock_2	TIS	137	45	2	0.6142164781906301
nacd_ssb2_mock_2	TIS	138	46	0	1.4891760904684976
nacd_ssb2_mock_2	TIS	139	46	1	0.30823909531502425
nacd_ssb2_mock_2	TIS	140	46	2	0.7250403877221324
nacd_ssb2_mock_2	TIS	141	47	0	1.3993537964458804
nacd_ssb2_mock_2	TIS	142	47	1	0.3780290791599354
nacd_ssb2_mock_2	TIS	143	47	2	0.5922455573505654
nacd_ssb2_mock_2	TIS	144	48	0	1.4636510500807753
nacd_ssb2_mock_2	TIS	145	48	1	0.31211631663974154
nacd_ssb2_mock_2	TIS	146	48	2	0.6639741518578353
nacd_ssb2_mock_2	TIS	147	49	0	1.7250403877221325
nacd_ssb2_mock_2	TIS	148	49	1	0.3172859450726979
nacd_ssb2_mock_2	TIS	149	49	2	0.6155088852988692
nacd_ssb2_mock_2	TIS	150	50	0	1.5234248788368336
nacd_ssb2_mock_2	TIS	151	50	1	0.3046849757673667
nacd_ssb2_mock_2	TIS	152	50	2	0.6297253634894991
nacd_ssb2_mock_2	TIS	153	51	0	1.50016155088853
nacd_ssb2_mock_2	TIS	154	51	1	0.3408723747980614
nacd_ssb2_mock_2	TIS	155	51	2	0.6810985460420033
nacd_ssb2_mock_2	TIS	156	52	0	1.6200323101777059
nacd_ssb2_mock_2	TIS	157	52	1	0.2655896607431341
nacd_ssb2_mock_2	TIS	158	52	2	0.6759289176090468
nacd_ssb2_mock_2	TIS	159	53	0	1.7276252019386107
nacd_ssb2_mock_2	TIS	160	53	1	0.31147011308562195
nacd_ssb2_mock_2	TIS	161	53	2	0.7460420032310178
nacd_ssb2_mock_2	TIS	162	54	0	2.0264943457189015
