	0	1	2	3	4	5	6	7	8	mean
NM_001181101.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348879.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179521.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348824.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179256.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348825.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270738.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184193.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184585.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184151.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395031.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179185.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395032.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348820.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184473.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181115.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184555.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179513.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270751.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184654.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184597.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180053.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180052.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184458.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270750.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179450.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348886.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184649.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178836.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348821.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348822.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179183.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180041.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184582.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184583.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178235.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178236.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180054.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183835.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182838.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183177.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184301.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183156.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184546.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348813.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348814.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184618.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180043.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348871.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178206.2	0	0	0	0	0	0	0	0	0	0.0
NM_001184642.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183249.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184621.3	0	0	0	0	0	0	0	0	0	0.0
NM_001183253.3	0	0	0	0	0	0	0	0	0	0.0
NM_001267862.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348888.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183418.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184575.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183416.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183415.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183414.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348873.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178850.1	0	0	0	0	0	0	0	0	0	0.0
NM_001416099.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184456.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348862.1	0	0	0	0	0	0	0	0	0	0.0
NM_001395038.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183385.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179563.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181656.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183358.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182349.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182352.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181423.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181425.3	0	0	0	0	0	0	0	0	0	0.0
NM_001179130.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179129.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184650.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179126.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348894.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181825.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348833.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181887.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181125.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270741.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184682.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182442.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179805.3	0	0	0	0	0	0	0	0	0	0.0
NM_001348851.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181058.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181057.3	0	0	0	0	0	0	0	0	0	0.0
NM_001178665.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184314.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184462.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348893.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182048.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348857.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184661.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348870.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184420.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348815.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182834.3	0	0	0	0	0	0	0	0	0	0.0
NM_001182835.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348828.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179076.3	0	0	0	0	0	0	0	0	0	0.0
NM_001184540.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184561.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182045.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182046.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184565.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182047.1	0	0	0	0	0	0	0	0	0	0.0
NM_001178930.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348859.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183278.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348875.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180173.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348874.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348860.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184535.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184665.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184610.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182303.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348812.1	0	0	0	0	0	0	0	0	0	0.0
NM_001182150.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184638.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348861.1	0	0	0	0	0	0	0	0	0	0.0
NM_001270756.1	0	0	0	0	0	0	0	0	0	0.0
NM_001180246.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184622.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183269.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184566.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179077.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184633.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184590.1	0	0	0	0	0	0	0	0	0	0.0
NM_001179899.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184465.1	0	0	0	0	0	0	0	0	0	0.0
NM_001348858.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183944.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183935.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184670.1	0	0	0	0	0	0	0	0	0	0.0
CRS5	0	0	0	0	0	0	0	0	0	0.0
NM_001184624.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184667.1	0	0	0	0	0	0	0	0	0	0.0
NM_001183107.1	0	0	0	0	0	0	0	0	0	0.0
NM_001184616.1	0	0	0	0	0	0	0	0	0	0.0
NM_001181546.3	0	0	0	0	0	0	0	0	0	0.0
