Sample	Meta	Nucleotide	Codon	Frame	Density
racd_ssb1_mock_2	TIS	-30	-10	0	0.0
racd_ssb1_mock_2	TIS	-29	-10	1	0.0
racd_ssb1_mock_2	TIS	-28	-10	2	0.0
racd_ssb1_mock_2	TIS	-27	-9	0	0.0
racd_ssb1_mock_2	TIS	-26	-9	1	0.0
racd_ssb1_mock_2	TIS	-25	-9	2	0.0
racd_ssb1_mock_2	TIS	-24	-8	0	0.0
racd_ssb1_mock_2	TIS	-23	-8	1	0.0
racd_ssb1_mock_2	TIS	-22	-8	2	0.0
racd_ssb1_mock_2	TIS	-21	-7	0	0.0
racd_ssb1_mock_2	TIS	-20	-7	1	0.0
racd_ssb1_mock_2	TIS	-19	-7	2	0.0
racd_ssb1_mock_2	TIS	-18	-6	0	0.020940611053896326
racd_ssb1_mock_2	TIS	-17	-6	1	0.025060075523515277
racd_ssb1_mock_2	TIS	-16	-6	2	0.02059732234809475
racd_ssb1_mock_2	TIS	-15	-5	0	0.0477171301064195
racd_ssb1_mock_2	TIS	-14	-5	1	0.02814967387572949
racd_ssb1_mock_2	TIS	-13	-5	2	0.032612427051150014
racd_ssb1_mock_2	TIS	-12	-4	0	0.03432887058015791
racd_ssb1_mock_2	TIS	-11	-4	1	0.049776862341228974
racd_ssb1_mock_2	TIS	-10	-4	2	0.044284243048403706
racd_ssb1_mock_2	TIS	-9	-3	0	0.04462753175420529
racd_ssb1_mock_2	TIS	-8	-3	1	0.05286646069344319
racd_ssb1_mock_2	TIS	-7	-3	2	0.04565739787161002
racd_ssb1_mock_2	TIS	-6	-2	0	0.0411946446961895
racd_ssb1_mock_2	TIS	-5	-2	1	0.044284243048403706
racd_ssb1_mock_2	TIS	-4	-2	2	0.046000686577411604
racd_ssb1_mock_2	TIS	-3	-1	0	0.16168898043254376
racd_ssb1_mock_2	TIS	-2	-1	1	1.0061791967044285
racd_ssb1_mock_2	TIS	-1	-1	2	3.331960178510127
racd_ssb1_mock_2	TIS	0	0	0	8.434946790250601
racd_ssb1_mock_2	TIS	1	0	1	0.9622382423618263
racd_ssb1_mock_2	TIS	2	0	2	0.9117748026089941
racd_ssb1_mock_2	TIS	3	1	0	1.8125643666323379
racd_ssb1_mock_2	TIS	4	1	1	0.44970820460006866
racd_ssb1_mock_2	TIS	5	1	2	0.7432200480604189
racd_ssb1_mock_2	TIS	6	2	0	2.0054926192928253
racd_ssb1_mock_2	TIS	7	2	1	0.4744249914177824
racd_ssb1_mock_2	TIS	8	2	2	0.7730861654651562
racd_ssb1_mock_2	TIS	9	3	0	1.492619292825266
racd_ssb1_mock_2	TIS	10	3	1	0.4047373841400618
racd_ssb1_mock_2	TIS	11	3	2	0.6845176793683487
racd_ssb1_mock_2	TIS	12	4	0	3.7418468932372124
racd_ssb1_mock_2	TIS	13	4	1	0.43048403707518024
racd_ssb1_mock_2	TIS	14	4	2	0.726742190181943
racd_ssb1_mock_2	TIS	15	5	0	1.6333676622039135
racd_ssb1_mock_2	TIS	16	5	1	0.4802608994164092
racd_ssb1_mock_2	TIS	17	5	2	0.893923789907312
racd_ssb1_mock_2	TIS	18	6	0	1.7816683831101956
racd_ssb1_mock_2	TIS	19	6	1	0.3721249570889118
racd_ssb1_mock_2	TIS	20	6	2	1.0679711637487126
racd_ssb1_mock_2	TIS	21	7	0	2.183659457603845
racd_ssb1_mock_2	TIS	22	7	1	0.44215585307243394
racd_ssb1_mock_2	TIS	23	7	2	0.8070717473395125
racd_ssb1_mock_2	TIS	24	8	0	1.6773086165465156
racd_ssb1_mock_2	TIS	25	8	1	0.35633367662203913
racd_ssb1_mock_2	TIS	26	8	2	0.8108479231033299
racd_ssb1_mock_2	TIS	27	9	0	1.4850669412976314
racd_ssb1_mock_2	TIS	28	9	1	0.3566769653278407
racd_ssb1_mock_2	TIS	29	9	2	0.8225197391005836
racd_ssb1_mock_2	TIS	30	10	0	1.6893237212495709
racd_ssb1_mock_2	TIS	31	10	1	0.3961551664950223
racd_ssb1_mock_2	TIS	32	10	2	0.9038791623755579
racd_ssb1_mock_2	TIS	33	11	0	1.929969104016478
racd_ssb1_mock_2	TIS	34	11	1	0.39066254720219706
racd_ssb1_mock_2	TIS	35	11	2	0.8753861997940268
racd_ssb1_mock_2	TIS	36	12	0	1.906968760727772
racd_ssb1_mock_2	TIS	37	12	1	0.40679711637487126
racd_ssb1_mock_2	TIS	38	12	2	0.811534500514933
racd_ssb1_mock_2	TIS	39	13	0	2.1445245451424646
racd_ssb1_mock_2	TIS	40	13	1	0.5005149330587023
racd_ssb1_mock_2	TIS	41	13	2	0.8218331616889805
racd_ssb1_mock_2	TIS	42	14	0	1.96738757294885
racd_ssb1_mock_2	TIS	43	14	1	0.37933401991074495
racd_ssb1_mock_2	TIS	44	14	2	0.6838311019567456
racd_ssb1_mock_2	TIS	45	15	0	1.6694129763130794
racd_ssb1_mock_2	TIS	46	15	1	0.3824236182629592
racd_ssb1_mock_2	TIS	47	15	2	0.6234122897356676
racd_ssb1_mock_2	TIS	48	16	0	1.8355647099210437
racd_ssb1_mock_2	TIS	49	16	1	0.3456917267421902
racd_ssb1_mock_2	TIS	50	16	2	0.7088911774802609
racd_ssb1_mock_2	TIS	51	17	0	1.8698935805012016
racd_ssb1_mock_2	TIS	52	17	1	0.28492962581531067
racd_ssb1_mock_2	TIS	53	17	2	0.6299347751458977
racd_ssb1_mock_2	TIS	54	18	0	1.596292481977343
racd_ssb1_mock_2	TIS	55	18	1	0.38585650532097493
racd_ssb1_mock_2	TIS	56	18	2	0.5904565739787161
racd_ssb1_mock_2	TIS	57	19	0	1.8077583247511158
racd_ssb1_mock_2	TIS	58	19	1	0.40714040508067284
racd_ssb1_mock_2	TIS	59	19	2	0.5458290422245108
racd_ssb1_mock_2	TIS	60	20	0	1.4555441125986954
racd_ssb1_mock_2	TIS	61	20	1	0.2938551321661517
racd_ssb1_mock_2	TIS	62	20	2	0.5420528664606934
racd_ssb1_mock_2	TIS	63	21	0	1.4606934431857193
racd_ssb1_mock_2	TIS	64	21	1	0.29866117404737386
racd_ssb1_mock_2	TIS	65	21	2	0.5677995193958119
racd_ssb1_mock_2	TIS	66	22	0	1.639546858908342
racd_ssb1_mock_2	TIS	67	22	1	0.3038105046343975
racd_ssb1_mock_2	TIS	68	22	2	0.7445932028836252
racd_ssb1_mock_2	TIS	69	23	0	1.6879505664263645
racd_ssb1_mock_2	TIS	70	23	1	0.34431857191898385
racd_ssb1_mock_2	TIS	71	23	2	0.5087538619979403
racd_ssb1_mock_2	TIS	72	24	0	1.6992790937178166
racd_ssb1_mock_2	TIS	73	24	1	0.39512530037761756
racd_ssb1_mock_2	TIS	74	24	2	0.6872639890147614
racd_ssb1_mock_2	TIS	75	25	0	1.7040851355990387
racd_ssb1_mock_2	TIS	76	25	1	0.3395125300377618
racd_ssb1_mock_2	TIS	77	25	2	0.5805012015104704
racd_ssb1_mock_2	TIS	78	26	0	1.483693786474425
racd_ssb1_mock_2	TIS	79	26	1	0.2897356676965328
racd_ssb1_mock_2	TIS	80	26	2	0.7157569515962925
racd_ssb1_mock_2	TIS	81	27	0	1.7861311362856163
racd_ssb1_mock_2	TIS	82	27	1	0.28527291452111225
racd_ssb1_mock_2	TIS	83	27	2	0.5310676278750429
racd_ssb1_mock_2	TIS	84	28	0	1.5949193271541366
racd_ssb1_mock_2	TIS	85	28	1	0.3470648815653965
racd_ssb1_mock_2	TIS	86	28	2	0.5952626158599382
racd_ssb1_mock_2	TIS	87	29	0	1.7061448678338482
racd_ssb1_mock_2	TIS	88	29	1	0.3154823206316512
racd_ssb1_mock_2	TIS	89	29	2	0.635427394438723
racd_ssb1_mock_2	TIS	90	30	0	1.6803982148987298
racd_ssb1_mock_2	TIS	91	30	1	0.2979745966357707
racd_ssb1_mock_2	TIS	92	30	2	0.5001716443529007
racd_ssb1_mock_2	TIS	93	31	0	1.4349467902506008
racd_ssb1_mock_2	TIS	94	31	1	0.35152763474081705
racd_ssb1_mock_2	TIS	95	31	2	0.46790250600755234
racd_ssb1_mock_2	TIS	96	32	0	1.3693786474424992
racd_ssb1_mock_2	TIS	97	32	1	0.32646755921730175
racd_ssb1_mock_2	TIS	98	32	2	0.5221421215242018
racd_ssb1_mock_2	TIS	99	33	0	1.6144867833848267
racd_ssb1_mock_2	TIS	100	33	1	0.3213182286302781
racd_ssb1_mock_2	TIS	101	33	2	0.5372468245794714
racd_ssb1_mock_2	TIS	102	34	0	1.259526261585994
racd_ssb1_mock_2	TIS	103	34	1	0.3669756265018881
racd_ssb1_mock_2	TIS	104	34	2	0.5461723309303124
racd_ssb1_mock_2	TIS	105	35	0	1.446961894953656
racd_ssb1_mock_2	TIS	106	35	1	0.3357363542739444
racd_ssb1_mock_2	TIS	107	35	2	0.5420528664606934
racd_ssb1_mock_2	TIS	108	36	0	1.325437693099897
racd_ssb1_mock_2	TIS	109	36	1	0.28355647099210435
racd_ssb1_mock_2	TIS	110	36	2	0.5798146240988672
racd_ssb1_mock_2	TIS	111	37	0	1.414349467902506
racd_ssb1_mock_2	TIS	112	37	1	0.26948163405423964
racd_ssb1_mock_2	TIS	113	37	2	0.5705458290422245
racd_ssb1_mock_2	TIS	114	38	0	1.1331960178510128
racd_ssb1_mock_2	TIS	115	38	1	0.23412289735667696
racd_ssb1_mock_2	TIS	116	38	2	0.5063508410573292
