name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	IstringexonFrames	utr5_length	cds_length	utr3_length	gene_length	rep_transcript	modified
rna-NM_001180043.1	NC_001133.9	-	1776	2199	1806	2169	1	1776,	2199,	0	gene-YAL068C	cmpl	cmpl	0,	30	363	30	363	True	True
rna-NM_001184582.1	NC_001133.9	+	2449	2737	2479	2707	1	2449,	2737,	0	gene-YAL067W-A	cmpl	cmpl	0,	30	228	30	228	True	True
rna-NM_001178208.1	NC_001133.9	-	7204	9046	7234	9016	1	7204,	9046,	0	gene-YAL067C	cmpl	cmpl	0,	30	1782	30	1782	True	True
rna-NM_001179897.1	NC_001133.9	-	11534	11981	11564	11951	1	11534,	11981,	0	gene-YAL065C	cmpl	cmpl	0,	30	387	30	387	True	True
rna-NM_001180042.1	NC_001133.9	+	12015	12456	12045	12426	1	12015,	12456,	0	gene-YAL064W-B	cmpl	cmpl	0,	30	381	30	381	True	True
rna-NM_001180041.1	NC_001133.9	-	13332	13773	13362	13743	1	13332,	13773,	0	gene-YAL064C-A	cmpl	cmpl	0,	30	381	30	381	True	True
rna-NM_001178206.2	NC_001133.9	+	21535	21880	21565	21850	1	21535,	21880,	0	gene-YAL064W	cmpl	cmpl	0,	30	285	30	285	True	True
rna-NM_001184642.1	NC_001133.9	-	22364	22715	22394	22685	1	22364,	22715,	0	gene-YAL063C-A	cmpl	cmpl	0,	30	291	30	291	True	True
rna-NM_001178205.1	NC_001133.9	-	23969	27998	23999	27968	1	23969,	27998,	0	gene-YAL063C	cmpl	cmpl	0,	30	3969	30	3969	True	True
rna-NM_001178204.1	NC_001133.9	+	31536	32970	31566	32940	1	31536,	32970,	0	gene-YAL062W	cmpl	cmpl	0,	30	1374	30	1374	True	True
rna-NM_001178203.1	NC_001133.9	+	33417	34731	33447	34701	1	33417,	34731,	0	gene-YAL061W	cmpl	cmpl	0,	30	1254	30	1254	True	True
rna-NM_001178202.2	NC_001133.9	+	35124	36333	35154	36303	1	35124,	36333,	0	gene-YAL060W	cmpl	cmpl	0,	30	1149	30	1149	True	True
rna-NM_001178201.2	NC_001133.9	+	36478	37177	36508	37147	1	36478,	37177,	0	gene-YAL059W	cmpl	cmpl	0,	30	639	30	639	True	True
rna-NM_001178200.1	NC_001133.9	+	37433	39002	37463	38972	1	37433,	39002,	0	gene-YAL058W	cmpl	cmpl	0,	30	1509	30	1509	True	True
rna-NM_001178199.2	NC_001133.9	+	39228	41931	39258	41901	1	39228,	41931,	0	gene-YAL056W	cmpl	cmpl	0,	30	2643	30	2643	True	True
rna-NM_001178198.1	NC_001133.9	+	42146	42749	42176	42719	1	42146,	42749,	0	gene-YAL055W	cmpl	cmpl	0,	30	543	30	543	True	True
rna-NM_001178197.1	NC_001133.9	-	42850	45052	42880	45022	1	42850,	45052,	0	gene-YAL054C	cmpl	cmpl	0,	30	2142	30	2142	True	True
rna-NM_001178196.2	NC_001133.9	+	45868	48280	45898	48250	1	45868,	48280,	0	gene-YAL053W	cmpl	cmpl	0,	30	2352	30	2352	True	True
rna-NM_001178195.2	NC_001133.9	+	48533	51737	48563	51707	1	48533,	51737,	0	gene-YAL051W	cmpl	cmpl	0,	30	3144	30	3144	True	True
rna-NM_001178194.1	NC_001133.9	-	51824	52625	51854	52595	1	51824,	52625,	0	gene-YAL049C	cmpl	cmpl	0,	30	741	30	741	True	True
rna-NM_001178193.1	NC_001133.9	-	52770	54819	52800	54789	1	52770,	54819,	0	gene-YAL048C	cmpl	cmpl	0,	30	1989	30	1989	True	True
rna-NM_001178192.2	NC_001133.9	-	54958	56887	54988	56857	1	54958,	56887,	0	gene-YAL047C	cmpl	cmpl	0,	30	1869	30	1869	True	True
rna-NM_001178191.1	NC_001133.9	-	56998	57415	57028	57385	1	56998,	57415,	0	gene-YAL046C	cmpl	cmpl	0,	30	357	30	357	True	True
rna-NM_001184453.1	NC_001133.9	+	57487	57880	57517	57850	1	57487,	57880,	0	gene-YAL044W-A	cmpl	cmpl	0,	30	333	30	333	True	True
rna-NM_001178189.1	NC_001133.9	-	57919	58492	57949	58462	1	57919,	58492,	0	gene-YAL044C	cmpl	cmpl	0,	30	513	30	513	True	True
rna-NM_001178188.1	NC_001133.9	-	58664	61082	58694	61052	1	58664,	61082,	0	gene-YAL043C	cmpl	cmpl	0,	30	2358	30	2358	True	True
rna-NM_001178187.1	NC_001133.9	+	61285	62593	61315	62563	1	61285,	62593,	0	gene-YAL042W	cmpl	cmpl	0,	30	1248	30	1248	True	True
rna-NM_001178186.1	NC_001133.9	+	62809	65434	62839	65404	1	62809,	65434,	0	gene-YAL041W	cmpl	cmpl	0,	30	2565	30	2565	True	True
rna-NM_001178185.1	NC_001133.9	-	65747	67550	65777	67520	1	65747,	67550,	0	gene-YAL040C	cmpl	cmpl	0,	30	1743	30	1743	True	True
rna-NM_001178184.1	NC_001133.9	-	68685	69555	68715	69525	1	68685,	69555,	0	gene-YAL039C	cmpl	cmpl	0,	30	810	30	810	True	True
rna-NM_001178183.1	NC_001133.9	+	71755	73318	71785	73288	1	71755,	73318,	0	gene-YAL038W	cmpl	cmpl	0,	30	1503	30	1503	True	True
rna-NM_001184629.1	NC_001133.9	-	73395	73548	73425	73518	1	73395,	73548,	0	gene-YAL037C-A	cmpl	cmpl	0,	30	93	30	93	True	True
rna-NM_001178182.1	NC_001133.9	+	73989	74853	74019	74823	1	73989,	74853,	0	gene-YAL037W	cmpl	cmpl	0,	30	804	30	804	True	True
rna-NM_001178181.1	NC_001133.9	-	75012	76182	75042	76152	1	75012,	76182,	0	gene-YAL036C	cmpl	cmpl	0,	30	1110	30	1110	True	True
rna-NM_001178180.1	NC_001133.9	+	76396	79465	76426	79435	1	76396,	79465,	0	gene-YAL035W	cmpl	cmpl	0,	30	3009	30	3009	True	True
rna-NM_001178179.1	NC_001133.9	+	79687	80617	79717	80587	1	79687,	80617,	0	gene-YAL034W-A	cmpl	cmpl	0,	30	870	30	870	True	True
rna-NM_001180035.1	NC_001133.9	-	80679	81981	80709	81951	1	80679,	81981,	0	gene-YAL034C	cmpl	cmpl	0,	30	1242	30	1242	True	True
rna-NM_001178178.1	NC_001133.9	+	82675	83257	82705	83227	1	82675,	83257,	0	gene-YAL033W	cmpl	cmpl	0,	30	522	30	522	True	True
rna-NM_001178177.1	NC_001133.9	-	83304	84504	83334	84474	1	83304,	84504,	0	gene-YAL032C	cmpl	cmpl	0,	30	1140	30	1140	True	True
rna-NM_001178176.1	NC_001133.9	-	84718	87061	84748	87031	1	84718,	87061,	0	gene-YAL031C	cmpl	cmpl	0,	30	2283	30	2283	True	True
rna-NM_001178175.1	NC_001133.9	+	87255	87782	87285	87752	2	87255,87500,	87387,87782,	0	gene-YAL030W	cmpl	cmpl	0,0,	30	354	30	354	True	True
rna-NM_001178174.1	NC_001133.9	-	87824	92300	87854	92270	1	87824,	92300,	0	gene-YAL029C	cmpl	cmpl	0,	30	4416	30	4416	True	True
rna-NM_001178173.1	NC_001133.9	+	92869	94516	92899	94486	1	92869,	94516,	0	gene-YAL028W	cmpl	cmpl	0,	30	1587	30	1587	True	True
rna-NM_001178172.1	NC_001133.9	+	94656	95502	94686	95472	1	94656,	95502,	0	gene-YAL027W	cmpl	cmpl	0,	30	786	30	786	True	True
rna-NM_001178171.2	NC_001133.9	-	95599	99727	95629	99697	1	95599,	99727,	0	gene-YAL026C	cmpl	cmpl	0,	30	4068	30	4068	True	True
rna-NR_132149.1	NC_001133.9	+	99304	99868	99868	99868	1	99304,	99868,	0	gene-YNCA0001W	none	none	-1,	0	0	0	0	True	False
rna-NM_001178170.2	NC_001133.9	-	100194	101175	100224	101145	1	100194,	101175,	0	gene-YAL025C	cmpl	cmpl	0,	30	921	30	921	True	True
rna-NM_001178169.1	NC_001133.9	-	101534	105902	101564	105872	1	101534,	105902,	0	gene-YAL024C	cmpl	cmpl	0,	30	4308	30	4308	True	True
rna-NM_001178168.1	NC_001133.9	-	106241	108581	106271	108551	1	106241,	108581,	0	gene-YAL023C	cmpl	cmpl	0,	30	2280	30	2280	True	True
rna-NM_001178167.1	NC_001133.9	-	108846	110460	108876	110430	1	108846,	110460,	0	gene-YAL022C	cmpl	cmpl	0,	30	1554	30	1554	True	True
rna-NM_001178166.1	NC_001133.9	-	110815	113389	110845	113359	1	110815,	113389,	0	gene-YAL021C	cmpl	cmpl	0,	30	2514	30	2514	True	True
rna-NM_001178165.2	NC_001133.9	-	113583	114645	113613	114615	1	113583,	114645,	0	gene-YAL020C	cmpl	cmpl	0,	30	1002	30	1002	True	True
rna-NM_001178164.1	NC_001133.9	+	114888	118344	114918	118314	1	114888,	118344,	0	gene-YAL019W	cmpl	cmpl	0,	30	3396	30	3396	True	True
rna-NM_001178163.1	NC_001133.9	-	118533	119571	118563	119541	1	118533,	119571,	0	gene-YAL018C	cmpl	cmpl	0,	30	978	30	978	True	True
rna-NM_001178162.2	NC_001133.9	+	120194	124325	120224	124295	1	120194,	124325,	0	gene-YAL017W	cmpl	cmpl	0,	30	4071	30	4071	True	True
rna-NM_001178161.1	NC_001133.9	+	124848	126816	124878	126786	1	124848,	126816,	0	gene-YAL016W	cmpl	cmpl	0,	30	1908	30	1908	True	True
rna-NM_001178160.1	NC_001133.9	-	126872	128132	126902	128102	1	126872,	128132,	0	gene-YAL015C	cmpl	cmpl	0,	30	1200	30	1200	True	True
rna-NM_001178159.1	NC_001133.9	-	128221	129049	128251	129019	1	128221,	129049,	0	gene-YAL014C	cmpl	cmpl	0,	30	768	30	768	True	True
rna-NM_001178158.2	NC_001133.9	+	129239	130517	129269	130487	1	129239,	130517,	0	gene-YAL013W	cmpl	cmpl	0,	30	1218	30	1218	True	True
rna-NM_001178157.1	NC_001133.9	+	130768	132013	130798	131983	1	130768,	132013,	0	gene-YAL012W	cmpl	cmpl	0,	30	1185	30	1185	True	True
rna-NM_001178156.1	NC_001133.9	+	132168	134106	132198	134076	1	132168,	134106,	0	gene-YAL011W	cmpl	cmpl	0,	30	1878	30	1878	True	True
rna-NM_001178155.2	NC_001133.9	-	134153	135695	134183	135665	1	134153,	135695,	0	gene-YAL010C	cmpl	cmpl	0,	30	1482	30	1482	True	True
rna-NM_001178154.1	NC_001133.9	+	135823	136663	135853	136633	1	135823,	136663,	0	gene-YAL009W	cmpl	cmpl	0,	30	780	30	780	True	True
rna-NM_001178153.1	NC_001133.9	+	136883	137540	136913	137510	1	136883,	137540,	0	gene-YAL008W	cmpl	cmpl	0,	30	597	30	597	True	True
rna-NM_001178152.1	NC_001133.9	-	137667	138375	137697	138345	1	137667,	138375,	0	gene-YAL007C	cmpl	cmpl	0,	30	648	30	648	True	True
rna-YNCA0002W	NC_001133.9	+	139151	139254	139254	139254	2	139151,139218,	139187,139254,	0	gene-YNCA0002W	none	none	-1,-1,	0	0	0	0	True	False
rna-NM_001178151.1	NC_001133.9	-	139472	141461	139502	141431	1	139472,	141461,	0	gene-YAL005C	cmpl	cmpl	0,	30	1929	30	1929	True	True
rna-NM_001178150.1	NC_001133.9	+	142143	143190	142173	143160	2	142143,142619,	142253,143190,	0	gene-YAL003W	cmpl	cmpl	0,2,	30	621	30	621	True	True
rna-NM_001178149.1	NC_001133.9	+	143676	147561	143706	147531	1	143676,	147561,	0	gene-YAL002W	cmpl	cmpl	0,	30	3825	30	3825	True	True
rna-NM_001178148.1	NC_001133.9	-	147563	151196	147593	151166	2	147563,151096,	151006,151196,	0	gene-YAL001C	cmpl	cmpl	1,0,	30	3483	30	3483	True	True
rna-NM_001178209.1	NC_001133.9	+	152226	153906	152256	153876	1	152226,	153906,	0	gene-YAR002W	cmpl	cmpl	0,	30	1620	30	1620	True	True
rna-NM_001180033.1	NC_001133.9	-	154034	154754	154064	154724	1	154034,	154754,	0	gene-YAR002C-A	cmpl	cmpl	0,	30	660	30	660	True	True
rna-NM_001178210.1	NC_001133.9	+	154974	156315	155004	156285	1	154974,	156315,	0	gene-YAR003W	cmpl	cmpl	0,	30	1281	30	1281	True	True
rna-NM_001178211.1	NC_001133.9	-	156723	158649	156753	158619	1	156723,	158649,	0	gene-YAR007C	cmpl	cmpl	0,	30	1866	30	1866	True	True
rna-NM_001178212.1	NC_001133.9	+	158935	159823	158965	159793	1	158935,	159823,	0	gene-YAR008W	cmpl	cmpl	0,	30	828	30	828	True	True
rna-NM_001178213.1	NC_001133.9	-	160566	164217	160596	164187	1	160566,	164217,	0	gene-YAR009C	cmpl	cmpl	0,	30	3591	30	3591	True	True
rna-NM_001178214.1	NC_001133.9	-	164513	165896	164543	165866	1	164513,	165896,	0	gene-YAR010C	cmpl	cmpl	0,	30	1323	30	1323	True	True
rna-YNCA0004W	NC_001133.9	+	166266	166339	166339	166339	1	166266,	166339,	0	gene-YNCA0004W	none	none	-1,	0	0	0	0	True	False
rna-NM_001178215.2	NC_001133.9	-	166711	168901	166741	168871	1	166711,	168901,	0	gene-YAR014C	cmpl	cmpl	0,	30	2130	30	2130	True	True
rna-NM_001178216.1	NC_001133.9	+	169344	170325	169374	170295	1	169344,	170325,	0	gene-YAR015W	cmpl	cmpl	0,	30	921	30	921	True	True
rna-NM_001178217.1	NC_001133.9	-	170365	171733	170395	171703	1	170365,	171733,	0	gene-YAR018C	cmpl	cmpl	0,	30	1308	30	1308	True	True
rna-NM_001178218.2	NC_001133.9	-	172180	175165	172210	175135	1	172180,	175165,	0	gene-YAR019C	cmpl	cmpl	0,	30	2925	30	2925	True	True
rna-NM_001178219.1	NC_001133.9	-	176825	177053	176855	177023	1	176825,	177053,	0	gene-YAR020C	cmpl	cmpl	0,	30	168	30	168	True	True
rna-NM_001178220.2	NC_001133.9	-	179250	179850	179280	179820	1	179250,	179850,	0	gene-YAR023C	cmpl	cmpl	0,	30	540	30	540	True	True
rna-YNCA0005W	NC_001133.9	+	181140	181254	181254	181254	2	181140,181210,	181178,181254,	0	gene-YNCA0005W	none	none	-1,-1,	0	0	0	0	True	False
rna-YNCA0006C	NC_001133.9	-	182521	182603	182603	182603	1	182521,	182603,	0	gene-YNCA0006C	none	none	-1,	0	0	0	0	True	False
rna-NM_001178221.1	NC_001133.9	+	183739	184507	183769	184477	1	183739,	184507,	0	gene-YAR027W	cmpl	cmpl	0,	30	708	30	708	True	True
rna-NM_001178222.1	NC_001133.9	+	184861	185626	184891	185596	1	184861,	185626,	0	gene-YAR028W	cmpl	cmpl	0,	30	705	30	705	True	True
rna-NM_001178223.1	NC_001133.9	+	186290	186575	186320	186545	1	186290,	186575,	0	gene-YAR029W	cmpl	cmpl	0,	30	225	30	225	True	True
rna-NM_001178224.1	NC_001133.9	+	186805	187762	186835	187732	1	186805,	187762,	0	gene-YAR031W	cmpl	cmpl	0,	30	897	30	897	True	True
rna-NM_001178225.1	NC_001133.9	+	188076	188841	188106	188811	1	188076,	188841,	0	gene-YAR033W	cmpl	cmpl	0,	30	705	30	705	True	True
rna-NM_001178226.1	NC_001133.9	+	190162	192286	190192	192256	1	190162,	192286,	0	gene-YAR035W	cmpl	cmpl	0,	30	2064	30	2064	True	True
rna-NM_001184583.1	NC_001133.9	-	192306	192447	192336	192417	1	192306,	192447,	0	gene-YAR035C-A	cmpl	cmpl	0,	30	81	30	81	True	True
rna-NM_001178227.1	NC_001133.9	+	192588	196215	192618	196185	1	192588,	196215,	0	gene-YAR042W	cmpl	cmpl	0,	30	3567	30	3567	True	True
rna-NM_001178230.1	NC_001133.9	+	203372	208046	203402	208016	1	203372,	208046,	0	gene-YAR050W	cmpl	cmpl	0,	30	4614	30	4614	True	True
rna-YAR061W	NC_001133.9	+	218139	219145	219145	219145	1	218139,	219145,	0	gene-YAR061W	none	none	-1,	0	0	0	0	True	False
rna-NM_001178235.1	NC_001133.9	+	220167	220527	220197	220497	1	220167,	220527,	0	gene-YAR064W	cmpl	cmpl	0,	30	300	30	300	True	True
rna-NM_001180045.1	NC_001133.9	+	221018	221690	221048	221660	1	221018,	221690,	0	gene-YAR066W	cmpl	cmpl	0,	30	612	30	612	True	True
rna-NM_001178236.1	NC_001133.9	+	222375	222921	222405	222891	1	222375,	222921,	0	gene-YAR068W	cmpl	cmpl	0,	30	486	30	486	True	True
rna-NM_001178239.1	NC_001133.9	+	225429	226893	225459	226863	1	225429,	226893,	0	gene-YAR071W	cmpl	cmpl	0,	30	1404	30	1404	True	True
rna-NM_001180054.1	NC_001134.8	-	249	2688	279	2658	1	249,	2688,	0	gene-YBL113C	cmpl	cmpl	0,	30	2379	30	2379	True	True
rna-NM_001180053.1	NC_001134.8	-	2551	2929	2581	2899	1	2551,	2929,	0	gene-YBL112C	cmpl	cmpl	0,	30	318	30	318	True	True
rna-NM_001180052.1	NC_001134.8	-	2876	5039	2906	5009	2	2876,4215,	4116,5039,	0	gene-YBL111C	cmpl	cmpl	2,0,	30	2004	30	2004	True	True
rna-NM_001184458.1	NC_001134.8	-	7574	7763	7604	7733	1	7574,	7763,	0	gene-YBL108C-A	cmpl	cmpl	0,	30	129	30	129	True	True
rna-YNCB0001W	NC_001134.8	+	9582	9666	9666	9666	1	9582,	9666,	0	gene-YNCB0001W	none	none	-1,	0	0	0	0	True	False
rna-NM_001178347.1	NC_001134.8	-	9930	10581	9960	10551	1	9930,	10581,	0	gene-YBL107C	cmpl	cmpl	0,	30	591	30	591	True	True
rna-NM_001178346.2	NC_001134.8	-	10816	13909	10846	13879	1	10816,	13909,	0	gene-YBL106C	cmpl	cmpl	0,	30	3033	30	3033	True	True
rna-NM_001178345.2	NC_001134.8	-	14210	17726	14240	17696	1	14210,	17726,	0	gene-YBL105C	cmpl	cmpl	0,	30	3456	30	3456	True	True
rna-NM_001178344.1	NC_001134.8	-	18146	21323	18176	21293	1	18146,	21323,	0	gene-YBL104C	cmpl	cmpl	0,	30	3117	30	3117	True	True
rna-NM_001178343.1	NC_001134.8	-	22045	23566	22075	23536	1	22045,	23566,	0	gene-YBL103C	cmpl	cmpl	0,	30	1461	30	1461	True	True
rna-NM_001178342.1	NC_001134.8	+	24067	24775	24097	24745	1	24067,	24775,	0	gene-YBL102W	cmpl	cmpl	0,	30	648	30	648	True	True
rna-NM_001178341.1	NC_001134.8	-	24915	28329	24945	28299	1	24915,	28329,	0	gene-YBL101C	cmpl	cmpl	0,	30	3354	30	3354	True	True
rna-NM_001184585.1	NC_001134.8	+	28396	28576	28426	28546	1	28396,	28576,	0	gene-YBL100W-C	cmpl	cmpl	0,	30	120	30	120	True	True
rna-NM_001180049.1	NC_001134.8	+	29904	31281	29934	31251	1	29904,	31281,	0	gene-YBL100W-A	cmpl	cmpl	0,	30	1317	30	1317	True	True
rna-NM_001180050.2	NC_001134.8	+	29904	35278	29934	35248	2	29904,31228,	31227,35278,	0	gene-YBL100W-B	cmpl	cmpl	0,0,	30	5313	30	5313	True	True
rna-YNCB0002W	NC_001134.8	+	36397	36488	36488	36488	2	36397,36452,	36434,36488,	0	gene-YNCB0002W	none	none	-1,-1,	0	0	0	0	True	False
