Codon	Nucleotide	Frame	SRR1944912	SRR1944913	SRR1944914	SRR1944915	SRR1944916	SRR1944917
-15	-45	0	0.09323992835958332	0.0794521844114092	0.07071330871612243	0.07231254504928254	0.06833685911910818	0.052820034311165734
-14	-42	0	0.03858203932120689	0.0514633467210264	0.057244107055908634	0.053793478634222375	0.05843296649315047	0.05828417579163116
-13	-39	0	0.07180546207002393	0.06320060123634823	0.08081520996128277	0.06878510382736631	0.06932724838170395	0.05646279529814269
-12	-36	0	0.06001650561076627	0.05507480964881774	0.06061140747096209	0.06878510382736631	0.07229841616949124	0.07467660023302741
-11	-33	0	0.06215995223972222	0.06320060123634823	0.07913155975375606	0.07054882443832444	0.061404134280937786	0.07103383924605047
-10	-30	0	0.03536686937777298	0.05778340684466123	0.04040760498064139	0.06349394199449199	0.054471409442767384	0.050998653817677264
-9	-27	0	0.06537512218315612	0.07674358721556569	0.05219315643332847	0.06702138321640821	0.07130802690689549	0.052820034311165734
-8	-24	0	0.06966201544106801	0.08035505014335702	0.07744790954622933	0.07054882443832444	0.07328880543208703	0.05464141480465421
-7	-21	0	0.06430339886867814	0.07313212428777437	0.05219315643332847	0.06966696413284537	0.06932724838170395	0.052820034311165734
-6	-18	0	0.06644684549763408	0.04333755513349592	0.03872395477311467	0.063493941994492	0.052490630917575845	0.045534512337211834
-5	-15	0	0.04715582583703064	0.051463346721026405	0.06229505767848881	0.06084836107805483	0.06437530206872509	0.04007037085674642
-4	-12	0	0.028936529490905166	0.04062895793765243	0.01852015228279397	0.04321115496847372	0.03763479197863929	0.021856565921861682
-3	-9	0	0.05358616572389846	0.04604615232933942	0.05556045684838191	0.053793478634222375	0.04852907386719276	0.052820034311165734
-2	-6	0	0.1071723314477969	0.10021809624620931	0.09260076141396985	0.09083161146434271	0.07328880543208703	0.08742626368744673
-1	-3	0	0.0760923553279358	0.06410346696829604	0.07576425933870261	0.06878510382736631	0.054471409442767384	0.0819621222069813
0	0	0	0.03536686937777298	0.03611462927791327	0.033673004150534494	0.0335106916082041	0.03862518124123505	0.04007037085674642
1	3	0	0.103957161504363	0.09570376758647017	0.0757642593387026	0.07848556718763593	0.06734646985651241	0.08014074171349284
2	6	0	0.055729612352854396	0.03611462927791327	0.05724410705590863	0.05202975802326427	0.055461798705363156	0.07285521973953894
3	9	0	0.0557296123528544	0.05597767538076557	0.05892775726343537	0.05114789771778521	0.06734646985651241	0.0819621222069813
4	12	0	0.04929927246598659	0.051463346721026405	0.03198935394300777	0.053793478634222375	0.046548295342001215	0.050998653817677264
5	15	0	0.051442719094942524	0.052366212452974244	0.05387680664085519	0.029101390080808826	0.05348102018017162	0.03824899036325795
6	18	0	0.0139324030882136	0.027988837690382785	0.0067346008301068985	0.03351069160820411	0.03169245640306466	0.02367794641535016
7	21	0	0.033223422748817046	0.044240420865443754	0.020203802490320694	0.02557394885889261	0.036644402716043516	0.02914208789581558
8	24	0	0.04715582583703064	0.07042352709193088	0.03704030456558794	0.06084836107805483	0.05150024165498007	0.027320707402327105
9	27	0	0.05787305898181033	0.06229773550440038	0.07071330871612243	0.06173022138353388	0.054471409442767384	0.045534512337211834
10	30	0	0.09002475841614942	0.07674358721556569	0.06566235809354226	0.08024928779859404	0.08319269805804475	0.08742626368744673
11	33	0	0.05037099578046455	0.05597767538076557	0.03198935394300777	0.04938417710682711	0.04951946312978853	0.04735589283070032
12	36	0	0.04501237920807471	0.048754749525182904	0.04882585601827501	0.0652576626054501	0.05942335575574624	0.050998653817677264
13	39	0	0.06001650561076627	0.05868627257660906	0.04882585601827501	0.05555719924518049	0.06140413428093778	0.06739107825907352
14	42	0	0.03536686937777298	0.04785188379323507	0.08754981079138968	0.03351069160820411	0.06041374501834201	0.06739107825907352
15	45	0	0.05358616572389846	0.05958913830855689	0.05050950622580174	0.06349394199449199	0.055461798705363156	0.05646279529814269
16	48	0	0.04072548595016283	0.0568805411127134	0.04714220581074828	0.06261208168901294	0.054471409442767384	0.030963468389304052
