Sample	Meta	Nucleotide	Codon	Frame	Density
wt_ssb2_mock_2	TIS	-30	-10	0	0.0
wt_ssb2_mock_2	TIS	-29	-10	1	0.0
wt_ssb2_mock_2	TIS	-28	-10	2	0.0
wt_ssb2_mock_2	TIS	-27	-9	0	0.0
wt_ssb2_mock_2	TIS	-26	-9	1	0.0
wt_ssb2_mock_2	TIS	-25	-9	2	0.0
wt_ssb2_mock_2	TIS	-24	-8	0	0.0
wt_ssb2_mock_2	TIS	-23	-8	1	0.0
wt_ssb2_mock_2	TIS	-22	-8	2	0.0
wt_ssb2_mock_2	TIS	-21	-7	0	0.0
wt_ssb2_mock_2	TIS	-20	-7	1	0.0
wt_ssb2_mock_2	TIS	-19	-7	2	0.0
wt_ssb2_mock_2	TIS	-18	-6	0	0.03513770180436847
wt_ssb2_mock_2	TIS	-17	-6	1	0.050648939537828425
wt_ssb2_mock_2	TIS	-16	-6	2	0.049066160177271285
wt_ssb2_mock_2	TIS	-15	-5	0	0.1247230136119025
wt_ssb2_mock_2	TIS	-14	-5	1	0.07628996517885407
wt_ssb2_mock_2	TIS	-13	-5	2	0.06489395378284267
wt_ssb2_mock_2	TIS	-12	-4	0	0.08040519151630263
wt_ssb2_mock_2	TIS	-11	-4	1	0.13516935739157962
wt_ssb2_mock_2	TIS	-10	-4	2	0.05698005698005698
wt_ssb2_mock_2	TIS	-9	-3	0	0.08103830326052548
wt_ssb2_mock_2	TIS	-8	-3	1	0.096232985121874
wt_ssb2_mock_2	TIS	-7	-3	2	0.06109528331750554
wt_ssb2_mock_2	TIS	-6	-2	0	0.0652105096549541
wt_ssb2_mock_2	TIS	-5	-2	1	0.0560303893637227
wt_ssb2_mock_2	TIS	-4	-2	2	0.04020259575815131
wt_ssb2_mock_2	TIS	-3	-1	0	0.07660652105096549
wt_ssb2_mock_2	TIS	-2	-1	1	0.5276986388097499
wt_ssb2_mock_2	TIS	-1	-1	2	4.437796771130104
wt_ssb2_mock_2	TIS	0	0	0	15.096866096866098
wt_ssb2_mock_2	TIS	1	0	1	2.0025324469768915
wt_ssb2_mock_2	TIS	2	0	2	2.087369420702754
wt_ssb2_mock_2	TIS	3	1	0	4.710667932890155
wt_ssb2_mock_2	TIS	4	1	1	0.8626147515036404
wt_ssb2_mock_2	TIS	5	1	2	1.2342513453624564
wt_ssb2_mock_2	TIS	6	2	0	4.233934789490345
wt_ssb2_mock_2	TIS	7	2	1	0.8673630895853118
wt_ssb2_mock_2	TIS	8	2	2	1.7628996517885407
wt_ssb2_mock_2	TIS	9	3	0	3.9509338398227287
wt_ssb2_mock_2	TIS	10	3	1	0.8708452041785375
wt_ssb2_mock_2	TIS	11	3	2	0.9420702754036088
wt_ssb2_mock_2	TIS	12	4	0	5.394112060778728
wt_ssb2_mock_2	TIS	13	4	1	0.8968027856916746
wt_ssb2_mock_2	TIS	14	4	2	2.112377334599557
wt_ssb2_mock_2	TIS	15	5	0	4.632478632478633
wt_ssb2_mock_2	TIS	16	5	1	1.1120607787274455
wt_ssb2_mock_2	TIS	17	5	2	1.8505856283634061
wt_ssb2_mock_2	TIS	18	6	0	4.755935422602089
wt_ssb2_mock_2	TIS	19	6	1	0.8433048433048433
wt_ssb2_mock_2	TIS	20	6	2	2.181386514719848
wt_ssb2_mock_2	TIS	21	7	0	4.896486229819563
wt_ssb2_mock_2	TIS	22	7	1	1.1329534662867997
wt_ssb2_mock_2	TIS	23	7	2	1.6305792972459638
wt_ssb2_mock_2	TIS	24	8	0	4.120924343146565
wt_ssb2_mock_2	TIS	25	8	1	0.7458056346945235
wt_ssb2_mock_2	TIS	26	8	2	1.647673314339981
wt_ssb2_mock_2	TIS	27	9	0	3.5042735042735043
wt_ssb2_mock_2	TIS	28	9	1	1.0015827793605572
wt_ssb2_mock_2	TIS	29	9	2	1.733459955682178
wt_ssb2_mock_2	TIS	30	10	0	4.011396011396012
wt_ssb2_mock_2	TIS	31	10	1	0.8255777144666033
wt_ssb2_mock_2	TIS	32	10	2	1.8873061095283317
wt_ssb2_mock_2	TIS	33	11	0	4.239949351060462
wt_ssb2_mock_2	TIS	34	11	1	0.7318771763216207
wt_ssb2_mock_2	TIS	35	11	2	1.5593542260208928
wt_ssb2_mock_2	TIS	36	12	0	4.071541627097183
wt_ssb2_mock_2	TIS	37	12	1	0.8110161443494777
wt_ssb2_mock_2	TIS	38	12	2	1.5131370686926242
wt_ssb2_mock_2	TIS	39	13	0	5.023425134536246
wt_ssb2_mock_2	TIS	40	13	1	1.1563786008230452
wt_ssb2_mock_2	TIS	41	13	2	1.726812282367838
wt_ssb2_mock_2	TIS	42	14	0	4.550490661601772
wt_ssb2_mock_2	TIS	43	14	1	0.8271604938271605
wt_ssb2_mock_2	TIS	44	14	2	1.4704020259575814
wt_ssb2_mock_2	TIS	45	15	0	4.030072807850585
wt_ssb2_mock_2	TIS	46	15	1	0.9892371003482114
wt_ssb2_mock_2	TIS	47	15	2	1.2310857866413423
wt_ssb2_mock_2	TIS	48	16	0	4.517252295030072
wt_ssb2_mock_2	TIS	49	16	1	0.8983855650522318
wt_ssb2_mock_2	TIS	50	16	2	1.592909148464704
wt_ssb2_mock_2	TIS	51	17	0	4.240899018676797
wt_ssb2_mock_2	TIS	52	17	1	0.720164609053498
wt_ssb2_mock_2	TIS	53	17	2	1.261158594491928
wt_ssb2_mock_2	TIS	54	18	0	3.7818930041152266
wt_ssb2_mock_2	TIS	55	18	1	0.9559987337765116
wt_ssb2_mock_2	TIS	56	18	2	1.3080088635644191
wt_ssb2_mock_2	TIS	57	19	0	4.542576764798987
wt_ssb2_mock_2	TIS	58	19	1	1.0129787907565686
wt_ssb2_mock_2	TIS	59	19	2	1.3735359290914846
wt_ssb2_mock_2	TIS	60	20	0	3.9018676796454574
wt_ssb2_mock_2	TIS	61	20	1	0.7799936688825577
wt_ssb2_mock_2	TIS	62	20	2	1.2266540044317822
wt_ssb2_mock_2	TIS	63	21	0	3.7331433998100665
wt_ssb2_mock_2	TIS	64	21	1	0.8205128205128205
wt_ssb2_mock_2	TIS	65	21	2	1.1994301994301995
wt_ssb2_mock_2	TIS	66	22	0	3.8610319721430835
wt_ssb2_mock_2	TIS	67	22	1	0.8040519151630263
wt_ssb2_mock_2	TIS	68	22	2	1.6242481798037354
wt_ssb2_mock_2	TIS	69	23	0	4.178854067742956
wt_ssb2_mock_2	TIS	70	23	1	0.8930041152263375
wt_ssb2_mock_2	TIS	71	23	2	1.2621082621082622
wt_ssb2_mock_2	TIS	72	24	0	4.49889205444761
wt_ssb2_mock_2	TIS	73	24	1	0.9692940804051915
wt_ssb2_mock_2	TIS	74	24	2	1.6153846153846154
wt_ssb2_mock_2	TIS	75	25	0	4.758467869578981
wt_ssb2_mock_2	TIS	76	25	1	0.899335232668566
wt_ssb2_mock_2	TIS	77	25	2	1.4726179170623614
wt_ssb2_mock_2	TIS	78	26	0	4.07534029756252
wt_ssb2_mock_2	TIS	79	26	1	0.8835074390629947
wt_ssb2_mock_2	TIS	80	26	2	1.757201646090535
wt_ssb2_mock_2	TIS	81	27	0	4.572966128521684
wt_ssb2_mock_2	TIS	82	27	1	0.7559354226020892
wt_ssb2_mock_2	TIS	83	27	2	1.3282684393795505
wt_ssb2_mock_2	TIS	84	28	0	4.054764165875277
wt_ssb2_mock_2	TIS	85	28	1	0.8002532446976891
wt_ssb2_mock_2	TIS	86	28	2	1.4036087369420702
wt_ssb2_mock_2	TIS	87	29	0	4.445077556188667
wt_ssb2_mock_2	TIS	88	29	1	0.7562519784742007
wt_ssb2_mock_2	TIS	89	29	2	1.4726179170623614
wt_ssb2_mock_2	TIS	90	30	0	4.39474517252295
wt_ssb2_mock_2	TIS	91	30	1	0.7249129471351694
wt_ssb2_mock_2	TIS	92	30	2	1.2054447610003165
wt_ssb2_mock_2	TIS	93	31	0	3.8173472617917064
wt_ssb2_mock_2	TIS	94	31	1	1.02437480215258
wt_ssb2_mock_2	TIS	95	31	2	1.168724279835391
wt_ssb2_mock_2	TIS	96	32	0	3.4533080088635644
wt_ssb2_mock_2	TIS	97	32	1	0.8360240582462805
wt_ssb2_mock_2	TIS	98	32	2	1.1573282684393795
wt_ssb2_mock_2	TIS	99	33	0	4.073757518201963
wt_ssb2_mock_2	TIS	100	33	1	0.7502374169040835
wt_ssb2_mock_2	TIS	101	33	2	1.258309591642925
wt_ssb2_mock_2	TIS	102	34	0	3.017094017094017
wt_ssb2_mock_2	TIS	103	34	1	0.8496359607470718
wt_ssb2_mock_2	TIS	104	34	2	1.142766698322254
wt_ssb2_mock_2	TIS	105	35	0	3.666983222538778
wt_ssb2_mock_2	TIS	106	35	1	0.9927192149414371
wt_ssb2_mock_2	TIS	107	35	2	1.3972776194998417
wt_ssb2_mock_2	TIS	108	36	0	3.897752453308009
wt_ssb2_mock_2	TIS	109	36	1	0.7977207977207977
wt_ssb2_mock_2	TIS	110	36	2	1.440329218106996
wt_ssb2_mock_2	TIS	111	37	0	3.876543209876543
wt_ssb2_mock_2	TIS	112	37	1	0.763849319404875
wt_ssb2_mock_2	TIS	113	37	2	1.45457423235201
wt_ssb2_mock_2	TIS	114	38	0	3.2143083254194367
wt_ssb2_mock_2	TIS	115	38	1	0.6923076923076923
wt_ssb2_mock_2	TIS	116	38	2	1.260525482747705
wt_ssb2_mock_2	TIS	117	39	0	3.6372269705603038
wt_ssb2_mock_2	TIS	118	39	1	0.7613168724279835
wt_ssb2_mock_2	TIS	119	39	2	1.3099081987970878
wt_ssb2_mock_2	TIS	120	40	0	3.9892371003482117
wt_ssb2_mock_2	TIS	121	40	1	1.0705919594808484
wt_ssb2_mock_2	TIS	122	40	2	1.820829376384932
wt_ssb2_mock_2	TIS	123	41	0	5.381133270022159
wt_ssb2_mock_2	TIS	124	41	1	1.043684710351377
wt_ssb2_mock_2	TIS	125	41	2	1.339664450775562
wt_ssb2_mock_2	TIS	126	42	0	3.338398227287116
wt_ssb2_mock_2	TIS	127	42	1	0.7065527065527065
