Sample	Meta	Nucleotide	Codon	Frame	Density
WT_mrna_YPD3	TIS	-30	-10	0	0.0
WT_mrna_YPD3	TIS	-29	-10	1	0.0
WT_mrna_YPD3	TIS	-28	-10	2	0.0
WT_mrna_YPD3	TIS	-27	-9	0	0.0
WT_mrna_YPD3	TIS	-26	-9	1	0.0
WT_mrna_YPD3	TIS	-25	-9	2	0.0
WT_mrna_YPD3	TIS	-24	-8	0	0.0
WT_mrna_YPD3	TIS	-23	-8	1	0.0
WT_mrna_YPD3	TIS	-22	-8	2	0.0
WT_mrna_YPD3	TIS	-21	-7	0	0.0
WT_mrna_YPD3	TIS	-20	-7	1	0.0
WT_mrna_YPD3	TIS	-19	-7	2	1.8915343915343916
WT_mrna_YPD3	TIS	-18	-6	0	1.4162887377173092
WT_mrna_YPD3	TIS	-17	-6	1	1.458238851095994
WT_mrna_YPD3	TIS	-16	-6	2	1.5360922146636433
WT_mrna_YPD3	TIS	-15	-5	0	1.8142479213907785
WT_mrna_YPD3	TIS	-14	-5	1	1.5642479213907785
WT_mrna_YPD3	TIS	-13	-5	2	2.0185185185185186
WT_mrna_YPD3	TIS	-12	-4	0	2.2016250944822375
WT_mrna_YPD3	TIS	-11	-4	1	2.3828420256991687
WT_mrna_YPD3	TIS	-10	-4	2	2.375283446712018
WT_mrna_YPD3	TIS	-9	-3	0	2.0011337868480727
WT_mrna_YPD3	TIS	-8	-3	1	1.9480347694633409
WT_mrna_YPD3	TIS	-7	-3	2	2.1904761904761907
WT_mrna_YPD3	TIS	-6	-2	0	2.078798185941043
WT_mrna_YPD3	TIS	-5	-2	1	2.311224489795918
WT_mrna_YPD3	TIS	-4	-2	2	2.059145880574452
WT_mrna_YPD3	TIS	-3	-1	0	1.9348072562358276
WT_mrna_YPD3	TIS	-2	-1	1	1.958238851095994
WT_mrna_YPD3	TIS	-1	-1	2	2.3219954648526078
WT_mrna_YPD3	TIS	0	0	0	2.197278911564626
WT_mrna_YPD3	TIS	1	0	1	2.0969387755102042
WT_mrna_YPD3	TIS	2	0	2	2.2182539682539684
WT_mrna_YPD3	TIS	3	1	0	2.194633408919123
WT_mrna_YPD3	TIS	4	1	1	2.054988662131519
WT_mrna_YPD3	TIS	5	1	2	2.2938397581254724
WT_mrna_YPD3	TIS	6	2	0	2.757936507936508
WT_mrna_YPD3	TIS	7	2	1	2.552154195011338
WT_mrna_YPD3	TIS	8	2	2	2.7297808012093725
WT_mrna_YPD3	TIS	9	3	0	3.4491685563114136
WT_mrna_YPD3	TIS	10	3	1	0.9331065759637188
WT_mrna_YPD3	TIS	11	3	2	3.9221466364323505
WT_mrna_YPD3	TIS	12	4	0	1.246031746031746
WT_mrna_YPD3	TIS	13	4	1	1.5840891912320483
WT_mrna_YPD3	TIS	14	4	2	2.007936507936508
WT_mrna_YPD3	TIS	15	5	0	2.067271352985639
WT_mrna_YPD3	TIS	16	5	1	2.0192743764172336
WT_mrna_YPD3	TIS	17	5	2	2.2758881330309904
WT_mrna_YPD3	TIS	18	6	0	2.124338624338624
WT_mrna_YPD3	TIS	19	6	1	1.9580498866213152
WT_mrna_YPD3	TIS	20	6	2	2.2273242630385486
WT_mrna_YPD3	TIS	21	7	0	2.132464096749811
