Gene	wt_ribo_YPD1	wt_ribo_YPD2	wt_ribo_YPD3	ncs2d_ribo_YPD1	ncs2d_ribo_YPD2	ncs2d_ribo_YPD3	elp6d_ribo_YPD1	elp6d_ribo_YPD2	elp6d_ribo_YPD3	ncs2d_elp6d_ribo_YPD1	ncs2d_elp6d_ribo_YPD2	ncs2d_elp6d_ribo_YPD3
NM_001178148.1	433	440	451	480	455	482	493	424	436	418	397	462
NM_001178149.1	176	191	209	187	153	187	208	180	182	181	147	181
NM_001178150.1	40211	38582	32081	34863	33044	31652	29108	28862	33139	26111	25367	26684
NM_001178151.1	142600	140859	151726	162594	156481	156000	140427	136226	140193	151868	158167	157718
NM_001178152.1	1465	1536	1531	1276	1386	1228	1291	1391	1274	1247	1113	1160
NM_001178153.1	366	348	383	444	442	452	393	407	361	497	524	509
NM_001178154.1	123	114	97	130	129	147	159	136	155	164	154	149
NM_001178155.2	152	149	132	153	172	151	179	163	146	154	144	168
NM_001178156.1	154	152	179	162	136	154	133	134	146	124	108	114
NM_001178157.1	15611	14495	13916	12665	13667	14886	14719	15965	16765	17782	16787	16869
NM_001178158.2	355	378	337	440	361	460	370	318	408	462	415	496
NM_001178159.1	227	253	253	277	274	258	220	246	239	255	292	247
NM_001178160.1	134	136	150	149	153	156	156	162	180	202	205	182
NM_001178161.1	3454	3546	3295	3871	3784	3535	3417	3360	3407	3570	3358	3516
NM_001178162.2	648	576	673	642	585	642	582	608	548	621	545	616
NM_001178163.1	2	1	2	2	0	0	2	1	3	2	4	1
NM_001178164.1	1295	1320	1230	1357	1324	1358	1272	1257	1334	1368	1282	1302
NM_001178165.2	166	158	148	147	169	238	168	184	180	210	195	216
NM_001178166.1	1793	1829	1623	1581	1594	1745	1529	1546	1762	1637	1502	1610
NM_001178167.1	771	806	754	780	792	803	802	829	792	981	1002	1021
NM_001178168.1	5446	5311	5378	4485	4309	4789	4323	4560	4710	4061	4103	4355
NM_001178169.1	235	248	221	252	248	242	272	271	235	313	200	300
NM_001178170.2	1309	1230	1472	1262	1346	1286	1146	1106	1155	1189	1196	1104
NM_001178171.2	1090	1042	1085	1091	966	1055	1089	1058	1019	977	934	1061
NM_001178172.1	83	94	105	97	103	98	105	139	89	105	120	120
NM_001178173.1	51	40	34	38	34	46	29	38	33	29	44	32
NM_001178174.1	868	894	870	791	843	864	963	856	874	898	798	869
NM_001178175.1	338	441	393	527	489	576	419	451	430	611	593	546
NM_001178176.1	195	206	222	257	254	247	231	219	235	209	224	233
NM_001178177.1	219	209	176	198	190	227	173	182	188	169	139	158
NM_001178178.1	343	297	301	289	325	341	424	403	504	397	436	397
NM_001178179.1	120	108	119	101	105	74	95	102	103	85	87	103
NM_001178180.1	14396	14043	13512	15397	15172	15512	13706	13735	14374	16211	15505	15431
NM_001178181.1	2359	2280	2238	3207	3442	3346	3158	3144	3327	3912	3705	3676
