Sample	Meta	Nucleotide	Codon	Frame	Density
nacd_ssb2_flag_1	TIS	-30	-10	0	0.0
nacd_ssb2_flag_1	TIS	-29	-10	1	0.0
nacd_ssb2_flag_1	TIS	-28	-10	2	0.0
nacd_ssb2_flag_1	TIS	-27	-9	0	0.0
nacd_ssb2_flag_1	TIS	-26	-9	1	0.0
nacd_ssb2_flag_1	TIS	-25	-9	2	0.0
nacd_ssb2_flag_1	TIS	-24	-8	0	0.0
nacd_ssb2_flag_1	TIS	-23	-8	1	0.0
nacd_ssb2_flag_1	TIS	-22	-8	2	0.0
nacd_ssb2_flag_1	TIS	-21	-7	0	0.0
nacd_ssb2_flag_1	TIS	-20	-7	1	0.0
nacd_ssb2_flag_1	TIS	-19	-7	2	0.0
nacd_ssb2_flag_1	TIS	-18	-6	0	0.010003226847370119
nacd_ssb2_flag_1	TIS	-17	-6	1	0.01452081316553727
nacd_ssb2_flag_1	TIS	-16	-6	2	0.012584704743465635
nacd_ssb2_flag_1	TIS	-15	-5	0	0.02291061632784769
nacd_ssb2_flag_1	TIS	-14	-5	1	0.01452081316553727
nacd_ssb2_flag_1	TIS	-13	-5	2	0.01903839948370442
nacd_ssb2_flag_1	TIS	-12	-4	0	0.025814778960955145
nacd_ssb2_flag_1	TIS	-11	-4	1	0.032268473701193935
nacd_ssb2_flag_1	TIS	-10	-4	2	0.022265246853823813
nacd_ssb2_flag_1	TIS	-9	-3	0	0.026782833171990966
nacd_ssb2_flag_1	TIS	-8	-3	1	0.025814778960955145
nacd_ssb2_flag_1	TIS	-7	-3	2	0.02291061632784769
nacd_ssb2_flag_1	TIS	-6	-2	0	0.02968699580509842
nacd_ssb2_flag_1	TIS	-5	-2	1	0.02904162633107454
nacd_ssb2_flag_1	TIS	-4	-2	2	0.023878670538883512
nacd_ssb2_flag_1	TIS	-3	-1	0	0.0500161342368506
nacd_ssb2_flag_1	TIS	-2	-1	1	0.25169409486931266
nacd_ssb2_flag_1	TIS	-1	-1	2	0.9257825104872539
nacd_ssb2_flag_1	TIS	0	0	0	2.123588254275573
nacd_ssb2_flag_1	TIS	1	0	1	0.4127137786382704
nacd_ssb2_flag_1	TIS	2	0	2	0.3772184575669571
nacd_ssb2_flag_1	TIS	3	1	0	0.6253630203291385
nacd_ssb2_flag_1	TIS	4	1	1	0.1781219748305905
nacd_ssb2_flag_1	TIS	5	1	2	0.2620200064536947
nacd_ssb2_flag_1	TIS	6	2	0	0.6447241045498547
nacd_ssb2_flag_1	TIS	7	2	1	0.1910293643110681
nacd_ssb2_flag_1	TIS	8	2	2	0.30461439173927074
nacd_ssb2_flag_1	TIS	9	3	0	0.6392384640206519
nacd_ssb2_flag_1	TIS	10	3	1	0.19716037431429492
nacd_ssb2_flag_1	TIS	11	3	2	0.22910616327847694
nacd_ssb2_flag_1	TIS	12	4	0	1.0145208131655372
nacd_ssb2_flag_1	TIS	13	4	1	0.18651177799290095
nacd_ssb2_flag_1	TIS	14	4	2	0.41981284285253306
nacd_ssb2_flag_1	TIS	15	5	0	0.7437883188125202
