Sample	Meta	Nucleotide	Codon	Frame	Density
ncs2d_mrna_YPD3	TIS	-30	-10	0	0.0
ncs2d_mrna_YPD3	TIS	-29	-10	1	0.0
ncs2d_mrna_YPD3	TIS	-28	-10	2	0.0
ncs2d_mrna_YPD3	TIS	-27	-9	0	0.0
ncs2d_mrna_YPD3	TIS	-26	-9	1	0.0
ncs2d_mrna_YPD3	TIS	-25	-9	2	0.0
ncs2d_mrna_YPD3	TIS	-24	-8	0	0.0
ncs2d_mrna_YPD3	TIS	-23	-8	1	0.0
ncs2d_mrna_YPD3	TIS	-22	-8	2	0.0
ncs2d_mrna_YPD3	TIS	-21	-7	0	0.0
ncs2d_mrna_YPD3	TIS	-20	-7	1	0.0
ncs2d_mrna_YPD3	TIS	-19	-7	2	1.9947477021196773
ncs2d_mrna_YPD3	TIS	-18	-6	0	1.6914274995310448
ncs2d_mrna_YPD3	TIS	-17	-6	1	1.7679609829300318
ncs2d_mrna_YPD3	TIS	-16	-6	2	1.8611892703057589
ncs2d_mrna_YPD3	TIS	-15	-5	0	2.151566310260739
ncs2d_mrna_YPD3	TIS	-14	-5	1	1.8336147064340649
ncs2d_mrna_YPD3	TIS	-13	-5	2	2.4627649596698555
ncs2d_mrna_YPD3	TIS	-12	-4	0	2.644156818608141
ncs2d_mrna_YPD3	TIS	-11	-4	1	2.903582817482649
ncs2d_mrna_YPD3	TIS	-10	-4	2	2.93490902269743
ncs2d_mrna_YPD3	TIS	-9	-3	0	2.5066591633839805
ncs2d_mrna_YPD3	TIS	-8	-3	1	2.5357343837929096
ncs2d_mrna_YPD3	TIS	-7	-3	2	2.656912399174639
ncs2d_mrna_YPD3	TIS	-6	-2	0	2.5614331269930593
ncs2d_mrna_YPD3	TIS	-5	-2	1	2.7351341211780156
ncs2d_mrna_YPD3	TIS	-4	-2	2	2.569686737947852
ncs2d_mrna_YPD3	TIS	-3	-1	0	2.4205589945601202
ncs2d_mrna_YPD3	TIS	-2	-1	1	2.547364471956481
ncs2d_mrna_YPD3	TIS	-1	-1	2	2.8017257550178205
ncs2d_mrna_YPD3	TIS	0	0	0	2.8533108234852746
ncs2d_mrna_YPD3	TIS	1	0	1	2.755580566497843
ncs2d_mrna_YPD3	TIS	2	0	2	2.942224723316451
ncs2d_mrna_YPD3	TIS	3	1	0	2.855374226223973
ncs2d_mrna_YPD3	TIS	4	1	1	2.564622022134684
ncs2d_mrna_YPD3	TIS	5	1	2	2.9983117613956107
ncs2d_mrna_YPD3	TIS	6	2	0	3.7184393172012755
ncs2d_mrna_YPD3	TIS	7	2	1	2.923466516601013
ncs2d_mrna_YPD3	TIS	8	2	2	3.3374601388107297
ncs2d_mrna_YPD3	TIS	9	3	0	4.0731570061902085
