Sample	Meta	Nucleotide	Codon	Frame	Density
ssb1d_ssb2_flag_low_2	TIS	-30	-10	0	0.0
ssb1d_ssb2_flag_low_2	TIS	-29	-10	1	0.0
ssb1d_ssb2_flag_low_2	TIS	-28	-10	2	0.0
ssb1d_ssb2_flag_low_2	TIS	-27	-9	0	0.0
ssb1d_ssb2_flag_low_2	TIS	-26	-9	1	0.0
ssb1d_ssb2_flag_low_2	TIS	-25	-9	2	0.0
ssb1d_ssb2_flag_low_2	TIS	-24	-8	0	0.0
ssb1d_ssb2_flag_low_2	TIS	-23	-8	1	0.0
ssb1d_ssb2_flag_low_2	TIS	-22	-8	2	0.0
ssb1d_ssb2_flag_low_2	TIS	-21	-7	0	0.0
ssb1d_ssb2_flag_low_2	TIS	-20	-7	1	0.0
ssb1d_ssb2_flag_low_2	TIS	-19	-7	2	0.0
ssb1d_ssb2_flag_low_2	TIS	-18	-6	0	0.010091453800063072
ssb1d_ssb2_flag_low_2	TIS	-17	-6	1	0.015137180700094607
ssb1d_ssb2_flag_low_2	TIS	-16	-6	2	0.020182907600126143
ssb1d_ssb2_flag_low_2	TIS	-15	-5	0	0.042257962787764114
ssb1d_ssb2_flag_low_2	TIS	-14	-5	1	0.02554399243140965
ssb1d_ssb2_flag_low_2	TIS	-13	-5	2	0.02869757174392936
ssb1d_ssb2_flag_low_2	TIS	-12	-4	0	0.027436140018921477
ssb1d_ssb2_flag_low_2	TIS	-11	-4	1	0.04730368968779565
ssb1d_ssb2_flag_low_2	TIS	-10	-4	2	0.029959003468937245
ssb1d_ssb2_flag_low_2	TIS	-9	-3	0	0.03500473036896878
ssb1d_ssb2_flag_low_2	TIS	-8	-3	1	0.03721223588773258
ssb1d_ssb2_flag_low_2	TIS	-7	-3	2	0.03122043519394513
ssb1d_ssb2_flag_low_2	TIS	-6	-2	0	0.0315357931251971
ssb1d_ssb2_flag_low_2	TIS	-5	-2	1	0.02522863450015768
ssb1d_ssb2_flag_low_2	TIS	-4	-2	2	0.029959003468937245
ssb1d_ssb2_flag_low_2	TIS	-3	-1	0	0.058341217281614635
ssb1d_ssb2_flag_low_2	TIS	-2	-1	1	0.2251655629139073
ssb1d_ssb2_flag_low_2	TIS	-1	-1	2	1.3323872595395774
ssb1d_ssb2_flag_low_2	TIS	0	0	0	5.355408388520972
ssb1d_ssb2_flag_low_2	TIS	1	0	1	1.3235572374645221
ssb1d_ssb2_flag_low_2	TIS	2	0	2	0.3954588457899716
ssb1d_ssb2_flag_low_2	TIS	3	1	0	1.2002522863450016
ssb1d_ssb2_flag_low_2	TIS	4	1	1	0.3888363292336802
ssb1d_ssb2_flag_low_2	TIS	5	1	2	0.21444339325134026
ssb1d_ssb2_flag_low_2	TIS	6	2	0	1.0100914538000632
ssb1d_ssb2_flag_low_2	TIS	7	2	1	0.30305897193314413
ssb1d_ssb2_flag_low_2	TIS	8	2	2	0.31661936297697885
ssb1d_ssb2_flag_low_2	TIS	9	3	0	1.0728476821192052
ssb1d_ssb2_flag_low_2	TIS	10	3	1	0.40365815200252286
ssb1d_ssb2_flag_low_2	TIS	11	3	2	0.1750236518448439
ssb1d_ssb2_flag_low_2	TIS	12	4	0	1.2305266477451908
ssb1d_ssb2_flag_low_2	TIS	13	4	1	0.30179754020813626
ssb1d_ssb2_flag_low_2	TIS	14	4	2	0.3686534216335541
ssb1d_ssb2_flag_low_2	TIS	15	5	0	0.9498580889309366
ssb1d_ssb2_flag_low_2	TIS	16	5	1	0.3680227057710501
ssb1d_ssb2_flag_low_2	TIS	17	5	2	0.31819615263323875
ssb1d_ssb2_flag_low_2	TIS	18	6	0	1.1888994008199307
ssb1d_ssb2_flag_low_2	TIS	19	6	1	0.2989593188268685
ssb1d_ssb2_flag_low_2	TIS	20	6	2	0.33522548092084514
ssb1d_ssb2_flag_low_2	TIS	21	7	0	1.1292967518133081
ssb1d_ssb2_flag_low_2	TIS	22	7	1	0.42447177546515297
ssb1d_ssb2_flag_low_2	TIS	23	7	2	0.2904446546830653
ssb1d_ssb2_flag_low_2	TIS	24	8	0	1.1081677704194262
ssb1d_ssb2_flag_low_2	TIS	25	8	1	0.3844213181961526
ssb1d_ssb2_flag_low_2	TIS	26	8	2	0.30589719331441184
ssb1d_ssb2_flag_low_2	TIS	27	9	0	0.9495427309996847
ssb1d_ssb2_flag_low_2	TIS	28	9	1	0.3844213181961526
ssb1d_ssb2_flag_low_2	TIS	29	9	2	0.29990539262062443
ssb1d_ssb2_flag_low_2	TIS	30	10	0	1.023021128981394
